model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.0015,0.05,2,4,0.9035520843103794,0.8866181891070413
LSPIN,lspin_tf,0.0015,0.05,2,5,0.9169273003578606,0.8989542843557473
LSPIN,lspin_tf,0.0015,0.05,2,6,0.9376327350073816,0.9051054483308748
LSPIN,lspin_tf,0.0015,0.05,2,7,0.9035520843103794,0.8866181891070413
LSPIN,lspin_tf,0.0015,0.05,2,8,0.9250503963861744,0.8702092802121829
LSPIN,lspin_tf,0.0015,0.05,2,9,0.8642396371336917,0.8528580055608247
LSPIN,lspin_tf,0.0015,0.05,3,4,0.9655002507614776,0.9358317902484746
LSPIN,lspin_tf,0.0015,0.05,3,5,0.97948520742149,0.9546183623851744
LSPIN,lspin_tf,0.0015,0.05,3,6,0.9858147779319172,0.9752622232163192
LSPIN,lspin_tf,0.0015,0.05,3,7,0.9655002507614776,0.9358317902484746
LSPIN,lspin_tf,0.0015,0.05,3,8,0.9831588214595952,0.9574994125878892
LSPIN,lspin_tf,0.0015,0.05,3,9,0.9243381392719549,0.8900751743586829
LSPIN,lspin_tf,0.0015,0.05,4,5,0.9858871839008044,0.9753167608249104
LSPIN,lspin_tf,0.0015,0.05,4,6,0.9515511524421584,0.9194214988192072
LSPIN,lspin_tf,0.0015,0.05,4,7,0.9719052763021012,0.9506193367875432
LSPIN,lspin_tf,0.0015,0.05,4,8,0.9487757514612608,0.899400058340598
LSPIN,lspin_tf,0.0015,0.05,4,9,0.9307477883825483,0.9002496129349105
LSPIN,lspin_tf,0.0015,0.05,5,6,0.9654141496271288,0.9359504930361836
LSPIN,lspin_tf,0.0015,0.05,5,7,0.9858871839008044,0.9753167608249108
LSPIN,lspin_tf,0.0015,0.05,5,8,0.9627583426176938,0.918212711903004
LSPIN,lspin_tf,0.0015,0.05,5,9,0.9443402998636984,0.9249592664441136
LSPIN,lspin_tf,0.0015,0.05,6,7,0.9515511524421584,0.9194214988192072
LSPIN,lspin_tf,0.0015,0.05,6,8,0.9871982917898202,0.958811911326743
LSPIN,lspin_tf,0.0015,0.05,6,9,0.9107586111349611,0.8770939260458868
LSPIN,lspin_tf,0.0015,0.05,7,8,0.9487757514612608,0.899400058340598
LSPIN,lspin_tf,0.0015,0.05,7,9,0.9580873571428292,0.9399140534390822
LSPIN,lspin_tf,0.0015,0.05,8,9,0.9076252200336904,0.8535423595946026
LSPIN,lspin_tf,0.001,0.05,0,1,0.9390967118115228,0.892903558597892
