model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.001,0.1,6,8,0.9899193156722634
LSPIN,lspin_tf,0.001,0.1,6,9,0.9829891959231488
LSPIN,lspin_tf,0.001,0.1,7,8,0.9809612699862432
LSPIN,lspin_tf,0.001,0.1,7,9,0.976968730551205
LSPIN,lspin_tf,0.001,0.1,8,9,0.9808619030927352
LSPIN,lspin_tf,0.0015,0.15,0,1,0.9603188417431822
LSPIN,lspin_tf,0.0015,0.15,0,2,0.960826546944761
LSPIN,lspin_tf,0.0015,0.15,0,3,0.9467561996592117
LSPIN,lspin_tf,0.0015,0.15,0,4,0.9697015691948456
LSPIN,lspin_tf,0.0015,0.15,0,5,0.97503025582557
LSPIN,lspin_tf,0.0015,0.15,0,6,0.965709030707699
LSPIN,lspin_tf,0.0015,0.15,0,7,0.9647559686924116
LSPIN,lspin_tf,0.0015,0.15,0,8,0.987723612550458
LSPIN,lspin_tf,0.0015,0.15,0,9,0.9659159714732766
LSPIN,lspin_tf,0.0015,0.15,1,2,0.994195442102042
LSPIN,lspin_tf,0.0015,0.15,1,3,0.985767959935742
LSPIN,lspin_tf,0.0015,0.15,1,4,0.9810911843026132
LSPIN,lspin_tf,0.0015,0.15,1,5,0.9804155295185446
LSPIN,lspin_tf,0.0015,0.15,1,6,0.9659477394915424
LSPIN,lspin_tf,0.0015,0.15,1,7,0.9886738060564438
LSPIN,lspin_tf,0.0015,0.15,1,8,0.9488998802692354
LSPIN,lspin_tf,0.0015,0.15,1,9,0.9570034405841796
LSPIN,lspin_tf,0.0015,0.15,2,3,0.9884068327027672
LSPIN,lspin_tf,0.0015,0.15,2,4,0.9753379049707608
LSPIN,lspin_tf,0.0015,0.15,2,5,0.9858536975102206
LSPIN,lspin_tf,0.0015,0.15,2,6,0.96593483072752
LSPIN,lspin_tf,0.0015,0.15,2,7,0.9887216992308768
LSPIN,lspin_tf,0.0015,0.15,2,8,0.9502646625814252
LSPIN,lspin_tf,0.0015,0.15,2,9,0.9643180481834478
LSPIN,lspin_tf,0.0015,0.15,3,4,0.9587142599777077
LSPIN,lspin_tf,0.0015,0.15,3,5,0.98081758282133
LSPIN,lspin_tf,0.0015,0.15,3,6,0.9320991649159356
LSPIN,lspin_tf,0.0015,0.15,3,7,0.9644268414586594
LSPIN,lspin_tf,0.0015,0.15,3,8,0.939656320200885
LSPIN,lspin_tf,0.0015,0.15,3,9,0.9431192961910289
LSPIN,lspin_tf,0.0015,0.15,4,5,0.9657896473504668
LSPIN,lspin_tf,0.0015,0.15,4,6,0.9731483110493794
LSPIN,lspin_tf,0.0015,0.15,4,7,0.9814116701708046
LSPIN,lspin_tf,0.0015,0.15,4,8,0.9594400433085716
LSPIN,lspin_tf,0.0015,0.15,4,9,0.96196785791492
LSPIN,lspin_tf,0.0015,0.15,5,6,0.9584927712507954
LSPIN,lspin_tf,0.0015,0.15,5,7,0.97236624301479
LSPIN,lspin_tf,0.0015,0.15,5,8,0.962305942256424
LSPIN,lspin_tf,0.0015,0.15,5,9,0.9737522418237778
LSPIN,lspin_tf,0.0015,0.15,6,7,0.9874881520696034
LSPIN,lspin_tf,0.0015,0.15,6,8,0.9525141750517072
LSPIN,lspin_tf,0.0015,0.15,6,9,0.9579483735446088
LSPIN,lspin_tf,0.0015,0.15,7,8,0.9536761101798074
LSPIN,lspin_tf,0.0015,0.15,7,9,0.963700602437394
LSPIN,lspin_tf,0.0015,0.15,8,9,0.958165799904144
LSPIN,lspin_tf,0.001,0.15,0,1,0.9831076048390992
LSPIN,lspin_tf,0.001,0.15,0,2,0.973717493439552
LSPIN,lspin_tf,0.001,0.15,0,3,0.9908895701737228
LSPIN,lspin_tf,0.001,0.15,0,4,0.9580523869736024
LSPIN,lspin_tf,0.001,0.15,0,5,0.9595599470546844
LSPIN,lspin_tf,0.001,0.15,0,6,0.9943027031012442
LSPIN,lspin_tf,0.001,0.15,0,7,0.9725599907343708
LSPIN,lspin_tf,0.001,0.15,0,8,0.9899600853128768
LSPIN,lspin_tf,0.001,0.15,0,9,0.958698613705688
LSPIN,lspin_tf,0.001,0.15,1,2,0.9426547882689214
LSPIN,lspin_tf,0.001,0.15,1,3,0.9619020025630058
LSPIN,lspin_tf,0.001,0.15,1,4,0.9695304449696466
LSPIN,lspin_tf,0.001,0.15,1,5,0.9856239128466608
LSPIN,lspin_tf,0.001,0.15,1,6,0.98168081727158
LSPIN,lspin_tf,0.001,0.15,1,7,0.9886542222507844
LSPIN,lspin_tf,0.001,0.15,1,8,0.9910492500429132
LSPIN,lspin_tf,0.001,0.15,1,9,0.946246111359884
LSPIN,lspin_tf,0.001,0.15,2,3,0.9870283468286466
LSPIN,lspin_tf,0.001,0.15,2,4,0.9214166386567488
LSPIN,lspin_tf,0.001,0.15,2,5,0.9146658385625724
LSPIN,lspin_tf,0.001,0.15,2,6,0.973575021844058
LSPIN,lspin_tf,0.001,0.15,2,7,0.9262140920191017
LSPIN,lspin_tf,0.001,0.15,2,8,0.9557928730548566
LSPIN,lspin_tf,0.001,0.15,2,9,0.9459093826626488
LSPIN,lspin_tf,0.001,0.15,3,4,0.9359803771949404
LSPIN,lspin_tf,0.001,0.15,3,5,0.932025967204363
LSPIN,lspin_tf,0.001,0.15,3,6,0.985187553650548
LSPIN,lspin_tf,0.001,0.15,3,7,0.949470803739562
LSPIN,lspin_tf,0.001,0.15,3,8,0.9758065699018084
LSPIN,lspin_tf,0.001,0.15,3,9,0.954209575287948
LSPIN,lspin_tf,0.001,0.15,4,5,0.9570114848189688
LSPIN,lspin_tf,0.001,0.15,4,6,0.9656914764200898
LSPIN,lspin_tf,0.001,0.15,4,7,0.9675128578211872
LSPIN,lspin_tf,0.001,0.15,4,8,0.9750622302569536
LSPIN,lspin_tf,0.001,0.15,4,9,0.9685345572632676
LSPIN,lspin_tf,0.001,0.15,5,6,0.963539764659956
LSPIN,lspin_tf,0.001,0.15,5,7,0.9914904751276792
LSPIN,lspin_tf,0.001,0.15,5,8,0.9791045682912652
LSPIN,lspin_tf,0.001,0.15,5,9,0.928698265437748
