model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,0.25,0.0011,0.1,240129,6,0.7023038842345773,0.7982832618025751,1,429.0540466308594,0.9924296444547422,1000.0,924.0,712.1773901130633
LSPIN,lspin_tf,0.25,0.0011,0.1,240130,7,0.7259139375476009,0.7639484978540773,1,483.7721862792969,0.9920503709663796,1017.0,956.0,760.3437390126537
LSPIN,lspin_tf,0.25,0.0011,0.1,240131,8,0.7183929931454683,0.776824034334764,1,457.478759765625,0.9948974536229612,1150.0,1113.0,788.8042558031163
LSPIN,lspin_tf,0.25,0.0011,0.1,240132,9,0.6837395277989338,0.778969957081545,1,427.6370544433594,0.9920761872114704,1035.0,987.0,728.3450562654549
LSPIN,lspin_tf,0.25,0.0007,0.1,280123,0,0.6906892612338157,0.7782546494992847,1,766.3049926757812,0.9961822942990788,1675.0,1592.0,1199.4002852499311
LSPIN,lspin_tf,0.25,0.0007,0.1,280124,1,0.6847867479055598,0.7825464949928469,1,619.0579223632812,0.9952772152896632,1242.0,1163.0,869.1597019496543
LSPIN,lspin_tf,0.25,0.0007,0.1,280125,2,0.7111576542269612,0.7718168812589413,1,679.4131469726562,0.9958442589131362,1508.0,1383.0,1095.4742427343788
LSPIN,lspin_tf,0.25,0.0007,0.1,280126,3,0.691070068545316,0.8032904148783977,1,862.1119995117188,0.9961516514850512,1685.0,1558.0,1256.6657332307318
LSPIN,lspin_tf,0.25,0.0007,0.1,280127,4,0.7044935262757045,0.7997138769670958,0,611.0888061523438,0.9964952375855552,1751.0,1435.0,1162.580429581158
LSPIN,lspin_tf,0.25,0.0007,0.1,280128,5,0.7128712871287128,0.8093705293276109,2,745.5984497070312,0.9963690424037318,1565.0,1543.0,1149.5425843681112
LSPIN,lspin_tf,0.25,0.0007,0.1,280129,6,0.711062452399086,0.8075822603719599,1,718.0270385742188,0.9956666085188008,1432.0,1360.0,1052.049556977748
LSPIN,lspin_tf,0.25,0.0007,0.1,280130,7,0.722010662604722,0.7868383404864091,1,709.104248046875,0.995709663196259,1509.0,1391.0,1085.714487596244
LSPIN,lspin_tf,0.25,0.0007,0.1,280131,8,0.6848819497334349,0.7989985693848355,0,715.1428833007812,0.9970714873934284,2061.0,1647.0,1236.3349722686123
LSPIN,lspin_tf,0.25,0.0007,0.1,280132,9,0.7254379284082254,0.7918454935622318,2,633.2741088867188,0.9945621014536372,1222.0,1192.0,918.635326944574
LSPIN,lspin_tf,0.25,0.0011,0.15,320123,0,0.6891660319878141,0.7896995708154506,1,427.7644653320313,0.9905923228450352,854.0,801.0,654.2148419629158
LSPIN,lspin_tf,0.25,0.0011,0.15,320124,1,0.614051789794364,0.7703862660944206,0,411.4440002441406,0.9939146158456196,1410.0,1076.0,866.5091725272559
LSPIN,lspin_tf,0.25,0.0011,0.15,320125,2,0.7001142421934501,0.7982832618025751,0,472.9961242675781,0.9947944571352132,1498.0,1198.0,925.7512400276148
LSPIN,lspin_tf,0.25,0.0011,0.15,320126,3,0.7398134044173648,0.7603719599427754,1,364.4440002441406,0.9925634194883768,924.0,839.0,607.7635739370082
LSPIN,lspin_tf,0.25,0.0011,0.15,320127,4,0.7033511043412034,0.8011444921316166,0,454.45947265625,0.994952472939114,1545.0,1269.0,935.5567135090644
LSPIN,lspin_tf,0.25,0.0011,0.15,320128,5,0.7097296268088348,0.7814735336194564,1,414.5173645019531,0.99470380127719,1124.0,1086.0,768.5507607114301
LSPIN,lspin_tf,0.25,0.0011,0.15,320129,6,0.7087776085300838,0.8025751072961373,0,418.4169921875,0.994641756190484,1461.0,1125.0,872.1203917552695
