histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
kidneyclearcellrenalcarcinoma,156,0.6472359647235965,LSPIN,0.0015,0.1,210126
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,LSPIN,0.0015,0.1,210126
kidneychromophobe,19,0.6338028169014085,LSPIN,0.0015,0.1,210127
kidneyclearcellrenalcarcinoma,156,0.6822972682297268,LSPIN,0.0015,0.1,210127
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,LSPIN,0.0015,0.1,210127
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0015,0.1,210128
kidneyclearcellrenalcarcinoma,156,0.6700365670036567,LSPIN,0.0015,0.1,210128
kidneypapillaryrenalcellcarcinoma,84,0.7572964669738863,LSPIN,0.0015,0.1,210128
kidneychromophobe,19,0.6619718309859155,LSPIN,0.0015,0.1,210129
kidneyclearcellrenalcarcinoma,156,0.6459453645945364,LSPIN,0.0015,0.1,210129
kidneypapillaryrenalcellcarcinoma,84,0.7311827956989247,LSPIN,0.0015,0.1,210129
kidneychromophobe,19,0.704225352112676,LSPIN,0.0015,0.1,210130
kidneyclearcellrenalcarcinoma,156,0.6881049688104969,LSPIN,0.0015,0.1,210130
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,0.0015,0.1,210130
kidneychromophobe,19,0.5352112676056338,LSPIN,0.0015,0.1,210131
kidneyclearcellrenalcarcinoma,156,0.6390621639062164,LSPIN,0.0015,0.1,210131
kidneypapillaryrenalcellcarcinoma,84,0.6835637480798771,LSPIN,0.0015,0.1,210131
kidneychromophobe,19,0.704225352112676,LSPIN,0.0015,0.1,210132
kidneyclearcellrenalcarcinoma,156,0.6571305657130566,LSPIN,0.0015,0.1,210132
kidneypapillaryrenalcellcarcinoma,84,0.7818740399385561,LSPIN,0.0015,0.1,210132
kidneychromophobe,19,0.6338028169014085,LSPIN,0.001,0.1,250123
kidneyclearcellrenalcarcinoma,156,0.6610023661002367,LSPIN,0.001,0.1,250123
kidneypapillaryrenalcellcarcinoma,84,0.8095238095238095,LSPIN,0.001,0.1,250123
kidneychromophobe,19,0.6197183098591549,LSPIN,0.001,0.1,250124
kidneyclearcellrenalcarcinoma,156,0.6491718649171865,LSPIN,0.001,0.1,250124
kidneypapillaryrenalcellcarcinoma,84,0.7357910906298003,LSPIN,0.001,0.1,250124
kidneychromophobe,19,0.7183098591549296,LSPIN,0.001,0.1,250125
kidneyclearcellrenalcarcinoma,156,0.6844482684448269,LSPIN,0.001,0.1,250125
kidneypapillaryrenalcellcarcinoma,84,0.8279569892473119,LSPIN,0.001,0.1,250125
kidneychromophobe,19,0.7464788732394366,LSPIN,0.001,0.1,250126
kidneyclearcellrenalcarcinoma,156,0.6659496665949667,LSPIN,0.001,0.1,250126
kidneypapillaryrenalcellcarcinoma,84,0.7572964669738863,LSPIN,0.001,0.1,250126
kidneychromophobe,19,0.5915492957746479,LSPIN,0.001,0.1,250127
kidneyclearcellrenalcarcinoma,156,0.6795009679500968,LSPIN,0.001,0.1,250127
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,0.001,0.1,250127
kidneychromophobe,19,0.704225352112676,LSPIN,0.001,0.1,250128
kidneyclearcellrenalcarcinoma,156,0.6848784684878468,LSPIN,0.001,0.1,250128
kidneypapillaryrenalcellcarcinoma,84,0.7895545314900153,LSPIN,0.001,0.1,250128
kidneychromophobe,19,0.704225352112676,LSPIN,0.001,0.1,250129
kidneyclearcellrenalcarcinoma,156,0.6889653688965369,LSPIN,0.001,0.1,250129
kidneypapillaryrenalcellcarcinoma,84,0.7634408602150538,LSPIN,0.001,0.1,250129
kidneychromophobe,19,0.6197183098591549,LSPIN,0.001,0.1,250130
kidneyclearcellrenalcarcinoma,156,0.6874596687459669,LSPIN,0.001,0.1,250130
kidneypapillaryrenalcellcarcinoma,84,0.8064516129032258,LSPIN,0.001,0.1,250130
kidneychromophobe,19,0.7183098591549296,LSPIN,0.001,0.1,250131
kidneyclearcellrenalcarcinoma,156,0.6855237685523768,LSPIN,0.001,0.1,250131
kidneypapillaryrenalcellcarcinoma,84,0.7711213517665131,LSPIN,0.001,0.1,250131
kidneychromophobe,19,0.6901408450704225,LSPIN,0.001,0.1,250132
kidneyclearcellrenalcarcinoma,156,0.6610023661002367,LSPIN,0.001,0.1,250132
kidneypapillaryrenalcellcarcinoma,84,0.8172043010752689,LSPIN,0.001,0.1,250132
kidneychromophobe,19,0.5915492957746479,LSPIN,0.0015,0.15,290123
kidneyclearcellrenalcarcinoma,156,0.6840180684018068,LSPIN,0.0015,0.15,290123
kidneypapillaryrenalcellcarcinoma,84,0.6943164362519201,LSPIN,0.0015,0.15,290123
kidneychromophobe,19,0.704225352112676,LSPIN,0.0015,0.15,290124
kidneyclearcellrenalcarcinoma,156,0.694127769412777,LSPIN,0.0015,0.15,290124
