model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.0012,0.0,3,4,0.7973327195604388,3.5440088757396446,0.5522388059701493,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.0012,0.0,3,5,0.8009782495270179,3.448224852071006,0.5294117647058824,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0012,0.0,3,6,0.7713744563860804,3.448224852071006,0.5294117647058824,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,0.0012,0.0,3,7,0.7888643619830313,3.352440828402367,0.5072463768115942,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0012,0.0,3,8,0.851364243665161,3.256656804733728,0.4857142857142857,3.831360946745562,0.625
LSPIN,lspin_tf,0.0012,0.0,3,9,0.8593834738957797,3.1608727810650885,0.4647887323943662,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,0.0012,0.0,4,5,0.8144512355324741,3.448224852071006,0.5294117647058824,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0012,0.0,4,6,0.8090923050255917,3.5440088757396446,0.5522388059701493,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0012,0.0,4,7,0.7566782125381004,3.352440828402367,0.5072463768115942,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0012,0.0,4,8,0.7454396901032361,2.9693047337278107,0.4246575342465753,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.0012,0.0,4,9,0.8363456896683142,3.735576923076923,0.6,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0012,0.0,5,6,0.8678280990531418,3.256656804733728,0.4857142857142857,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,0.0012,0.0,5,7,0.7300254396123987,3.1608727810650885,0.4647887323943662,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,0.0012,0.0,5,8,0.7382131172944609,3.1608727810650885,0.4647887323943662,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,0.0012,0.0,5,9,0.8254444369411305,3.256656804733728,0.4857142857142857,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0012,0.0,6,7,0.6757855627242209,2.7777366863905324,0.3866666666666666,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,0.0012,0.0,6,8,0.6668037020934187,2.8735207100591715,0.4054054054054054,2.6819526627218933,0.3684210526315789
LSPIN,lspin_tf,0.0012,0.0,6,9,0.8056855608959801,3.1608727810650885,0.4647887323943662,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,0.0012,0.0,7,8,0.7973940751389402,3.352440828402367,0.5072463768115942,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.0012,0.0,7,9,0.7228249968489137,2.6819526627218933,0.3684210526315789,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0012,0.0,8,9,0.7395102624290923,2.298816568047337,0.3,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,0.0008,0.0,0,1,0.8709130248457372,3.831360946745562,0.625,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,0.0008,0.0,0,2,0.8902225917938332,3.927144970414201,0.6507936507936508,3.5440088757396446,0.5522388059701493
