model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
L-Concrete,concrete,linear,0.00275,0.2,0,1,212,0.8270184694418351,2.8208616780045355,0.4,3.291005291005291,0.5
L-Concrete,concrete,linear,0.00275,0.2,0,2,212,0.8187107905339318,3.291005291005291,0.5,3.4477198286722097,0.5365853658536586
L-Concrete,concrete,linear,0.00275,0.2,0,3,212,0.7976865622633229,2.6641471403376165,0.3695652173913043,3.604434366339128,0.575
L-Concrete,concrete,linear,0.00275,0.2,0,4,212,0.8154356355246349,2.977576215671454,0.4318181818181818,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.2,0,5,212,0.7919396691694023,2.8992189468379945,0.4157303370786517,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.2,0,6,212,0.8203193762668124,3.055933484504913,0.4482758620689655,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.2,0,7,212,0.8232257440704286,3.1342907533383726,0.4651162790697674,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.2,1,2,212,0.8020973704796338,3.055933484504913,0.4482758620689655,3.291005291005291,0.5
L-Concrete,concrete,linear,0.00275,0.2,1,3,212,0.8082195909596185,3.055933484504913,0.4482758620689655,3.526077097505669,0.5555555555555556
L-Concrete,concrete,linear,0.00275,0.2,1,4,212,0.8019400196368703,2.977576215671454,0.4318181818181818,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.2,1,5,212,0.816621003686994,3.291005291005291,0.5,3.212648022171832,0.4823529411764706
L-Concrete,concrete,linear,0.00275,0.2,1,6,212,0.828743538546968,2.742504409171076,0.3846153846153846,3.4477198286722097,0.5365853658536586
L-Concrete,concrete,linear,0.00275,0.2,1,7,212,0.8096529054007335,2.8208616780045355,0.4,3.604434366339128,0.575
L-Concrete,concrete,linear,0.00275,0.2,2,3,212,0.8076951548514428,3.1342907533383726,0.4651162790697674,3.055933484504913,0.4482758620689655
L-Concrete,concrete,linear,0.00275,0.2,2,4,212,0.7953280855828523,3.055933484504913,0.4482758620689655,3.4477198286722097,0.5365853658536586
L-Concrete,concrete,linear,0.00275,0.2,2,5,212,0.8015427561504409,3.1342907533383726,0.4651162790697674,3.1342907533383726,0.4651162790697674
L-Concrete,concrete,linear,0.00275,0.2,2,6,212,0.7888561169053404,2.742504409171076,0.3846153846153846,3.291005291005291,0.5
L-Concrete,concrete,linear,0.00275,0.2,2,7,212,0.790787194445539,3.055933484504913,0.4482758620689655,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.2,3,4,212,0.8106255128749338,3.3693625598387507,0.5180722891566265,3.526077097505669,0.5555555555555556
L-Concrete,concrete,linear,0.00275,0.2,3,5,212,0.7772932298163272,3.3693625598387507,0.5180722891566265,3.1342907533383726,0.4651162790697674
L-Concrete,concrete,linear,0.00275,0.2,3,6,212,0.8144845554118838,3.526077097505669,0.5555555555555556,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.2,3,7,212,0.8054676118834035,3.3693625598387507,0.5180722891566265,3.291005291005291,0.5
L-Concrete,concrete,linear,0.00275,0.2,4,5,212,0.8004803509546777,3.291005291005291,0.5,2.8992189468379945,0.4157303370786517
L-Concrete,concrete,linear,0.00275,0.2,4,6,212,0.8116045673939363,3.3693625598387507,0.5180722891566265,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.2,4,7,212,0.8042800749316351,3.1342907533383726,0.4651162790697674,3.3693625598387507,0.5180722891566265
L-Concrete,concrete,linear,0.00275,0.2,5,6,212,0.8178174302917045,3.291005291005291,0.5,3.1342907533383726,0.4651162790697674
L-Concrete,concrete,linear,0.00275,0.2,5,7,212,0.8000565040630848,3.1342907533383726,0.4651162790697674,2.8992189468379945,0.4157303370786517
L-Concrete,concrete,linear,0.00275,0.2,6,7,212,0.8075046060131882,3.1342907533383726,0.4651162790697674,3.604434366339128,0.575
L-Concrete,concrete,linear,0.0066,0.2,0,1,216,0.6660634258373591,2.507432602670698,0.3404255319148936,2.507432602670698,0.3404255319148936
L-Concrete,concrete,linear,0.0066,0.2,0,2,216,0.642304874826165,2.507432602670698,0.3404255319148936,2.2723607961703203,0.2989690721649484
L-Concrete,concrete,linear,0.0066,0.2,0,3,216,0.6957264231564023,2.429075333837239,0.3263157894736842,3.055933484504913,0.4482758620689655
L-Concrete,concrete,linear,0.0066,0.2,0,4,216,0.6803644859408439,2.8992189468379945,0.4157303370786517,2.6641471403376165,0.3695652173913043
L-Concrete,concrete,linear,0.0066,0.2,0,5,216,0.6856605967185357,2.6641471403376165,0.3695652173913043,3.055933484504913,0.4482758620689655
L-Concrete,concrete,linear,0.0066,0.2,0,6,216,0.6677945174688569,2.742504409171076,0.3846153846153846,2.8208616780045355,0.4
L-Concrete,concrete,linear,0.0066,0.2,0,7,216,0.6474790987683188,2.507432602670698,0.3404255319148936,2.977576215671454,0.4318181818181818
