model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,affinity_corr
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,37,0.9034982310657672
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,37,0.8827737207564144
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,37,0.8893181044527052
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,37,0.8179685730975337
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,37,0.8648586740233661
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,37,0.8080286353240389
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,37,0.8337790510726238
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,37,0.8083719020287878
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,37,0.8222847702431795
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,37,0.8593627752978324
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,37,0.792976258809985
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,37,0.8577997058874325
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,37,0.8929099487873927
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,37,0.8854739748119772
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,37,0.8542426908721464
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,37,0.8877046115447224
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,37,0.859537751292512
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,37,0.8584331151556073
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,37,0.8033759745987724
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,37,0.8616106010126637
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,37,0.8466868933138141
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,37,0.8558346321289647
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,37,0.8654613075452939
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,37,0.7906037585122078
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,37,0.7833706795825675
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,37,0.793337037907589
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,37,0.8181923918598354
LSPIN,lspin_tf,mlp,0.0035,0.1,0,1,41,0.9357660821961022
LSPIN,lspin_tf,mlp,0.0035,0.1,0,2,41,0.9521516033744564
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,41,0.9810791740237989
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,41,0.9641920538082194
LSPIN,lspin_tf,mlp,0.0035,0.1,0,5,41,0.942744890417306
LSPIN,lspin_tf,mlp,0.0035,0.1,0,6,41,0.9093278982432744
LSPIN,lspin_tf,mlp,0.0035,0.1,0,7,41,0.960780743179142
LSPIN,lspin_tf,mlp,0.0035,0.1,1,2,41,0.9141144845333348
LSPIN,lspin_tf,mlp,0.0035,0.1,1,3,41,0.9646252515182898
LSPIN,lspin_tf,mlp,0.0035,0.1,1,4,41,0.9601702853871162
LSPIN,lspin_tf,mlp,0.0035,0.1,1,5,41,0.955084116167382
LSPIN,lspin_tf,mlp,0.0035,0.1,1,6,41,0.9305064134956228
LSPIN,lspin_tf,mlp,0.0035,0.1,1,7,41,0.9250606778932564
LSPIN,lspin_tf,mlp,0.0035,0.1,2,3,41,0.9386263148604344
LSPIN,lspin_tf,mlp,0.0035,0.1,2,4,41,0.9325133213014228
LSPIN,lspin_tf,mlp,0.0035,0.1,2,5,41,0.8771656652005487
LSPIN,lspin_tf,mlp,0.0035,0.1,2,6,41,0.8198705810656177
LSPIN,lspin_tf,mlp,0.0035,0.1,2,7,41,0.9499981528756436
LSPIN,lspin_tf,mlp,0.0035,0.1,3,4,41,0.9856420580344172
LSPIN,lspin_tf,mlp,0.0035,0.1,3,5,41,0.9670882374561848
LSPIN,lspin_tf,mlp,0.0035,0.1,3,6,41,0.9378187022096665
LSPIN,lspin_tf,mlp,0.0035,0.1,3,7,41,0.964915553741896
LSPIN,lspin_tf,mlp,0.0035,0.1,4,5,41,0.9520957327209172
LSPIN,lspin_tf,mlp,0.0035,0.1,4,6,41,0.9372410050093468
LSPIN,lspin_tf,mlp,0.0035,0.1,4,7,41,0.9666775350634516
LSPIN,lspin_tf,mlp,0.0035,0.1,5,6,41,0.9608728079107332
LSPIN,lspin_tf,mlp,0.0035,0.1,5,7,41,0.903066169248792
LSPIN,lspin_tf,mlp,0.0035,0.1,6,7,41,0.856769337225195
LSPIN,lspin_tf,mlp,0.0105,0.1,0,1,45,0.8953498864327329
LSPIN,lspin_tf,mlp,0.0105,0.1,0,2,45,0.9404684925447876
LSPIN,lspin_tf,mlp,0.0105,0.1,0,3,45,0.9347758111709336
LSPIN,lspin_tf,mlp,0.0105,0.1,0,4,45,0.8717329074912606
LSPIN,lspin_tf,mlp,0.0105,0.1,0,5,45,0.8012008721096108
LSPIN,lspin_tf,mlp,0.0105,0.1,0,6,45,0.9195452433406054
LSPIN,lspin_tf,mlp,0.0105,0.1,0,7,45,0.7957769831992351
LSPIN,lspin_tf,mlp,0.0105,0.1,1,2,45,0.8747930706178152
LSPIN,lspin_tf,mlp,0.0105,0.1,1,3,45,0.9224112912671648
LSPIN,lspin_tf,mlp,0.0105,0.1,1,4,45,0.8437215400400722
LSPIN,lspin_tf,mlp,0.0105,0.1,1,5,45,0.8079544446390658
LSPIN,lspin_tf,mlp,0.0105,0.1,1,6,45,0.8770448721237828
LSPIN,lspin_tf,mlp,0.0105,0.1,1,7,45,0.83705101665047
LSPIN,lspin_tf,mlp,0.0105,0.1,2,3,45,0.8958449116537726
LSPIN,lspin_tf,mlp,0.0105,0.1,2,4,45,0.8438136664107048
LSPIN,lspin_tf,mlp,0.0105,0.1,2,5,45,0.8001135905761373
