histology,n_test,cindex,global_cfg_idx,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.5862520458265139,25,LSPIN,mlp,0.0035,0.4,250130
infiltratinglobularcarcinoma,60,0.5714285714285714,25,LSPIN,mlp,0.0035,0.4,250130
other,23,0.6486486486486487,25,LSPIN,mlp,0.0035,0.4,250130
infiltratingductalcarcinoma,220,0.5594108019639934,29,LSPIN,mlp,0.0105,0.4,290123
infiltratinglobularcarcinoma,60,0.7142857142857143,29,LSPIN,mlp,0.0105,0.4,290123
other,23,0.6216216216216216,29,LSPIN,mlp,0.0105,0.4,290123
infiltratingductalcarcinoma,220,0.5070376432078559,29,LSPIN,mlp,0.0105,0.4,290124
infiltratinglobularcarcinoma,60,0.4074074074074074,29,LSPIN,mlp,0.0105,0.4,290124
other,23,0.6486486486486487,29,LSPIN,mlp,0.0105,0.4,290124
infiltratingductalcarcinoma,220,0.5927986906710311,29,LSPIN,mlp,0.0105,0.4,290125
infiltratinglobularcarcinoma,60,0.4814814814814814,29,LSPIN,mlp,0.0105,0.4,290125
other,23,0.4864864864864865,29,LSPIN,mlp,0.0105,0.4,290125
infiltratingductalcarcinoma,220,0.6631751227495908,29,LSPIN,mlp,0.0105,0.4,290126
infiltratinglobularcarcinoma,60,0.6190476190476191,29,LSPIN,mlp,0.0105,0.4,290126
other,23,0.5405405405405406,29,LSPIN,mlp,0.0105,0.4,290126
infiltratingductalcarcinoma,220,0.6635024549918167,29,LSPIN,mlp,0.0105,0.4,290127
infiltratinglobularcarcinoma,60,0.4814814814814814,29,LSPIN,mlp,0.0105,0.4,290127
other,23,0.5675675675675675,29,LSPIN,mlp,0.0105,0.4,290127
infiltratingductalcarcinoma,220,0.5937806873977087,29,LSPIN,mlp,0.0105,0.4,290128
infiltratinglobularcarcinoma,60,0.5502645502645502,29,LSPIN,mlp,0.0105,0.4,290128
other,23,0.5405405405405406,29,LSPIN,mlp,0.0105,0.4,290128
infiltratingductalcarcinoma,220,0.6058919803600654,29,LSPIN,mlp,0.0105,0.4,290129
infiltratinglobularcarcinoma,60,0.544973544973545,29,LSPIN,mlp,0.0105,0.4,290129
other,23,0.4324324324324324,29,LSPIN,mlp,0.0105,0.4,290129
infiltratingductalcarcinoma,220,0.581342062193126,29,LSPIN,mlp,0.0105,0.4,290130
infiltratinglobularcarcinoma,60,0.4391534391534391,29,LSPIN,mlp,0.0105,0.4,290130
other,23,0.4864864864864865,29,LSPIN,mlp,0.0105,0.4,290130
infiltratingductalcarcinoma,220,0.5368248772504092,33,LSPIN,mlp,0.0035,0.0,330123
infiltratinglobularcarcinoma,60,0.5291005291005291,33,LSPIN,mlp,0.0035,0.0,330123
other,23,0.5405405405405406,33,LSPIN,mlp,0.0035,0.0,330123
infiltratingductalcarcinoma,220,0.6199672667757774,33,LSPIN,mlp,0.0035,0.0,330124
infiltratinglobularcarcinoma,60,0.4656084656084656,33,LSPIN,mlp,0.0035,0.0,330124
other,23,0.5405405405405406,33,LSPIN,mlp,0.0035,0.0,330124
infiltratingductalcarcinoma,220,0.7165302782324059,33,LSPIN,mlp,0.0035,0.0,330125
infiltratinglobularcarcinoma,60,0.5291005291005291,33,LSPIN,mlp,0.0035,0.0,330125
other,23,0.6486486486486487,33,LSPIN,mlp,0.0035,0.0,330125
infiltratingductalcarcinoma,220,0.6386252045826514,33,LSPIN,mlp,0.0035,0.0,330126
infiltratinglobularcarcinoma,60,0.5767195767195767,33,LSPIN,mlp,0.0035,0.0,330126
other,23,0.4594594594594595,33,LSPIN,mlp,0.0035,0.0,330126
infiltratingductalcarcinoma,220,0.6307692307692307,33,LSPIN,mlp,0.0035,0.0,330127
infiltratinglobularcarcinoma,60,0.6243386243386243,33,LSPIN,mlp,0.0035,0.0,330127
other,23,0.5405405405405406,33,LSPIN,mlp,0.0035,0.0,330127
infiltratingductalcarcinoma,220,0.6055646481178396,33,LSPIN,mlp,0.0035,0.0,330128
infiltratinglobularcarcinoma,60,0.6031746031746031,33,LSPIN,mlp,0.0035,0.0,330128
other,23,0.5675675675675675,33,LSPIN,mlp,0.0035,0.0,330128
