global_cfg_idx,model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
53,LSPIN,lspin_tf,mlp,0.12,0.0105,0.2,530130,7,0.6039312039312039,0.7960526315789473,9,319.8231506347656,0.9694967395484106,3005.0,694.0,657.0855062688489
57,LSPIN,lspin_tf,mlp,0.12,0.0035,0.4,570123,0,0.6360360360360361,0.8421052631578947,9,1008.9967651367188,0.9913290051786242,5336.0,2309.0,1992.625316589724
57,LSPIN,lspin_tf,mlp,0.12,0.0035,0.4,570124,1,0.6301392301392301,0.8223684210526315,13,844.4951782226562,0.9869929659291186,4388.0,1784.0,1553.8736651243007
57,LSPIN,lspin_tf,mlp,0.12,0.0035,0.4,570125,2,0.5965601965601965,0.8651315789473685,10,954.1286010742188,0.990055491609915,4608.0,2263.0,1901.0851957664856
57,LSPIN,lspin_tf,mlp,0.12,0.0035,0.4,570126,3,0.6401310401310402,0.8733552631578947,12,997.1768188476562,0.9899208004846994,4604.0,1990.0,1768.618876702246
57,LSPIN,lspin_tf,mlp,0.12,0.0035,0.4,570127,4,0.6198198198198198,0.8338815789473685,8,1062.623779296875,0.991549357589909,4969.0,2573.0,2182.530515656869
57,LSPIN,lspin_tf,mlp,0.12,0.0035,0.4,570128,5,0.6558558558558558,0.8157894736842105,17,721.263671875,0.9854837783354188,3911.0,1490.0,1280.6959562059883
57,LSPIN,lspin_tf,mlp,0.12,0.0035,0.4,570129,6,0.6457002457002456,0.875,16,731.1382446289062,0.982711280448062,3600.0,1371.0,1240.616416026548
57,LSPIN,lspin_tf,mlp,0.12,0.0035,0.4,570130,7,0.5955773955773955,0.8223684210526315,19,826.5562744140625,0.9839164418947908,3487.0,1567.0,1357.1117311989262
61,LSPIN,lspin_tf,mlp,0.12,0.0105,0.4,610123,0,0.5744471744471744,0.8273026315789473,25,281.21221923828125,0.9518951516283208,1915.0,468.0,439.5647583997077
61,LSPIN,lspin_tf,mlp,0.12,0.0105,0.4,610124,1,0.6324324324324324,0.8453947368421053,20,322.56591796875,0.9581574987231872,2295.0,522.0,503.0986490884047
61,LSPIN,lspin_tf,mlp,0.12,0.0105,0.4,610125,2,0.6034398034398034,0.8305921052631579,16,311.0546569824219,0.9600752536375284,1832.0,543.0,489.7709841665104
61,LSPIN,lspin_tf,mlp,0.12,0.0105,0.4,610126,3,0.6578214578214578,0.850328947368421,14,313.9774780273437,0.9628898062198824,2131.0,568.0,519.4230739584515
61,LSPIN,lspin_tf,mlp,0.12,0.0105,0.4,610127,4,0.638001638001638,0.8404605263157895,23,264.9967956542969,0.9447780594750752,1679.0,424.0,397.4810440336784
61,LSPIN,lspin_tf,mlp,0.12,0.0105,0.4,610128,5,0.5844389844389845,0.8601973684210527,14,294.1286315917969,0.952760183194244,1666.0,555.0,482.6234136643379
61,LSPIN,lspin_tf,mlp,0.12,0.0105,0.4,610129,6,0.5746109746109747,0.8618421052631579,10,299.6881103515625,0.9642516377136722,2275.0,608.0,547.5422885137257
61,LSPIN,lspin_tf,mlp,0.12,0.0105,0.4,610130,7,0.6047502047502048,0.850328947368421,18,266.6752319335937,0.9503100745831426,1800.0,474.0,433.143604505611
65,Concrete,concrete,mlp,0.15,0.0011,0.0,650123,0,0.6628992628992629,0.84375,12,642.5755615234375,0.9824630169696548,13730.0,2992.0,4998.122887100016
65,Concrete,concrete,mlp,0.15,0.0011,0.0,650124,1,0.6211302211302211,0.875,9,611.5723266601562,0.9875680499956389,12901.0,3016.0,4866.160215323142
65,Concrete,concrete,mlp,0.15,0.0011,0.0,650125,2,0.6484848484848484,0.8651315789473685,9,711.5530395507812,0.9901424325705056,14073.0,3656.0,5638.955444838924
65,Concrete,concrete,mlp,0.15,0.0011,0.0,650126,3,0.6263718263718264,0.8766447368421053,14,562.2926025390625,0.9820229494690416,12005.0,2696.0,4369.000703008809
