model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.17,0.0006,0.0,0,2,0.6100594921412535
LSPIN,lspin_tf,0.17,0.0006,0.0,1,2,0.4955115047025747
LSPIN,lspin_tf,0.17,0.0005,0.0,0,1,0.7080697452219581
LSPIN,lspin_tf,0.17,0.0005,0.0,0,2,0.6752596686362259
LSPIN,lspin_tf,0.17,0.0005,0.0,1,2,0.6307682171811503
L-LSPIN,lspin_tf,0.2,0.0025,0.0,0,1,0.5718145770093762
L-LSPIN,lspin_tf,0.2,0.0025,0.0,0,2,0.5828916593345288
L-LSPIN,lspin_tf,0.2,0.0025,0.0,1,2,0.5591059801751654
L-LSPIN,lspin_tf,0.2,0.0018,0.0,0,1,0.8065745381029618
L-LSPIN,lspin_tf,0.2,0.0018,0.0,0,2,0.6029484258002921
L-LSPIN,lspin_tf,0.2,0.0018,0.0,1,2,0.5344891887614985
L-LSPIN,lspin_tf,0.2,0.0014,0.0,0,1,0.3702617534462091
L-LSPIN,lspin_tf,0.2,0.0014,0.0,0,2,0.2398038529832559
L-LSPIN,lspin_tf,0.2,0.0014,0.0,1,2,0.520345033573791
L-LSPIN,lspin_tf,0.2,0.0011,0.0,0,1,0.7571509386415235
L-LSPIN,lspin_tf,0.2,0.0011,0.0,0,2,0.7389238062973918
L-LSPIN,lspin_tf,0.2,0.0011,0.0,1,2,0.7388234900035536
L-LSPIN,lspin_tf,0.2,0.0009,0.0,0,1,0.7459361564502577
L-LSPIN,lspin_tf,0.2,0.0009,0.0,0,2,0.771613316771501
L-LSPIN,lspin_tf,0.2,0.0009,0.0,1,2,0.8242860522643451
L-LSPIN,lspin_tf,0.17,0.0025,0.0,0,1,0.6314218584965071
L-LSPIN,lspin_tf,0.17,0.0025,0.0,0,2,0.5070617659558788
L-LSPIN,lspin_tf,0.17,0.0025,0.0,1,2,0.721916063798548
L-LSPIN,lspin_tf,0.17,0.0018,0.0,0,1,0.5766922464397061
L-LSPIN,lspin_tf,0.17,0.0018,0.0,0,2,0.6244257514410877
L-LSPIN,lspin_tf,0.17,0.0018,0.0,1,2,0.6197919192365194
L-LSPIN,lspin_tf,0.17,0.0014,0.0,0,1,0.6900196965128353
L-LSPIN,lspin_tf,0.17,0.0014,0.0,0,2,0.5832194751382801
L-LSPIN,lspin_tf,0.17,0.0014,0.0,1,2,0.6711455573043617
L-LSPIN,lspin_tf,0.17,0.0011,0.0,0,1,0.6999446466474433
L-LSPIN,lspin_tf,0.17,0.0011,0.0,0,2,0.762688093215504
L-LSPIN,lspin_tf,0.17,0.0011,0.0,1,2,0.6577776764418134
L-LSPIN,lspin_tf,0.17,0.0009,0.0,0,1,0.6471104217106147
L-LSPIN,lspin_tf,0.17,0.0009,0.0,0,2,0.6340171616665102
L-LSPIN,lspin_tf,0.17,0.0009,0.0,1,2,0.7653842925630482
Concrete,concrete,0.15,0.002,0.0,0,1,0.6798640653225735
Concrete,concrete,0.15,0.002,0.0,0,2,0.6709385785105135
Concrete,concrete,0.15,0.002,0.0,1,2,0.7096961647802776
Concrete,concrete,0.15,0.0017,0.0,0,1,0.6111513680831729
Concrete,concrete,0.15,0.0017,0.0,0,2,0.7238685729453518
Concrete,concrete,0.15,0.0017,0.0,1,2,0.6907288764882122
Concrete,concrete,0.15,0.0014,0.0,0,1,0.6330542781848182
Concrete,concrete,0.15,0.0014,0.0,0,2,0.6654399138454454
Concrete,concrete,0.15,0.0014,0.0,1,2,0.7614799929247249
