histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
PRAD,149,0.1339285714285714,LSPIN,0.2,0.0009,0.15,70125
READ,47,0.6244131455399061,LSPIN,0.2,0.0009,0.15,70125
SARC,77,0.7082585278276481,LSPIN,0.2,0.0009,0.15,70125
SKCM,29,0.3548387096774194,LSPIN,0.2,0.0009,0.15,70125
STAD,105,0.5399560117302052,LSPIN,0.2,0.0009,0.15,70125
TGCT,40,0.4444444444444444,LSPIN,0.2,0.0009,0.15,70125
THCA,150,0.7109375,LSPIN,0.2,0.0009,0.15,70125
THYM,35,0.94,LSPIN,0.2,0.0009,0.15,70125
UCEC,162,0.6175847457627118,LSPIN,0.2,0.0009,0.15,70125
UCS,16,0.4444444444444444,LSPIN,0.2,0.0009,0.15,70125
UVM,24,0.7090909090909091,LSPIN,0.2,0.0009,0.15,70125
ACC,24,0.8646616541353384,LSPIN,0.2,0.0007,0.15,110123
BLCA,121,0.5981495373843461,LSPIN,0.2,0.0007,0.15,110123
BRCA,321,0.6969640179910045,LSPIN,0.2,0.0007,0.15,110123
CESC,87,0.7156549520766773,LSPIN,0.2,0.0007,0.15,110123
CHOL,11,0.4848484848484848,LSPIN,0.2,0.0007,0.15,110123
COAD,130,0.564589352042922,LSPIN,0.2,0.0007,0.15,110123
DLBC,14,0.5777777777777777,LSPIN,0.2,0.0007,0.15,110123
ESCA,48,0.5558510638297872,LSPIN,0.2,0.0007,0.15,110123
GBM,46,0.5555555555555556,LSPIN,0.2,0.0007,0.15,110123
HNSC,150,0.6184342589494815,LSPIN,0.2,0.0007,0.15,110123
KICH,19,0.896551724137931,LSPIN,0.2,0.0007,0.15,110123
KIRC,158,0.6832712296528731,LSPIN,0.2,0.0007,0.15,110123
KIRP,85,0.8731117824773413,LSPIN,0.2,0.0007,0.15,110123
LGG,152,0.7358561258898464,LSPIN,0.2,0.0007,0.15,110123
LIHC,110,0.6374159820761762,LSPIN,0.2,0.0007,0.15,110123
LUAD,150,0.6763695168789166,LSPIN,0.2,0.0007,0.15,110123
LUSC,148,0.5406746031746031,LSPIN,0.2,0.0007,0.15,110123
MESO,25,0.7647058823529411,LSPIN,0.2,0.0007,0.15,110123
OV,112,0.5306236080178174,LSPIN,0.2,0.0007,0.15,110123
PAAD,53,0.670468948035488,LSPIN,0.2,0.0007,0.15,110123
PCPG,53,0.9,LSPIN,0.2,0.0007,0.15,110123
PRAD,149,0.2142857142857142,LSPIN,0.2,0.0007,0.15,110123
READ,47,0.6572769953051644,LSPIN,0.2,0.0007,0.15,110123
SARC,77,0.6319569120287253,LSPIN,0.2,0.0007,0.15,110123
SKCM,29,0.4758064516129032,LSPIN,0.2,0.0007,0.15,110123
STAD,105,0.4956011730205278,LSPIN,0.2,0.0007,0.15,110123
TGCT,40,0.5833333333333334,LSPIN,0.2,0.0007,0.15,110123
THCA,150,0.740625,LSPIN,0.2,0.0007,0.15,110123
THYM,35,0.88,LSPIN,0.2,0.0007,0.15,110123
UCEC,162,0.6592514124293786,LSPIN,0.2,0.0007,0.15,110123
UCS,16,0.5432098765432098,LSPIN,0.2,0.0007,0.15,110123
UVM,24,0.6363636363636364,LSPIN,0.2,0.0007,0.15,110123
ACC,24,0.8345864661654135,LSPIN,0.2,0.0007,0.15,110124
BLCA,121,0.6166541635408852,LSPIN,0.2,0.0007,0.15,110124
BRCA,321,0.6714767616191905,LSPIN,0.2,0.0007,0.15,110124
CESC,87,0.5511182108626198,LSPIN,0.2,0.0007,0.15,110124
CHOL,11,0.3939393939393939,LSPIN,0.2,0.0007,0.15,110124
COAD,130,0.5984316962443252,LSPIN,0.2,0.0007,0.15,110124
DLBC,14,0.4888888888888889,LSPIN,0.2,0.0007,0.15,110124
ESCA,48,0.5824468085106383,LSPIN,0.2,0.0007,0.15,110124
GBM,46,0.5517676767676768,LSPIN,0.2,0.0007,0.15,110124
HNSC,150,0.5833054533288725,LSPIN,0.2,0.0007,0.15,110124
KICH,19,0.9655172413793104,LSPIN,0.2,0.0007,0.15,110124
KIRC,158,0.6917042557364189,LSPIN,0.2,0.0007,0.15,110124
