model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
L-LSPIN,lspin_tf,0.17,0.0025,0.15,10,11,0.4023975205658627,0.5262639502985607
L-Concrete,concrete,0.12,0.0023,0.1,3,4,0.2619239945111266,0.3699304531921811
L-Concrete,concrete,0.12,0.0023,0.1,3,5,0.3226768676815805,0.4524795226155555
L-Concrete,concrete,0.12,0.0023,0.1,3,6,0.4480343840750382,0.4970184136992877
L-Concrete,concrete,0.12,0.0023,0.1,3,7,0.2966064880496276,0.4106848348862882
L-Concrete,concrete,0.12,0.0023,0.1,3,8,0.5394552366436249,0.5276053054438706
L-Concrete,concrete,0.12,0.0023,0.1,3,9,0.4477529338145866,0.4855167946964849
L-Concrete,concrete,0.12,0.0023,0.1,3,10,0.5770159572172323,0.5625067248461453
L-Concrete,concrete,0.12,0.0023,0.1,3,11,0.2910528920623943,0.4013160165012724
L-Concrete,concrete,0.12,0.0023,0.1,4,5,0.3047403956505615,0.3798207374144713
L-Concrete,concrete,0.12,0.0023,0.1,4,6,0.3307896278536036,0.4422644103727851
L-Concrete,concrete,0.12,0.0023,0.1,4,7,0.2856585698389347,0.3672714842680187
L-Concrete,concrete,0.12,0.0023,0.1,4,8,0.2668683921222703,0.3918541558300886
L-Concrete,concrete,0.12,0.0023,0.1,4,9,0.1777221566699518,0.3137735371394404
L-Concrete,concrete,0.12,0.0023,0.1,4,10,0.3900010341807088,0.4757421193037
L-Concrete,concrete,0.12,0.0023,0.1,4,11,0.241265470838352,0.3708097745569518
L-Concrete,concrete,0.12,0.0023,0.1,5,6,0.286135803604936,0.4257292410077469
L-Concrete,concrete,0.12,0.0023,0.1,5,7,0.4554328917494107,0.4799127559946988
L-Concrete,concrete,0.12,0.0023,0.1,5,8,0.3383858832693485,0.4347152315292737
L-Concrete,concrete,0.12,0.0023,0.1,5,9,0.355061673391502,0.3966709062035868
L-Concrete,concrete,0.12,0.0023,0.1,5,10,0.3921125000641315,0.5055397323522411
L-Concrete,concrete,0.12,0.0023,0.1,5,11,0.3374399005836146,0.4353057645888435
L-Concrete,concrete,0.12,0.0023,0.1,6,7,0.3012284922393423,0.4227874853781179
L-Concrete,concrete,0.12,0.0023,0.1,6,8,0.5037510628762588,0.5770054604749169
L-Concrete,concrete,0.12,0.0023,0.1,6,9,0.4761178332534171,0.5290685495642752
L-Concrete,concrete,0.12,0.0023,0.1,6,10,0.4624088334195258,0.5597537716079151
L-Concrete,concrete,0.12,0.0023,0.1,6,11,0.2676904771601735,0.3743698768037223
L-Concrete,concrete,0.12,0.0023,0.1,7,8,0.3141986859012265,0.3879215792703975
L-Concrete,concrete,0.12,0.0023,0.1,7,9,0.360484880160534,0.4080762372299805
L-Concrete,concrete,0.12,0.0023,0.1,7,10,0.2593950989467468,0.4221824730188838
L-Concrete,concrete,0.12,0.0023,0.1,7,11,0.2442943539802168,0.3489531422378412
L-Concrete,concrete,0.12,0.0023,0.1,8,9,0.4773110241481113,0.4694020011038719
L-Concrete,concrete,0.12,0.0023,0.1,8,10,0.4996196956589804,0.5260113892257374
L-Concrete,concrete,0.12,0.0023,0.1,8,11,0.29644900133128,0.3828421395103846
L-Concrete,concrete,0.12,0.0023,0.1,9,10,0.4192832960225144,0.4964058145131569
L-Concrete,concrete,0.12,0.0023,0.1,9,11,0.3487530119932403,0.4061552759252915
L-Concrete,concrete,0.12,0.0023,0.1,10,11,0.3167080194560123,0.4327403492582559
