model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
L-LSPIN,0.17,0.0011,0.0,0.6953018664813267,0.0132784409956674,1110.2079264322915,58.01221504925557,0.9945613563914624,0.0009742657415005,2023.6666666666667,1790.3333333333333,3,1110.2127685546875,58.02168664888325
L-LSPIN,0.17,0.0011,0.05,0.6894135028554937,0.0174212539953497,1144.6707763671875,70.80572543109012,0.9928664809194916,0.0013239707098507,1853.3333333333333,1670.3333333333333,3,1144.6669514973958,70.7990616667538
L-LSPIN,0.17,0.0011,0.1,0.6763700528158992,0.0255123498031946,1141.2275390625,27.73171962759937,0.993516970235188,0.0006275103859984,1806.6666666666667,1672.0,3,1141.2275390625,27.731231062895315
L-LSPIN,0.17,0.0011,0.15,0.6968667958853728,0.0262343216437023,1183.0808919270833,35.33118019583255,0.9949990792296494,0.0006744508322788,2051.333333333333,1929.3333333333333,3,1183.0755208333333,35.32710172033662
L-LSPIN,0.17,0.0014,0.0,0.6946843578459422,0.0083501987873488,882.45654296875,57.29816845479247,0.990783435123333,0.0016999868895596,1428.6666666666667,1250.3333333333333,3,882.4550374348959,57.29982328710702
L-LSPIN,0.17,0.0014,0.05,0.7018136055114673,0.0131525866577811,965.7037556966146,106.45105229090198,0.991886047511356,0.0037259091303112,1763.3333333333333,1572.3333333333333,3,965.6996053059896,106.44420290489958
L-LSPIN,0.17,0.0014,0.1,0.7079320213740123,0.007135229720895,877.0717976888021,13.180581379847998,0.9894268310955048,0.0010519796310944,1260.6666666666667,1186.6666666666667,3,877.0715535481771,13.181527252197688
L-LSPIN,0.17,0.0014,0.15,0.7076858667289793,0.0231811728095852,956.7711995442708,109.95199384181907,0.9918165504890388,0.0027660626625603,1542.6666666666667,1443.0,3,956.7755330403646,109.95638531255813
L-LSPIN,0.17,0.0018,0.0,0.7011600224884487,0.0166759214583039,654.8671875,59.42805407932675,0.9855121939724504,0.0026875686961119,1010.3333333333334,909.3333333333334,3,654.8675944010416,59.42899479246479
L-LSPIN,0.17,0.0018,0.05,0.7031107855678483,0.0148544220817325,674.6905314127604,64.69013416334363,0.9865160942459702,0.0022426378112625,1077.6666666666667,953.6666666666666,3,674.6893717447916,64.68724045405784
L-LSPIN,0.17,0.0018,0.1,0.7166305673140584,0.0092076008002352,731.7710571289062,54.90615130469501,0.9884483131330074,0.0022784352049317,1177.6666666666667,1061.3333333333333,3,731.7716267903646,54.904329545140456
L-LSPIN,0.17,0.0018,0.15,0.7248445431060223,0.0099571901220261,744.6387125651041,30.7310174385546,0.987233086731823,0.0014143120087655,1120.3333333333333,1036.6666666666667,3,744.6365559895834,30.728414279029728
L-LSPIN,0.17,0.0025,0.0,0.7126513064670267,0.0095643052681441,451.4977773030599,26.695052006595937,0.97714428078723,0.0032411833179685,705.0833333333334,622.8333333333334,12,451.4972890218099,26.69446686077041
L-LSPIN,0.17,0.0025,0.05,0.715371458843243,0.0066671437471257,451.6003723144531,9.101725139566664,0.977017600840702,0.0021326408515687,642.6666666666666,568.6666666666666,3,451.6000671386719,9.103139996579705
L-LSPIN,0.17,0.0025,0.1,0.7148700373376154,0.0077291073098681,478.46099853515625,29.836129921027705,0.9735805199125028,0.0040005944300714,679.0,611.3333333333334,3,478.4605000813802,29.83492893066587
L-LSPIN,0.17,0.0025,0.15,0.7155580720249489,0.0098377678469286,482.8681411743164,39.87584681931719,0.9781066321797676,0.0043474989018864,696.9166666666666,638.6666666666666,12,482.868054707845,39.87498328180762
L-LSPIN,0.2,0.0009,0.0,0.6787746791251874,0.0252434234226317,1211.5226236979167,134.14238158906755,0.9942695999111216,0.0011472233469454,2011.3333333333333,1824.6666666666667,3,1211.5304361979167,134.1416460269608
L-LSPIN,0.2,0.0009,0.05,0.6768717239712684,0.0021323769603578,1227.2079671223958,37.93676119536173,0.9938845794461472,0.0018768693825935,1816.3333333333333,1675.3333333333333,3,1227.2113444010415,37.9456942918496
L-LSPIN,0.2,0.0009,0.1,0.6698199925504517,0.034586505473323,1316.9684244791667,65.40757198181687,0.9954212445806654,0.0004643355304717,2338.6666666666665,2140.0,3,1316.9792073567708,65.42246814040864
L-LSPIN,0.2,0.0009,0.15,0.6846179809726953,0.0048307229801549,1242.5176188151042,40.828512415183496,0.9940686031683694,0.0014731514942173,2014.0,1876.0,3,1242.5104573567708,40.83248006462773
L-LSPIN,0.2,0.0011,0.0,0.6955022103988105,0.0075652002995213,1018.34326171875,74.31409470480932,0.9930817553340852,0.001572762666251,1729.0,1555.3333333333333,3,1018.3410847981772,74.31792609562581
L-LSPIN,0.2,0.0011,0.05,0.6991573322628352,0.0307558944135849,1081.6253865559895,68.10246754038505,0.9936108890294834,0.0007214841484924,1783.0,1635.3333333333333,3,1081.6228841145833,68.10061023671888
L-LSPIN,0.2,0.0011,0.1,0.6935730420220431,0.0083220371645642,1094.395284016927,134.5659090042829,0.9930972269364758,0.0031418769649601,1814.6666666666667,1627.0,3,1094.3894449869792,134.55031247745103
L-LSPIN,0.2,0.0011,0.15,0.693419132956462,0.0197917740740637,1072.6126505533855,79.83335801769154,0.9925152449373632,0.0014690497203242,1609.0,1520.0,3,1072.6065470377605,79.82531414139889
L-LSPIN,0.2,0.0014,0.0,0.6872552808409802,0.0219420691099503,864.9324137369791,85.48743033604062,0.9889983394582512,0.0031901853257182,1361.6666666666667,1182.3333333333333,3,864.9334716796875,85.48788998224276
L-LSPIN,0.2,0.0014,0.05,0.6949577243127892,0.007044709815523,887.7501424153646,43.06406396842576,0.9911317375569354,0.0012988449097239,1490.6666666666667,1347.0,3,887.7503458658854,43.07449378605897
L-LSPIN,0.2,0.0014,0.1,0.6930953372418497,0.0163000190472995,914.896993001302,29.886703764578908,0.9905795931298148,0.001407675172019,1449.6666666666667,1315.3333333333333,3,914.8996378580728,29.888751626155003
