gene,probe_id
ENSG00000237988,ENSG00000237988.3
ENSG00000167034,ENSG00000167034.9
ENSG00000237541,ENSG00000237541.3
ENSG00000210144,ENSG00000210144.1
ENSG00000176907,ENSG00000176907.4
ENSG00000186340,ENSG00000186340.13
ENSG00000170370,ENSG00000170370.11
ENSG00000211898,ENSG00000211898.6
ENSG00000132840,ENSG00000132840.8
ENSG00000171766,ENSG00000171766.14
ENSG00000117595,ENSG00000117595.9
ENSG00000113722,ENSG00000113722.15
ENSG00000257084,ENSG00000257084.1
ENSG00000046604,ENSG00000046604.11
ENSG00000211625,ENSG00000211625.2
ENSG00000018625,ENSG00000018625.13
ENSG00000158715,ENSG00000158715.5
ENSG00000170558,ENSG00000170558.7
ENSG00000070526,ENSG00000070526.13
ENSG00000164929,ENSG00000164929.15
ENSG00000129988,ENSG00000129988.5
ENSG00000114115,ENSG00000114115.8
ENSG00000157992,ENSG00000157992.11
ENSG00000146674,ENSG00000146674.13
ENSG00000197956,ENSG00000197956.8
ENSG00000125999,ENSG00000125999.9
ENSG00000118849,ENSG00000118849.8
ENSG00000105976,ENSG00000105976.13
ENSG00000135069,ENSG00000135069.12
ENSG00000136883,ENSG00000136883.11
ENSG00000233913,ENSG00000233913.7
ENSG00000204262,ENSG00000204262.10
ENSG00000143387,ENSG00000143387.11
ENSG00000152661,ENSG00000152661.7
ENSG00000149968,ENSG00000149968.10
ENSG00000129151,ENSG00000129151.7
ENSG00000151715,ENSG00000151715.6
ENSG00000168528,ENSG00000168528.10
ENSG00000117399,ENSG00000117399.12
ENSG00000170477,ENSG00000170477.11
ENSG00000180818,ENSG00000180818.4
ENSG00000117394,ENSG00000117394.18
ENSG00000211650,ENSG00000211650.2
ENSG00000021300,ENSG00000021300.12
ENSG00000169715,ENSG00000169715.13
ENSG00000211685,ENSG00000211685.3
ENSG00000104332,ENSG00000104332.10
ENSG00000105369,ENSG00000105369.8
ENSG00000187244,ENSG00000187244.9
ENSG00000115221,ENSG00000115221.9
ENSG00000111799,ENSG00000111799.19
