model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,0.01,0.0,5,7,0.15565447869910648,0.21175817829297292
LSPIN,lspin_tf,0.01,0.0,5,8,0.1647652016643578,0.20199354423837027
LSPIN,lspin_tf,0.01,0.0,5,9,0.1645092049899096,0.23884734637263466
LSPIN,lspin_tf,0.01,0.0,6,7,0.35706709690246996,0.3443840326454926
LSPIN,lspin_tf,0.01,0.0,6,8,0.4166695519512716,0.4413819184022852
LSPIN,lspin_tf,0.01,0.0,6,9,0.5701938869234687,0.5123062375755918
LSPIN,lspin_tf,0.01,0.0,7,8,0.19691652037865212,0.25032105763466833
LSPIN,lspin_tf,0.01,0.0,7,9,0.2232787919808165,0.23475307636954904
LSPIN,lspin_tf,0.01,0.0,8,9,0.33894182699050585,0.38967584320519766
LSPIN,lspin_tf,0.008,0.0,0,1,0.479175668405165,0.43848218187042853
LSPIN,lspin_tf,0.008,0.0,0,2,0.12313650408263567,0.14398328607440367
LSPIN,lspin_tf,0.008,0.0,0,3,0.24315577825227588,0.2813339941473402
LSPIN,lspin_tf,0.008,0.0,0,4,0.1808865235803726,0.206277510113999
LSPIN,lspin_tf,0.008,0.0,0,5,0.2064424925854784,0.2024132939235623
LSPIN,lspin_tf,0.008,0.0,0,6,0.1374665886017005,0.1681038816766616
LSPIN,lspin_tf,0.008,0.0,0,7,0.16172788141052286,0.17598387335802784
LSPIN,lspin_tf,0.008,0.0,0,8,0.17064719505654294,0.22244086516500702
LSPIN,lspin_tf,0.008,0.0,0,9,0.3014054699239887,0.30897202048799455
LSPIN,lspin_tf,0.008,0.0,1,2,0.22067474837451803,0.22652947477516738
LSPIN,lspin_tf,0.008,0.0,1,3,0.3186187024277503,0.37612190264341616
LSPIN,lspin_tf,0.008,0.0,1,4,0.2891531335842805,0.30307499027538815
LSPIN,lspin_tf,0.008,0.0,1,5,0.28973660303263604,0.28039306562879995
LSPIN,lspin_tf,0.008,0.0,1,6,0.20119836535332053,0.22101597712539917
LSPIN,lspin_tf,0.008,0.0,1,7,0.30343388336130317,0.3293056969300721
LSPIN,lspin_tf,0.008,0.0,1,8,0.21763082696482683,0.2576366616523495
LSPIN,lspin_tf,0.008,0.0,1,9,0.33001801221537624,0.33504290058084435
LSPIN,lspin_tf,0.008,0.0,2,3,0.16850333692716984,0.22675329708033792
