histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
other,23,0.7567567567567568,LSPIN,0.008,0.0,50130
infiltratingductalcarcinoma,220,0.7168576104746317,LSPIN,0.008,0.0,50131
infiltratinglobularcarcinoma,60,0.5396825396825397,LSPIN,0.008,0.0,50131
other,23,0.6216216216216216,LSPIN,0.008,0.0,50131
infiltratingductalcarcinoma,220,0.6445171849427168,LSPIN,0.008,0.0,50132
infiltratinglobularcarcinoma,60,0.4708994708994709,LSPIN,0.008,0.0,50132
other,23,0.5405405405405406,LSPIN,0.008,0.0,50132
infiltratingductalcarcinoma,220,0.611456628477905,LSPIN,0.0065,0.0,60123
infiltratinglobularcarcinoma,60,0.5238095238095238,LSPIN,0.0065,0.0,60123
other,23,0.5405405405405406,LSPIN,0.0065,0.0,60123
infiltratingductalcarcinoma,220,0.6841243862520459,LSPIN,0.0065,0.0,60124
infiltratinglobularcarcinoma,60,0.6031746031746031,LSPIN,0.0065,0.0,60124
other,23,0.8108108108108109,LSPIN,0.0065,0.0,60124
infiltratingductalcarcinoma,220,0.6340425531914894,LSPIN,0.0065,0.0,60125
infiltratinglobularcarcinoma,60,0.38095238095238093,LSPIN,0.0065,0.0,60125
other,23,0.4864864864864865,LSPIN,0.0065,0.0,60125
infiltratingductalcarcinoma,220,0.6739770867430442,LSPIN,0.0065,0.0,60126
infiltratinglobularcarcinoma,60,0.47619047619047616,LSPIN,0.0065,0.0,60126
other,23,0.7297297297297297,LSPIN,0.0065,0.0,60126
infiltratingductalcarcinoma,220,0.6517184942716857,LSPIN,0.0065,0.0,60127
infiltratinglobularcarcinoma,60,0.41798941798941797,LSPIN,0.0065,0.0,60127
other,23,0.4594594594594595,LSPIN,0.0065,0.0,60127
infiltratingductalcarcinoma,220,0.6297872340425532,LSPIN,0.0065,0.0,60128
infiltratinglobularcarcinoma,60,0.544973544973545,LSPIN,0.0065,0.0,60128
other,23,0.4864864864864865,LSPIN,0.0065,0.0,60128
infiltratingductalcarcinoma,220,0.5705400981996727,LSPIN,0.0065,0.0,60129
infiltratinglobularcarcinoma,60,0.4656084656084656,LSPIN,0.0065,0.0,60129
other,23,0.7837837837837838,LSPIN,0.0065,0.0,60129
infiltratingductalcarcinoma,220,0.6461538461538462,LSPIN,0.0065,0.0,60130
infiltratinglobularcarcinoma,60,0.5608465608465608,LSPIN,0.0065,0.0,60130
other,23,0.5945945945945946,LSPIN,0.0065,0.0,60130
infiltratingductalcarcinoma,220,0.5214402618657937,LSPIN,0.0065,0.0,60131
infiltratinglobularcarcinoma,60,0.6455026455026455,LSPIN,0.0065,0.0,60131
other,23,0.4594594594594595,LSPIN,0.0065,0.0,60131
infiltratingductalcarcinoma,220,0.5682487725040917,LSPIN,0.0065,0.0,60132
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,0.0065,0.0,60132
other,23,0.5675675675675675,LSPIN,0.0065,0.0,60132
infiltratingductalcarcinoma,220,0.611783960720131,LSPIN,0.005,0.0,70123
infiltratinglobularcarcinoma,60,0.5502645502645502,LSPIN,0.005,0.0,70123
other,23,0.5675675675675675,LSPIN,0.005,0.0,70123
