model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.008,0.0,0,4,0.6252569389631601
LSPIN,lspin_tf,0.008,0.0,0,5,0.6358700871449047
LSPIN,lspin_tf,0.008,0.0,0,6,0.6500266270358928
LSPIN,lspin_tf,0.008,0.0,0,7,0.6476576306399658
LSPIN,lspin_tf,0.008,0.0,0,8,0.6858638213262797
LSPIN,lspin_tf,0.008,0.0,0,9,0.6785888616270406
LSPIN,lspin_tf,0.008,0.0,1,2,0.6180466882284487
LSPIN,lspin_tf,0.008,0.0,1,3,0.6463828773872236
LSPIN,lspin_tf,0.008,0.0,1,4,0.596003047326639
LSPIN,lspin_tf,0.008,0.0,1,5,0.6437125143059176
LSPIN,lspin_tf,0.008,0.0,1,6,0.6474023747415574
LSPIN,lspin_tf,0.008,0.0,1,7,0.7245933451053882
LSPIN,lspin_tf,0.008,0.0,1,8,0.6068206301560727
LSPIN,lspin_tf,0.008,0.0,1,9,0.6404539214685714
LSPIN,lspin_tf,0.008,0.0,2,3,0.690763454588299
LSPIN,lspin_tf,0.008,0.0,2,4,0.628647312811752
LSPIN,lspin_tf,0.008,0.0,2,5,0.6074606765287748
LSPIN,lspin_tf,0.008,0.0,2,6,0.5314139541825551
LSPIN,lspin_tf,0.008,0.0,2,7,0.5486869176332014
LSPIN,lspin_tf,0.008,0.0,2,8,0.6233372801675472
LSPIN,lspin_tf,0.008,0.0,2,9,0.5706790445224158
LSPIN,lspin_tf,0.008,0.0,3,4,0.7589360872367129
LSPIN,lspin_tf,0.008,0.0,3,5,0.7260088711616698
LSPIN,lspin_tf,0.008,0.0,3,6,0.6740459027621987
LSPIN,lspin_tf,0.008,0.0,3,7,0.5784029296254469
LSPIN,lspin_tf,0.008,0.0,3,8,0.840640045144101
LSPIN,lspin_tf,0.008,0.0,3,9,0.7489586884281689
LSPIN,lspin_tf,0.008,0.0,4,5,0.7404239892991528
LSPIN,lspin_tf,0.008,0.0,4,6,0.6763386185661124
