model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,0.1,0.0033,0.7,390125,2,0.6039312039312039,0.7927631578947368,3,1720.5369873046875,0.9920909961885827,2778.0,2416.0,2103.917782530391
LSPIN,lspin_tf,0.1,0.0033,0.7,390126,3,0.6083538083538084,0.837171052631579,4,1261.546630859375,0.9867836670034664,2205.0,1956.0,1669.7648435349158
LSPIN,lspin_tf,0.1,0.0033,0.7,390127,4,0.6401310401310402,0.8355263157894737,9,1243.980712890625,0.9849081136412694,1877.0,1729.0,1519.2009964294957
LSPIN,lspin_tf,0.1,0.0033,0.7,390128,5,0.5505323505323505,0.8009868421052632,6,1113.639892578125,0.9852742210897657,1872.0,1697.0,1438.5501083654365
LSPIN,lspin_tf,0.1,0.0033,0.7,390129,6,0.5025389025389025,0.7754934210526315,3,1313.5401611328125,0.9892755344835962,2445.0,2072.0,1770.0836658968433
LSPIN,lspin_tf,0.1,0.0033,0.7,390130,7,0.4540540540540541,0.8157894736842105,2,1078.958251953125,0.9897302172194937,2435.0,1944.0,1632.9943981569972
LSPIN,lspin_tf,0.1,0.0033,0.7,390131,8,0.6175266175266175,0.8075657894736842,4,1800.48876953125,0.9922208246810266,2868.0,2639.0,2272.6663123370395
LSPIN,lspin_tf,0.1,0.0033,0.7,390132,9,0.5946764946764946,0.8297697368421053,4,933.9163818359375,0.9868080747066507,1905.0,1634.0,1375.7979572214367
LSPIN,lspin_tf,0.1,0.0022,0.7,400123,0,0.6230958230958231,0.8552631578947368,8,1533.45654296875,0.988218821335975,2436.0,2265.0,1963.3053463724925
LSPIN,lspin_tf,0.1,0.0022,0.7,400124,1,0.6127764127764128,0.8108552631578947,7,2190.090087890625,0.9933134568326448,3012.0,2845.0,2565.835231108005
LSPIN,lspin_tf,0.1,0.0022,0.7,400125,2,0.5336609336609337,0.8379934210526315,2,2083.025634765625,0.9938109958447294,3906.0,3363.0,2840.706442122714
LSPIN,lspin_tf,0.1,0.0022,0.7,400126,3,0.5913185913185913,0.8486842105263158,3,2337.392333984375,0.9935466116892517,3663.0,3337.0,2920.392511559522
LSPIN,lspin_tf,0.1,0.0022,0.7,400127,4,0.5749385749385749,0.78125,2,2453.398681640625,0.9946669243418582,4112.0,3665.0,3163.119724187972
LSPIN,lspin_tf,0.1,0.0022,0.7,400128,5,0.5999180999181,0.7639802631578947,6,1617.601318359375,0.9915135649527814,2749.0,2430.0,2094.6450812484545
LSPIN,lspin_tf,0.1,0.0022,0.7,400129,6,0.4896805896805897,0.6620065789473685,13,1403.135009765625,0.9867492045972418,1998.0,1869.0,1648.228368208213
LSPIN,lspin_tf,0.1,0.0022,0.7,400130,7,0.6643734643734643,0.7976973684210527,2,1655.41796875,0.9916348022821564,3365.0,2864.0,2388.2967063581964
LSPIN,lspin_tf,0.1,0.0022,0.7,400131,8,0.621949221949222,0.8552631578947368,14,1957.4501953125,0.9915064594223216,2649.0,2539.0,2286.3960528204234
LSPIN,lspin_tf,0.1,0.0022,0.7,400132,9,0.5913185913185913,0.8207236842105263,3,1829.6656494140625,0.9928470254861251,3188.0,2826.0,2439.2007592588516
Concrete,concrete,0.1,0.008,0.0,410123,0,0.485012285012285,0.8322368421052632,2,87.85208892822266,0.9342461084400291,538.0,358.0,315.00713293350503
Concrete,concrete,0.1,0.008,0.0,410124,1,0.4851760851760852,0.8421052631578947,2,65.98070526123047,0.9217011052993151,469.0,269.0,260.53476458269
Concrete,concrete,0.1,0.008,0.0,410125,2,0.48992628992628995,0.8075657894736842,3,50.01286315917969,0.8945851732734951,312.0,184.0,161.4834766379523
Concrete,concrete,0.1,0.008,0.0,410126,3,0.5357903357903357,0.7138157894736842,2,79.21221923828125,0.9281571750638331,554.0,328.0,304.91573644886313
Concrete,concrete,0.1,0.008,0.0,410127,4,0.6186732186732187,0.8947368421052632,16,36.35369873046875,0.7855285589382447,141.0,111.0,89.1591824755602
Concrete,concrete,0.1,0.008,0.0,410128,5,0.6049140049140049,0.7911184210526315,2,71.50482177734375,0.9390954025397539,476.0,289.0,269.1221082191735
Concrete,concrete,0.1,0.008,0.0,410129,6,0.6031122031122031,0.8618421052631579,6,64.58521270751953,0.9100017649071112,315.0,214.0,184.90873826760244
Concrete,concrete,0.1,0.008,0.0,410130,7,0.5438165438165438,0.8700657894736842,3,70.10289764404297,0.9077790252503941,406.0,273.0,231.6907441485495
Concrete,concrete,0.1,0.008,0.0,410131,8,0.5351351351351351,0.850328947368421,6,50.1028938293457,0.8835796362954196,245.0,168.0,148.9567487957744
Concrete,concrete,0.1,0.008,0.0,410132,9,0.5067977067977067,0.8634868421052632,30,41.26366424560547,0.8273828074916905,155.0,111.0,94.4696646566436
Concrete,concrete,0.1,0.006,0.0,420123,0,0.42866502866502865,0.7631578947368421,1,100.26688385009766,0.937357880591164,680.0,442.0,401.1307694539176
Concrete,concrete,0.1,0.006,0.0,420124,1,0.523996723996724,0.787828947368421,2,103.28939056396484,0.9452619000262694,659.0,391.0,362.77988210482664
Concrete,concrete,0.1,0.006,0.0,420125,2,0.5656019656019656,0.7236842105263158,2,129.2733154296875,0.9406598395841818,766.0,480.0,424.08466280515665
Concrete,concrete,0.1,0.006,0.0,420126,3,0.49221949221949224,0.8207236842105263,2,118.22508239746094,0.9452271033844775,735.0,462.0,420.55768156126453
Concrete,concrete,0.1,0.006,0.0,420127,4,0.5577395577395577,0.7845394736842105,2,109.10932159423828,0.9421583156500416,738.0,441.0,414.5179134548483
Concrete,concrete,0.1,0.006,0.0,420128,5,0.6085176085176085,0.819078947368421,1,186.26687622070312,0.9601312129134882,1167.0,746.0,676.392140119079
Concrete,concrete,0.1,0.006,0.0,420129,6,0.49303849303849306,0.7417763157894737,7,89.88102722167969,0.9218457534447497,381.0,290.0,246.9255468142956
Concrete,concrete,0.1,0.006,0.0,420130,7,0.49844389844389847,0.7154605263157895,1,156.4212188720703,0.9600815756091515,1007.0,648.0,583.3191149430808
Concrete,concrete,0.1,0.006,0.0,420131,8,0.5736281736281736,0.7286184210526315,2,114.97749328613281,0.9500515850260419,683.0,466.0,411.92788561523633
Concrete,concrete,0.1,0.006,0.0,420132,9,0.5603603603603604,0.75,1,155.52410888671875,0.9591869761476474,931.0,601.0,535.2575772518334
Concrete,concrete,0.1,0.005,0.0,430123,0,0.5988533988533988,0.8108552631578947,1,129.21864318847656,0.9614890452076511,823.0,527.0,486.2387389877937
Concrete,concrete,0.1,0.005,0.0,430124,1,0.5711711711711712,0.8733552631578947,6,115.71382904052734,0.9304933746597551,475.0,349.0,289.5324158475746
Concrete,concrete,0.1,0.005,0.0,430125,2,0.5713349713349714,0.7976973684210527,1,168.7073974609375,0.960723476981915,924.0,647.0,572.7713388291488
Concrete,concrete,0.1,0.005,0.0,430126,3,0.5295659295659295,0.850328947368421,2,135.53697204589844,0.9495435159720244,776.0,514.0,459.4565353215211
Concrete,concrete,0.1,0.005,0.0,430127,4,0.5703521703521703,0.850328947368421,1,218.16720581054688,0.9660559092933613,1379.0,862.0,774.1367077611876
Concrete,concrete,0.1,0.005,0.0,430128,5,0.5474201474201474,0.743421052631579,1,130.95176696777344,0.9546698516347307,794.0,551.0,508.09518260967053
Concrete,concrete,0.1,0.005,0.0,430129,6,0.61998361998362,0.7993421052631579,6,105.92926025390625,0.9357581127456647,486.0,343.0,292.3985695189276
Concrete,concrete,0.1,0.005,0.0,430130,7,0.563963963963964,0.8305921052631579,4,148.33761596679688,0.9390037293627155,735.0,506.0,429.238373261782
Concrete,concrete,0.1,0.005,0.0,430131,8,0.5316953316953317,0.837171052631579,2,143.51126098632812,0.9469516374148759,789.0,526.0,465.5724495963228
Concrete,concrete,0.1,0.005,0.0,430132,9,0.5868959868959869,0.8388157894736842,3,157.95498657226562,0.9491687963224393,829.0,539.0,470.67862233278737
Concrete,concrete,0.1,0.004,0.0,440123,0,0.5615069615069616,0.8240131578947368,3,194.07073974609375,0.9545739624104247,915.0,639.0,543.1557669344973
