dataset,experiment,task_stage,variant_key,variant_label,model_family,goal1_group,split_seed,n_reps,split_mean_test_cindex,split_sd_test_cindex,split_mean_Ksoft,split_sd_Ksoft,split_mean_Khard,split_sd_Khard
kipan,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,floor,123,1,0.729912414318355,,2984.06201171875,,2966.274169921875,
kipan,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,floor,124,1,0.718012185833968,,2969.753173828125,,2964.837890625,
kipan,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,floor,125,1,0.728008377760853,,2948.37841796875,,2935.100341796875,
kipan,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,floor,126,1,0.72496191926885,,2970.132080078125,,2960.96142578125,
kipan,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,floor,127,1,0.7357197258187357,,3011.550537109375,,3017.45947265625,
kipan,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,floor,123,1,0.7154417364813405,,2922.302978515625,,2922.614013671875,
kipan,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,floor,124,1,0.7217250571210967,,2885.09033203125,,2884.38232421875,
kipan,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,floor,125,1,0.6726009139375476,,2930.1904296875,,2929.397705078125,
kipan,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,floor,126,1,0.714965727341965,,2877.59375,,2877.54052734375,
kipan,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,floor,127,1,0.7010662604722011,,2987.557861328125,,2986.486572265625,
kipan,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,floor,123,1,0.7261043412033511,,2985.37451171875,,2986.385986328125,
kipan,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,floor,124,1,0.6908796648895659,,2961.71875,,2960.397705078125,
kipan,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,floor,125,1,0.7038271134805788,,2933.278076171875,,2933.695068359375,
kipan,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,floor,126,1,0.7134424980959635,,2918.603271484375,,2917.96533203125,
kipan,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,floor,127,1,0.7063975628332064,,3003.868896484375,,3004.20068359375,
kipan,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,dense,123,1,0.7234386900228484,,,,,
kipan,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,dense,124,1,0.711062452399086,,,,,
kipan,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,dense,125,1,0.7171553693830921,,,,,
kipan,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,dense,126,1,0.7500952018278751,,,,,
kipan,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,dense,127,1,0.7402894135567403,,,,,
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,123,1,0.7398134044173648,,278.49566650390625,,278.45947265625,
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,124,1,0.7125856816450876,,164.97743225097656,,164.9961395263672,
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,125,1,0.723914699162224,,227.69058227539065,,227.6525115966797,
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,alt_sigma,126,1,0.7001142421934501,,216.5535888671875,,216.53668212890625,
