dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count
brca,goal1,screen,goal1_smooth_concrete_lamx2p5,Concrete smooth x2.5,Concrete,concrete,0.0055,0.0022,2.5,0.15,smooth,5,0.6277805077805078,0.026839895183312937,0.6864568538574489,11.0,2.345207879911715,159.41964416503907,28.156174350424976,133.47074127197266,25.67892770930614,4704.4,1101.8655997897386,425.48452654834045,50.81865482354631,0.023526205414431907,24.6799749748834,22.508572555346102,965.8277822137858,44.54451495053447
brca,goal1,screen,goal1_smooth_concrete_lamx3p0,Concrete smooth x3,Concrete,concrete,0.0066,0.0022,3.0,0.15,smooth,5,0.6078296478296478,0.019714423197866503,0.7016824321253087,12.2,2.949576240750525,127.07490844726563,22.755306072685705,105.35626983642578,22.407303124601658,4555.0,1106.5922916774723,400.6888087781892,79.1971366766823,0.017280453839790287,19.94590520111689,19.640867167788677,969.9709103266962,69.41935104310214
brca,goal1,screen,goal1_smooth_lconcrete,L-Concrete smooth,L-Concrete,concrete,0.0022,0.0022,1.0,0.15,linear_gated,5,0.6551351351351352,0.022743639472119607,0.7416710840604573,13.2,1.9235384061671343,1508.210595703125,171.65447790351678,1452.366552734375,176.43569827522538,4458.0,1266.7318184998749,1709.818053326453,213.48121817968462,0.019935678974839492,150.46178384392363,154.65270828041014,1110.339394527637,187.12453818154157
brca,goal1,screen,goal1_smooth_lconcrete_lamx0p75,L-Concrete smooth x0.75,L-Concrete,concrete,0.00165,0.0022,0.75,0.15,linear_gated,5,0.6712530712530713,0.008001097291937678,0.7441680053688745,15.2,2.6832815729997477,2168.5373779296874,115.79731079444731,2118.5762451171877,112.80556483573186,4825.2,1613.9030949843302,2383.6772083575934,192.44580332613415,0.007013270996229953,101.5008181508373,98.87843719547888,1414.6484355570467,168.6861841029421
brca,goal1,screen,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,concrete,0.00275,0.0022,1.25,0.15,linear_gated,5,0.6528091728091728,0.02088712225452125,0.7503162318012243,17.2,3.7013511046643495,1092.4084228515626,150.72071423270958,1051.1163940429688,146.0434469395205,4043.8,1182.7377984997352,1214.6751027841963,181.524275752599,0.018308369884459604,132.1125309555302,128.01272540985934,1036.7153898655117,159.11304309849743
brca,goal1,screen,goal1_smooth_lconcrete_lamx1p5,L-Concrete smooth x1.5,L-Concrete,concrete,0.0033,0.0022,1.5,0.15,linear_gated,5,0.642031122031122,0.031277382859190433,0.7456819979402339,25.4,14.117365193264641,840.1412353515625,89.98388694206939,805.8958129882812,88.17916050878785,4072.4,1347.2851591255655,960.1949157195522,119.24237087564957,0.027415834858723124,78.87435452819214,77.29244206183371,1180.947510745503,104.52054645386788
brca,goal1,screen,goal1_smooth_lconcrete_lamx2p0,L-Concrete smooth x2,L-Concrete,concrete,0.0044,0.0022,2.0,0.15,linear_gated,5,0.6528091728091728,0.027730308283018215,0.7485865805669966,24.8,11.562871615649808,532.4997314453125,54.06863753190619,506.65338134765625,50.14461061102599,3418.8,1004.8933774286703,645.745672116127,74.32916826423055,0.024306686908278845,47.39325039707837,43.95368914835245,880.8278816113849,65.15238859633709
brca,goal1,screen,goal1_smooth_lconcrete_lamx3p0,L-Concrete smooth x3,L-Concrete,concrete,0.0066,0.0022,3.0,0.15,linear_gated,5,0.6246355446355446,0.01945763937252107,0.7597853220002216,34.0,16.673332000533065,253.65740356445312,58.31765867601401,235.85273132324218,48.87568364995741,4244.8,1568.4625274452685,405.92877200586884,114.33052148939005,0.017055372892904316,51.1176816425735,42.841425626527275,1374.8180219592698,100.21512063768445
brca,goal1,screen,goal1_smooth_llspin,L-LSPIN smooth,L-LSPIN,lspin_tf,0.007,0.007,1.0,0.15,linear_gated,5,0.6535298935298935,0.03405141061547921,0.7769671726955828,46.6,4.77493455452533,904.4046508789063,138.00422069822062,904.3890625,137.97984942154346,3284.4,938.7810181293612,1155.0536493521417,194.459023096412,0.02984737739546003,120.96603291593706,120.94467055004843,822.8778436292959,170.4508490368573
brca,goal1,screen,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.00525,0.007,0.75,0.15,linear_gated,5,0.6674856674856675,0.03002886355166295,0.7579786716219017,39.6,5.941380311005179,1712.687451171875,325.33878489698543,1712.641796875,325.3238932212469,4289.6,801.7202130419316,2303.455820238194,495.91355846335074,0.026321459433924974,285.1720183887618,285.1589652594557,702.73875095657,434.6873996536444
