family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000127564,1,KIRC,1,1.0,0.3421717286109924,1084.0,44.75011449842752,2.154901151904774,42.59521334652275,1.0,ENSG00000127564,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000106462,1,THCA,1,1.0,0.2837752401828766,899.0,45.01551155371743,3.027618715531662,41.98789283818577,1.0,ENSG00000106462,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000142945,1,LGG,1,1.0,0.3321755528450012,1052.0,44.542155447324696,2.750424129301829,41.79173131802287,1.0,ENSG00000142945,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000168078,1,KIRC,1,1.0,0.2708333432674408,858.0,43.4498615003012,2.2242410472523133,41.22562045304888,1.0,ENSG00000168078,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000168078,1,LGG,1,1.0,0.2696558237075805,854.0,42.92306273966257,1.990738089727296,40.93232464993528,1.0,ENSG00000168078,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000111665,1,PRAD,1,1.0,0.3718434274196625,1178.0,43.32840253757055,2.7377570825800435,40.5906454549905,1.0,ENSG00000111665,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000100307,1,THCA,1,1.0,0.2900883853435516,919.0,42.4271899771021,2.625519502813445,39.801670474288656,1.0,ENSG00000100307,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000178999,1,LGG,1,1.0,0.2955478429794311,936.0,41.14100024358393,2.332659776522169,38.80834046706176,1.0,ENSG00000178999,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000171848,1,PRAD,1,1.0,0.3931165039539337,1245.0,41.75476917627659,2.947582798155824,38.80718637812077,1.0,ENSG00000171848,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000108106,1,THCA,1,1.0,0.2626262605190277,832.0,39.94344335970228,1.9073999475652423,38.03604341213703,1.0,ENSG00000108106,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000178999,1,LGG,1,1.0,0.3214398622512817,1018.0,39.848804977477776,2.471452027389211,37.37735295008856,1.0,ENSG00000178999,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000011426,1,KIRC,1,1.0,0.1840277761220932,583.0,38.98643884913832,2.060702054783321,36.925736794355,1.0,ENSG00000011426,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000135451,1,THCA,1,1.0,0.2730429172515869,865.0,39.59054743378136,2.705042934981961,36.8855044987994,1.0,ENSG00000135451,,,False
