family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
LSPIN,smooth_lamx3_smooth0p15,2,0,4944,ENSG00000176641,1.0,3167,930,BRCA,352,2.414924611365974,-2.414924611365974,1.8862859734193265,10.368168459202314,0.5286386379466474,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4883,ENSG00000165617,1.0,3167,930,BRCA,352,0.20524946772666217,-0.20524946772666217,2.5519318121050363,8.699379637421378,-2.346682344378374,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4261,ENSG00000128714,1.0,3167,930,BRCA,352,4.927407500435622,4.927407500435622,2.0080805983793923,10.485509348827925,2.91932690205623,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,1820,ENSG00000181577,0.99968421459198,3166,930,BRCA,352,2.958424574623812,2.958424574623812,2.9291655156778846,11.16792712021334,0.029259058945927396,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,1535,ENSG00000204936,0.99968421459198,3166,929,BRCA,352,2.0070492732004395,-2.0070492732004395,2.1509851331661487,10.007080136715674,-0.14393585996570923,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,2917,ENSG00000198189,0.9993684887886047,3165,930,BRCA,352,12.172390459665769,12.172390459665769,2.368810841706143,8.642255213361604,9.803579617959626,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,397,ENSG00000196139,0.9993684887886047,3165,930,BRCA,352,11.168511612573576,11.168511612573576,1.7742021190471142,7.253292387524688,9.394309493526462,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,3930,ENSG00000214578,0.9592674374580383,3038,871,BRCA,342,0.9473208648566436,-0.9473208648566436,2.640753512563697,12.470584104143347,-1.6934326477070534,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,711,ENSG00000174564,0.9529523253440857,3018,877,BRCA,352,14.533654216149245,14.533654216149245,2.824938312581799,12.571787228697435,11.708715903567445,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,2495,ENSG00000104549,0.8869592547416687,2809,910,BRCA,352,4.334753328885624,4.334753328885624,1.2581297514032386,5.294884830033407,3.076623577482385,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,1377,ENSG00000177807,0.8727502226829529,2764,783,BRCA,351,1.5904114990829978,-1.5904114990829978,2.4429184798974504,9.886003629339884,-0.8525069808144525,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3763,ENSG00000227036,0.8323334455490112,2636,732,BRCA,350,18.05490808645538,18.05490808645538,2.336371423507943,7.83472278152302,15.718536662947438,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,4165,ENSG00000130429,0.831701934337616,2634,789,BRCA,340,7.772981477013871,7.772981477013871,1.9164039581077648,8.406464089700922,5.856577518906106,True,False
