family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
LSPIN,nosmooth_lamx3,1,0,843,ENSG00000149131,0.13419640064239502,425,135,LGG,169,0.8977849710052237,0.8977849710052237,0.5401865317248082,2.702078107418352,0.35759843928041546,True,False
LSPIN,nosmooth_lamx3,1,0,2935,ENSG00000094804,0.13356488943099976,423,140,UCEC,100,2.1995626217862476,-2.1995626217862476,0.9502828533288907,4.079610650079057,1.2492797684573569,True,False
LSPIN,nosmooth_lamx3,1,0,4017,ENSG00000072110,0.1329333782196045,421,117,BRCA,173,1.3687551341573287,1.3687551341573287,0.9042758630024369,3.7906835909771743,0.46447927115489185,True,False
LSPIN,nosmooth_lamx3,1,0,910,ENSG00000107984,0.13261762261390686,420,133,STAD,71,1.715102318349778,1.715102318349778,1.1201775358224664,4.203838912655711,0.5949247825273116,True,False
LSPIN,nosmooth_lamx3,1,0,924,ENSG00000127585,0.13167035579681396,417,83,KIRC,171,0.08585547366663601,0.08585547366663601,1.262789396988173,3.963617894688915,-1.176933923321537,False,False
LSPIN,nosmooth_lamx3,1,0,3415,ENSG00000154556,0.1310388445854187,415,35,BRCA,244,2.092463786780338,-2.092463786780338,0.6260743599419153,1.922171526283735,1.4663894268384228,True,True
LSPIN,nosmooth_lamx3,1,0,1566,ENSG00000072832,0.13072308897972107,414,121,LGG,168,0.6014629383671016,-0.6014629383671016,1.0449266969993358,3.6025478785927962,-0.4434637586322342,False,False
LSPIN,nosmooth_lamx3,1,0,4857,ENSG00000143507,0.1300915628671646,412,47,THCA,110,0.06683401066604512,0.06683401066604512,0.5085974709344914,1.9375696092902304,-0.44176346026844626,False,False
LSPIN,nosmooth_lamx3,1,0,3668,ENSG00000112769,0.12946005165576935,410,91,LGG,169,2.1100197938755736,2.1100197938755736,2.281820535452982,7.65818809922452,-0.17180074157740854,False,False
LSPIN,nosmooth_lamx3,1,0,4076,ENSG00000186810,0.12851278483867645,407,120,KIRC,142,1.9150271758954658,-1.9150271758954658,0.978353440405311,2.54032461252263,0.9366737354901548,True,False
LSPIN,nosmooth_lamx3,1,0,3175,ENSG00000117114,0.12819702923297882,406,127,KIRC,185,0.34860687478346264,-0.34860687478346264,0.47037008926693424,1.931972695520701,-0.1217632144834716,False,False
LSPIN,nosmooth_lamx3,1,0,3939,ENSG00000171310,0.1259867399930954,399,164,HNSC,143,0.42619370538393986,0.42619370538393986,0.5639597594982471,1.6225129795741347,-0.1377660541143072,False,False
LSPIN,nosmooth_lamx3,1,0,3091,ENSG00000082175,0.12440795451402664,394,111,UCEC,169,4.631508687826894,-4.631508687826894,1.0799703020251585,4.844981586539928,3.5515383858017358,True,False
