model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.2,0.0105,0.025,450123,0,0.729912414318355,0.7875536480686696,9,450.5984497070313,0.9909303976718042,923.0,838.0,774.0177261336137
LSPIN,lspin_tf,mlp,0.2,0.0105,0.025,450124,1,0.696972581873572,0.759656652360515,9,543.3668212890625,0.99262401557722,1080.0,968.0,904.2005107679212
LSPIN,lspin_tf,mlp,0.2,0.0105,0.025,450125,2,0.7213442498095963,0.7610872675250357,11,395.2586975097656,0.989221235209672,854.0,721.0,661.4913082542766
LSPIN,lspin_tf,mlp,0.2,0.0105,0.025,450126,3,0.7084920030464585,0.7825464949928469,9,491.2007751464844,0.9918089443374538,999.0,901.0,826.3170464893656
LSPIN,lspin_tf,mlp,0.2,0.0105,0.025,450127,4,0.7081111957349581,0.7632331902718169,8,541.7026977539062,0.9936875297353874,1057.0,967.0,899.811318669162
LSPIN,lspin_tf,mlp,0.2,0.0105,0.025,450128,5,0.729912414318355,0.7818311874105865,19,366.1235656738281,0.9860090983262112,822.0,624.0,575.0283424667591
LSPIN,lspin_tf,mlp,0.2,0.0105,0.025,450129,6,0.7043031226199543,0.8032904148783977,9,514.104248046875,0.9912845916600976,1046.0,935.0,856.7217489983847
LSPIN,lspin_tf,mlp,0.2,0.0105,0.025,450130,7,0.7262947448591013,0.7896995708154506,11,488.6370544433594,0.9924107825508754,926.0,851.0,779.8778503917725
LSPIN,lspin_tf,mlp,0.2,0.0035,0.05,490123,0,0.7294364051789795,0.7696709585121603,3,1515.725830078125,0.9985250274997016,3166.0,2817.0,2561.66421836937
LSPIN,lspin_tf,mlp,0.2,0.0035,0.05,490124,1,0.7281987814166032,0.776824034334764,3,1645.4439697265625,0.9986874048354984,3405.0,3148.0,2797.5078058886515
LSPIN,lspin_tf,mlp,0.2,0.0035,0.05,490125,2,0.7382901751713633,0.8111587982832618,3,1519.104248046875,0.998617324289105,3160.0,2932.0,2589.5316273244503
LSPIN,lspin_tf,mlp,0.2,0.0035,0.05,490126,3,0.7377189642041128,0.7889842632331903,4,1632.189208984375,0.9988628764142472,3331.0,3032.0,2746.0866995556667
LSPIN,lspin_tf,mlp,0.2,0.0035,0.05,490127,4,0.7383853769992383,0.7818311874105865,2,1535.54443359375,0.9987453105158896,3407.0,3048.0,2655.8042206859886
LSPIN,lspin_tf,mlp,0.2,0.0035,0.05,490128,5,0.7214394516374715,0.7939914163090128,4,1532.976806640625,0.9985342762337438,3238.0,3015.0,2630.6858305003834
LSPIN,lspin_tf,mlp,0.2,0.0035,0.05,490129,6,0.7316260472201066,0.7732474964234621,3,1404.0308837890625,0.9981228286688416,3084.0,2673.0,2426.645452090862
LSPIN,lspin_tf,mlp,0.2,0.0035,0.05,490130,7,0.7272467631378522,0.8168812589413448,3,1470.1197509765625,0.9982928733520378,3235.0,2841.0,2527.215838676384
LSPIN,lspin_tf,mlp,0.2,0.0105,0.05,530123,0,0.7261043412033511,0.7618025751072961,7,658.1814575195312,0.9943979259775196,1265.0,1215.0,1126.782034816477
LSPIN,lspin_tf,mlp,0.2,0.0105,0.05,530124,1,0.7164889565879665,0.7725321888412017,7,707.5753173828125,0.9953111315659552,1434.0,1349.0,1187.7663421585862
LSPIN,lspin_tf,mlp,0.2,0.0105,0.05,530125,2,0.7162985529322163,0.8004291845493562,7,673.5868530273438,0.9956300333861452,1379.0,1201.0,1116.1724397222688
LSPIN,lspin_tf,mlp,0.2,0.0105,0.05,530126,3,0.7063023610053313,0.7939914163090128,11,647.7026977539062,0.9933132126275298,1227.0,1164.0,1074.2278892051886
LSPIN,lspin_tf,mlp,0.2,0.0105,0.05,530127,4,0.7065879664889566,0.7846924177396281,11,607.28955078125,0.9946868478617308,1095.0,1038.0,975.6475067541696
LSPIN,lspin_tf,mlp,0.2,0.0105,0.05,530128,5,0.7241051028179741,0.778969957081545,13,620.023193359375,0.9942193252624776,1241.0,1181.0,1064.4757549147964
LSPIN,lspin_tf,mlp,0.2,0.0105,0.05,530129,6,0.6928789032749428,0.7882689556509299,9,666.1621704101562,0.9947386621172286,1267.0,1220.0,1106.6704302036476
LSPIN,lspin_tf,mlp,0.2,0.0105,0.05,530130,7,0.729912414318355,0.7703862660944206,7,670.5598754882812,0.99360830451988,1344.0,1230.0,1143.6735760539348
LSPIN,lspin_tf,mlp,0.2,0.0035,0.1,570123,0,0.7364813404417365,0.8011444921316166,4,1580.1544189453125,0.9988320879611546,3236.0,3072.0,2667.849876061803
LSPIN,lspin_tf,mlp,0.2,0.0035,0.1,570124,1,0.7185833968012186,0.7746781115879828,5,1454.7760009765625,0.99839456683191,2835.0,2637.0,2397.4840593312274
LSPIN,lspin_tf,mlp,0.2,0.0035,0.1,570125,2,0.7297220106626047,0.7954220314735336,4,1554.9034423828125,0.9989749937460378,3229.0,3134.0,2689.335570024891
LSPIN,lspin_tf,mlp,0.2,0.0035,0.1,570126,3,0.702018278750952,0.7911301859799714,6,1549.3629150390625,0.9986323486209708,2882.0,2761.0,2497.374760377072
LSPIN,lspin_tf,mlp,0.2,0.0035,0.1,570127,4,0.7261995430312262,0.7689556509298998,4,1562.9459228515625,0.9985046054765506,3049.0,2829.0,2571.077631011872
LSPIN,lspin_tf,mlp,0.2,0.0035,0.1,570128,5,0.7261043412033511,0.8004291845493562,5,1499.99609375,0.998606921148761,2947.0,2819.0,2509.977227852292
LSPIN,lspin_tf,mlp,0.2,0.0035,0.1,570129,6,0.724009900990099,0.7939914163090128,3,1646.0926513671875,0.9987452811945532,3478.0,3205.0,2821.623130938856
LSPIN,lspin_tf,mlp,0.2,0.0035,0.1,570130,7,0.7353389185072353,0.7932761087267525,3,1424.3204345703125,0.9986557637322582,3139.0,2710.0,2450.3199917822
LSPIN,lspin_tf,mlp,0.2,0.0105,0.1,610123,0,0.6995430312261995,0.7896995708154506,9,664.6293334960938,0.9948546387148192,1262.0,1219.0,1115.0822132679405
LSPIN,lspin_tf,mlp,0.2,0.0105,0.1,610124,1,0.7272467631378522,0.8004291845493562,7,665.0386352539062,0.9956333828395032,1334.0,1237.0,1134.7394061327202
LSPIN,lspin_tf,mlp,0.2,0.0105,0.1,610125,2,0.7096344249809596,0.7725321888412017,8,754.146728515625,0.9951017862993397,1368.0,1325.0,1239.282892056793
LSPIN,lspin_tf,mlp,0.2,0.0105,0.1,610126,3,0.7104912414318355,0.7811158798283262,10,616.8455810546875,0.9951317260005056,1169.0,1112.0,1029.573824846956
LSPIN,lspin_tf,mlp,0.2,0.0105,0.1,610127,4,0.6924980959634425,0.7718168812589413,6,718.7528686523438,0.9952763973237996,1439.0,1324.0,1228.805080243631
LSPIN,lspin_tf,mlp,0.2,0.0105,0.1,610128,5,0.6923076923076923,0.801859799713877,9,642.5907592773438,0.9949751797622772,1243.0,1193.0,1094.155878147771
LSPIN,lspin_tf,mlp,0.2,0.0105,0.1,610129,6,0.7289603960396039,0.7832618025751072,6,746.9729614257812,0.9955558185449644,1553.0,1373.0,1265.1018294389814
LSPIN,lspin_tf,mlp,0.2,0.0105,0.1,610130,7,0.7079207920792079,0.7854077253218884,8,694.8648681640625,0.9945799302460272,1301.0,1237.0,1151.782906039957
Concrete,concrete,mlp,0.15,0.00075,0.0,650123,0,0.7331492764661082,0.7818311874105865,4,1027.1737060546875,0.9985893638561848,5073.0,3077.0,2838.1818515454324
Concrete,concrete,mlp,0.15,0.00075,0.0,650124,1,0.73000761614623,0.7804005722460658,5,812.0656127929688,0.9977810020408296,4656.0,2593.0,2417.676526408562
Concrete,concrete,mlp,0.15,0.00075,0.0,650125,2,0.7381949733434882,0.7868383404864091,6,691.0772094726562,0.9967911112679608,4332.0,2371.0,2232.627571714527
Concrete,concrete,mlp,0.15,0.00075,0.0,650126,3,0.7275323686214775,0.7882689556509299,7,649.0579223632812,0.9959286372293416,4145.0,2171.0,2068.163750468302
Concrete,concrete,mlp,0.15,0.00075,0.0,650127,4,0.7283891850723534,0.778969957081545,5,851.5753173828125,0.9980912996359638,4698.0,2786.0,2552.5318316952907
Concrete,concrete,mlp,0.15,0.00075,0.0,650128,5,0.7251523229246002,0.7804005722460658,4,1088.0965576171875,0.9985786505753868,5093.0,3244.0,2900.12528360768
Concrete,concrete,mlp,0.15,0.00075,0.0,650129,6,0.7175361766945926,0.7925608011444921,7,643.2780151367188,0.9963362079530328,4214.0,2171.0,2089.811525274204
Concrete,concrete,mlp,0.15,0.00075,0.0,650130,7,0.7271515613099772,0.7796852646638054,4,1041.9652099609375,0.9985695543717326,4869.0,3018.0,2737.8250070276617
Concrete,concrete,mlp,0.15,0.0025,0.0,690123,0,0.7344821020563594,0.7854077253218884,8,211.5791473388672,0.9847528038424368,1659.0,659.0,677.2447435538337
Concrete,concrete,mlp,0.15,0.0025,0.0,690124,1,0.7273419649657273,0.7918454935622318,11,162.15443420410156,0.9784088315188448,1425.0,556.0,568.455650793753
Concrete,concrete,mlp,0.15,0.0025,0.0,690125,2,0.725057121096725,0.8054363376251789,7,227.88031005859372,0.982966983561664,1669.0,637.0,662.3129680763628
Concrete,concrete,mlp,0.15,0.0025,0.0,690126,3,0.7328636709824828,0.7753934191702432,6,280.4826354980469,0.9912407145268948,2417.0,975.0,1010.3783202094166
Concrete,concrete,mlp,0.15,0.0025,0.0,690127,4,0.7205826351865956,0.801859799713877,6,277.11968994140625,0.9882036377449972,2249.0,844.0,896.3798683888967
Concrete,concrete,mlp,0.15,0.0025,0.0,690128,5,0.7278179741051028,0.7761087267525035,6,279.3204650878906,0.9914598815614244,2427.0,886.0,952.1960720647368
Concrete,concrete,mlp,0.15,0.0025,0.0,690129,6,0.7228674790555979,0.7632331902718169,8,181.7258758544922,0.9788760727584208,1622.0,590.0,618.5574121412728
Concrete,concrete,mlp,0.15,0.0025,0.0,690130,7,0.7308644325971059,0.7846924177396281,8,223.3629302978516,0.9859005164405524,1856.0,702.0,749.9674372332627
Concrete,concrete,mlp,0.15,0.00075,0.025,730123,0,0.7423838537699924,0.776824034334764,8,526.0463256835938,0.9903137891954888,2283.0,1403.0,1237.745651289108
Concrete,concrete,mlp,0.15,0.00075,0.025,730124,1,0.7266755521706016,0.771101573676681,4,737.70654296875,0.9964993718560572,3386.0,1845.0,1692.7242075237818
Concrete,concrete,mlp,0.15,0.00075,0.025,730125,2,0.7161081492764662,0.8047210300429185,7,553.0077514648438,0.9926348216280784,2406.0,1436.0,1278.594308040029
Concrete,concrete,mlp,0.15,0.00075,0.025,730126,3,0.7365765422696116,0.8011444921316166,5,600.5289306640625,0.9947912195915024,2628.0,1705.0,1475.6148651939184
Concrete,concrete,mlp,0.15,0.00075,0.025,730127,4,0.7263899466869764,0.8161659513590844,7,481.1080932617188,0.992489898612983,2330.0,1380.0,1214.5199317018676
Concrete,concrete,mlp,0.15,0.00075,0.025,730128,5,0.7281035795887281,0.7811158798283262,7,486.3783874511719,0.9895638762842812,2190.0,1229.0,1117.2421506121618
Concrete,concrete,mlp,0.15,0.00075,0.025,730129,6,0.732006854531607,0.7896995708154506,4,861.12744140625,0.9971315982552618,3447.0,2235.0,1935.7110280224708
Concrete,concrete,mlp,0.15,0.00075,0.025,730130,7,0.7242003046458492,0.7932761087267525,8,467.6061706542969,0.9899800409252536,1969.0,1273.0,1105.6061291610465
Concrete,concrete,mlp,0.15,0.0025,0.025,770123,0,0.7222962680883473,0.7882689556509299,7,176.40155029296875,0.9809627875421336,978.0,496.0,449.6901662851786
Concrete,concrete,mlp,0.15,0.0025,0.025,770124,1,0.7426694592536177,0.7761087267525035,9,146.104248046875,0.9655498581306712,806.0,400.0,364.2283969226311
Concrete,concrete,mlp,0.15,0.0025,0.025,770125,2,0.7294364051789795,0.7739628040057225,8,156.1621551513672,0.9721704892332202,1008.0,408.0,392.34964072623393
Concrete,concrete,mlp,0.15,0.0025,0.025,770126,3,0.7222962680883473,0.8118741058655222,8,163.88417053222656,0.9706719596833544,804.0,449.0,402.67213153486017
Concrete,concrete,mlp,0.15,0.0025,0.025,770127,4,0.7454303122619954,0.765379113018598,6,206.32046508789065,0.9814367534054652,1183.0,593.0,550.4980266667548
Concrete,concrete,mlp,0.15,0.0025,0.025,770128,5,0.7263899466869764,0.8004291845493562,8,165.9729766845703,0.9685408527420294,936.0,473.0,433.6583290699438
Concrete,concrete,mlp,0.15,0.0025,0.025,770129,6,0.733054074638233,0.7703862660944206,6,191.104248046875,0.9822878433522082,699.0,457.0,426.7032739125404
Concrete,concrete,mlp,0.15,0.0025,0.025,770130,7,0.7408606245239908,0.7818311874105865,6,209.74517822265625,0.9807837037556378,1008.0,559.0,516.19581848506
Concrete,concrete,mlp,0.15,0.00075,0.05,810123,0,0.7297220106626047,0.8054363376251789,7,568.772216796875,0.9927171274217512,2515.0,1487.0,1278.98445032242
