histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneypapillaryrenalcellcarcinoma,84,0.8433179723502304,LSPIN,mlp,0.0105,0.05,210126
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.05,210127
kidneyclearcellrenalcarcinoma,156,0.6468057646805765,LSPIN,mlp,0.0105,0.05,210127
kidneypapillaryrenalcellcarcinoma,84,0.82642089093702,LSPIN,mlp,0.0105,0.05,210127
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.05,210128
kidneyclearcellrenalcarcinoma,156,0.696493869649387,LSPIN,mlp,0.0105,0.05,210128
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,LSPIN,mlp,0.0105,0.05,210128
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.0105,0.05,210129
kidneyclearcellrenalcarcinoma,156,0.6850935685093569,LSPIN,mlp,0.0105,0.05,210129
kidneypapillaryrenalcellcarcinoma,84,0.8310291858678955,LSPIN,mlp,0.0105,0.05,210129
kidneychromophobe,19,0.7323943661971831,LSPIN,mlp,0.0105,0.05,210130
kidneyclearcellrenalcarcinoma,156,0.6717573671757368,LSPIN,mlp,0.0105,0.05,210130
kidneypapillaryrenalcellcarcinoma,84,0.7741935483870968,LSPIN,mlp,0.0105,0.05,210130
kidneychromophobe,19,0.6338028169014085,LSPIN,mlp,0.0035,0.1,250123
kidneyclearcellrenalcarcinoma,156,0.693912669391267,LSPIN,mlp,0.0035,0.1,250123
kidneypapillaryrenalcellcarcinoma,84,0.7956989247311828,LSPIN,mlp,0.0035,0.1,250123
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.1,250124
kidneyclearcellrenalcarcinoma,156,0.6567003656700365,LSPIN,mlp,0.0035,0.1,250124
kidneypapillaryrenalcellcarcinoma,84,0.8202764976958525,LSPIN,mlp,0.0035,0.1,250124
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.1,250125
kidneyclearcellrenalcarcinoma,156,0.6962787696278769,LSPIN,mlp,0.0035,0.1,250125
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,mlp,0.0035,0.1,250125
kidneychromophobe,19,0.6056338028169014,LSPIN,mlp,0.0035,0.1,250126
kidneyclearcellrenalcarcinoma,156,0.6889653688965369,LSPIN,mlp,0.0035,0.1,250126
kidneypapillaryrenalcellcarcinoma,84,0.8064516129032258,LSPIN,mlp,0.0035,0.1,250126
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.0035,0.1,250127
kidneyclearcellrenalcarcinoma,156,0.6885351688535168,LSPIN,mlp,0.0035,0.1,250127
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,mlp,0.0035,0.1,250127
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0035,0.1,250128
kidneyclearcellrenalcarcinoma,156,0.6678855667885567,LSPIN,mlp,0.0035,0.1,250128
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.0035,0.1,250128
kidneychromophobe,19,0.7464788732394366,LSPIN,mlp,0.0035,0.1,250129
kidneyclearcellrenalcarcinoma,156,0.6668100666810066,LSPIN,mlp,0.0035,0.1,250129
kidneypapillaryrenalcellcarcinoma,84,0.794162826420891,LSPIN,mlp,0.0035,0.1,250129
kidneychromophobe,19,0.647887323943662,LSPIN,mlp,0.0035,0.1,250130
kidneyclearcellrenalcarcinoma,156,0.6885351688535168,LSPIN,mlp,0.0035,0.1,250130
kidneypapillaryrenalcellcarcinoma,84,0.7788018433179723,LSPIN,mlp,0.0035,0.1,250130
