model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.0105,0.1,1,2,0.9987746291316496
LSPIN,lspin_tf,mlp,0.0105,0.1,1,3,0.9989891127262618
LSPIN,lspin_tf,mlp,0.0105,0.1,1,4,0.9964723986815892
LSPIN,lspin_tf,mlp,0.0105,0.1,1,5,0.9986114870366584
LSPIN,lspin_tf,mlp,0.0105,0.1,1,6,0.989753071839376
LSPIN,lspin_tf,mlp,0.0105,0.1,1,7,0.994016563713168
LSPIN,lspin_tf,mlp,0.0105,0.1,2,3,0.999179571646278
LSPIN,lspin_tf,mlp,0.0105,0.1,2,4,0.9988338813301252
LSPIN,lspin_tf,mlp,0.0105,0.1,2,5,0.9974064474493382
LSPIN,lspin_tf,mlp,0.0105,0.1,2,6,0.9866257967703136
LSPIN,lspin_tf,mlp,0.0105,0.1,2,7,0.996264090889236
LSPIN,lspin_tf,mlp,0.0105,0.1,3,4,0.9968426052685296
LSPIN,lspin_tf,mlp,0.0105,0.1,3,5,0.997195862937948
LSPIN,lspin_tf,mlp,0.0105,0.1,3,6,0.9861143420020392
LSPIN,lspin_tf,mlp,0.0105,0.1,3,7,0.9934494000748504
LSPIN,lspin_tf,mlp,0.0105,0.1,4,5,0.9950356564586228
LSPIN,lspin_tf,mlp,0.0105,0.1,4,6,0.9835370969973012
LSPIN,lspin_tf,mlp,0.0105,0.1,4,7,0.9976348574341056
LSPIN,lspin_tf,mlp,0.0105,0.1,5,6,0.9948549355541751
LSPIN,lspin_tf,mlp,0.0105,0.1,5,7,0.9951430231256368
LSPIN,lspin_tf,mlp,0.0105,0.1,6,7,0.9875819163420028
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.9962406533914332
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.9946758849545329
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.9975062307126388
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.9972364212262034
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,0.9977050578747528
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,0.9940722964405364
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,0.994916232539484
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.9912684625275738
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.9959192966647962
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.9957719419865788
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,0.9969264488031112
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,0.9870618054042992
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,0.9983105704594012
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.9954083913515976
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.9945599519808004
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,0.9924356129133084
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,0.9931874827590664
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,0.988980234151326
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.996313874509165
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,0.9967614282052988
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,0.9936448054173992
LSPIN,lspin_tf,mlp,0.0035,0.0,3,7,0.995242091471518
LSPIN,lspin_tf,mlp,0.0035,0.0,4,5,0.9976720575386244
LSPIN,lspin_tf,mlp,0.0035,0.0,4,6,0.9947957506089548
LSPIN,lspin_tf,mlp,0.0035,0.0,4,7,0.9933094110073596
LSPIN,lspin_tf,mlp,0.0035,0.0,5,6,0.9928198557761322
LSPIN,lspin_tf,mlp,0.0035,0.0,5,7,0.995780199739417
LSPIN,lspin_tf,mlp,0.0035,0.0,6,7,0.984820557504024
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.987029013034504
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.994040742379416
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.9915946249329258
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.9923246733539616
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,0.99688701336292
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,0.9948746162360964
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,0.9964240471702248
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.98119237660579
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.9946661752925128
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.9874194390517405
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,0.9910827747068038
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,0.9809318388529886
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,0.9875435801255856
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.9874197937685766
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.9893532720935818
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,0.9942207876252098
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,0.9951891869949706
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,0.9967970164646002
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.9910928915304736
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,0.9939494655753164
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,0.9854172219830168
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,0.9929179666518476
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,0.994668500464215
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,0.987711552270577
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,0.9926644174918752
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,0.992742054328608
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,0.997599443812078
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,0.995701621118244
LSPIN,lspin_tf,mlp,0.0035,0.025,0,1,0.9940289626926035
LSPIN,lspin_tf,mlp,0.0035,0.025,0,2,0.9988512184577848
LSPIN,lspin_tf,mlp,0.0035,0.025,0,3,0.9958675844622532
LSPIN,lspin_tf,mlp,0.0035,0.025,0,4,0.9981665438893716
LSPIN,lspin_tf,mlp,0.0035,0.025,0,5,0.9963735157523408
LSPIN,lspin_tf,mlp,0.0035,0.025,0,6,0.9952243737041604
LSPIN,lspin_tf,mlp,0.0035,0.025,0,7,0.998795648547904
LSPIN,lspin_tf,mlp,0.0035,0.025,1,2,0.9955818760301186
LSPIN,lspin_tf,mlp,0.0035,0.025,1,3,0.983409488530048
LSPIN,lspin_tf,mlp,0.0035,0.025,1,4,0.9959207921007232
LSPIN,lspin_tf,mlp,0.0035,0.025,1,5,0.9979699922351698
LSPIN,lspin_tf,mlp,0.0035,0.025,1,6,0.9868702578099012
LSPIN,lspin_tf,mlp,0.0035,0.025,1,7,0.9941038184709896
LSPIN,lspin_tf,mlp,0.0035,0.025,2,3,0.9947099767690468
LSPIN,lspin_tf,mlp,0.0035,0.025,2,4,0.998697044886168
LSPIN,lspin_tf,mlp,0.0035,0.025,2,5,0.9982389970658724
LSPIN,lspin_tf,mlp,0.0035,0.025,2,6,0.993980470093088
LSPIN,lspin_tf,mlp,0.0035,0.025,2,7,0.9991645158748454
LSPIN,lspin_tf,mlp,0.0035,0.025,3,4,0.9939631232771862
LSPIN,lspin_tf,mlp,0.0035,0.025,3,5,0.989870120458024
LSPIN,lspin_tf,mlp,0.0035,0.025,3,6,0.9967628421344014
LSPIN,lspin_tf,mlp,0.0035,0.025,3,7,0.9959549074531676
LSPIN,lspin_tf,mlp,0.0035,0.025,4,5,0.9984326413106476
LSPIN,lspin_tf,mlp,0.0035,0.025,4,6,0.9950137351047208
LSPIN,lspin_tf,mlp,0.0035,0.025,4,7,0.9992511158463095
LSPIN,lspin_tf,mlp,0.0035,0.025,5,6,0.9904446262598646
LSPIN,lspin_tf,mlp,0.0035,0.025,5,7,0.9975387168995286
LSPIN,lspin_tf,mlp,0.0035,0.025,6,7,0.9949585466397838
LSPIN,lspin_tf,mlp,0.0105,0.025,0,1,0.9983245198367332
LSPIN,lspin_tf,mlp,0.0105,0.025,0,2,0.9983907671464586
LSPIN,lspin_tf,mlp,0.0105,0.025,0,3,0.9972604560733864
LSPIN,lspin_tf,mlp,0.0105,0.025,0,4,0.995816281049064
LSPIN,lspin_tf,mlp,0.0105,0.025,0,5,0.9963578437190822
LSPIN,lspin_tf,mlp,0.0105,0.025,0,6,0.997576852203547
LSPIN,lspin_tf,mlp,0.0105,0.025,0,7,0.9951350017659336
LSPIN,lspin_tf,mlp,0.0105,0.025,1,2,0.9977768231165256
LSPIN,lspin_tf,mlp,0.0105,0.025,1,3,0.995324199900818
LSPIN,lspin_tf,mlp,0.0105,0.025,1,4,0.994915430648896
LSPIN,lspin_tf,mlp,0.0105,0.025,1,5,0.997360734532904
LSPIN,lspin_tf,mlp,0.0105,0.025,1,6,0.9975078126687104
LSPIN,lspin_tf,mlp,0.0105,0.025,1,7,0.9950114008240424
LSPIN,lspin_tf,mlp,0.0105,0.025,2,3,0.9980610683762716
LSPIN,lspin_tf,mlp,0.0105,0.025,2,4,0.996160422430398
LSPIN,lspin_tf,mlp,0.0105,0.025,2,5,0.996887005650398
LSPIN,lspin_tf,mlp,0.0105,0.025,2,6,0.9983292090351285
LSPIN,lspin_tf,mlp,0.0105,0.025,2,7,0.9959737226583198
LSPIN,lspin_tf,mlp,0.0105,0.025,3,4,0.9982731890529316
LSPIN,lspin_tf,mlp,0.0105,0.025,3,5,0.992992726901492
LSPIN,lspin_tf,mlp,0.0105,0.025,3,6,0.9985903327733656
LSPIN,lspin_tf,mlp,0.0105,0.025,3,7,0.9960096507720596
LSPIN,lspin_tf,mlp,0.0105,0.025,4,5,0.9914600014800729
LSPIN,lspin_tf,mlp,0.0105,0.025,4,6,0.997995082067886
LSPIN,lspin_tf,mlp,0.0105,0.025,4,7,0.9980847879939552
LSPIN,lspin_tf,mlp,0.0105,0.025,5,6,0.9961147636150094
LSPIN,lspin_tf,mlp,0.0105,0.025,5,7,0.9943162870309632
LSPIN,lspin_tf,mlp,0.0105,0.025,6,7,0.9970072194168752
LSPIN,lspin_tf,mlp,0.0035,0.05,0,1,0.990874700311034
LSPIN,lspin_tf,mlp,0.0035,0.05,0,2,0.996612940568098
LSPIN,lspin_tf,mlp,0.0035,0.05,0,3,0.9953002694130116
LSPIN,lspin_tf,mlp,0.0035,0.05,0,4,0.9854781870346592
LSPIN,lspin_tf,mlp,0.0035,0.05,0,5,0.986409108503835
LSPIN,lspin_tf,mlp,0.0035,0.05,0,6,0.9975882154694248
LSPIN,lspin_tf,mlp,0.0035,0.05,0,7,0.9957300213903928
