model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.0035,0.1,2,3,0.9886672364332404
LSPIN,lspin_tf,mlp,0.0035,0.1,2,4,0.9992533277293336
LSPIN,lspin_tf,mlp,0.0035,0.1,3,4,0.9902205668934824
LSPIN,lspin_tf,mlp,0.00525,0.1,0,1,0.9872011951130316
LSPIN,lspin_tf,mlp,0.00525,0.1,0,2,0.9898473558853697
LSPIN,lspin_tf,mlp,0.00525,0.1,0,3,0.9981786157723648
LSPIN,lspin_tf,mlp,0.00525,0.1,0,4,0.988099369418533
LSPIN,lspin_tf,mlp,0.00525,0.1,1,2,0.9984457151686912
LSPIN,lspin_tf,mlp,0.00525,0.1,1,3,0.9868908871492515
LSPIN,lspin_tf,mlp,0.00525,0.1,1,4,0.9990339493901096
LSPIN,lspin_tf,mlp,0.00525,0.1,2,3,0.9915774024935616
LSPIN,lspin_tf,mlp,0.00525,0.1,2,4,0.9990370463783842
LSPIN,lspin_tf,mlp,0.00525,0.1,3,4,0.9882293464745704
LSPIN,lspin_tf,mlp,0.007,0.1,0,1,0.9885972674621069
LSPIN,lspin_tf,mlp,0.007,0.1,0,2,0.9942319916527812
LSPIN,lspin_tf,mlp,0.007,0.1,0,3,0.9969570544195496
LSPIN,lspin_tf,mlp,0.007,0.1,0,4,0.998769580834106
LSPIN,lspin_tf,mlp,0.007,0.1,1,2,0.9985694134760184
LSPIN,lspin_tf,mlp,0.007,0.1,1,3,0.9848950689052476
LSPIN,lspin_tf,mlp,0.007,0.1,1,4,0.9902157660080682
LSPIN,lspin_tf,mlp,0.007,0.1,2,3,0.9917729666868038
LSPIN,lspin_tf,mlp,0.007,0.1,2,4,0.9950283957861122
LSPIN,lspin_tf,mlp,0.007,0.1,3,4,0.9961685788572364
LSPIN,lspin_tf,mlp,0.00875,0.1,0,1,0.9927843184424984
LSPIN,lspin_tf,mlp,0.00875,0.1,0,2,0.9830014856351388
LSPIN,lspin_tf,mlp,0.00875,0.1,0,3,0.9917426867048676
LSPIN,lspin_tf,mlp,0.00875,0.1,0,4,0.9904910830624608
LSPIN,lspin_tf,mlp,0.00875,0.1,1,2,0.9967848072540156
LSPIN,lspin_tf,mlp,0.00875,0.1,1,3,0.9952624754017058
LSPIN,lspin_tf,mlp,0.00875,0.1,1,4,0.9990680792829966
LSPIN,lspin_tf,mlp,0.00875,0.1,2,3,0.994332825890296
LSPIN,lspin_tf,mlp,0.00875,0.1,2,4,0.9983459141762472
LSPIN,lspin_tf,mlp,0.00875,0.1,3,4,0.9956792669053016
LSPIN,lspin_tf,mlp,0.0105,0.1,0,1,0.9919351274485886
LSPIN,lspin_tf,mlp,0.0105,0.1,0,2,0.9925351668436084
LSPIN,lspin_tf,mlp,0.0105,0.1,0,3,0.9905210970947406
LSPIN,lspin_tf,mlp,0.0105,0.1,0,4,0.9978652351504352
LSPIN,lspin_tf,mlp,0.0105,0.1,1,2,0.9990613940806424
LSPIN,lspin_tf,mlp,0.0105,0.1,1,3,0.9990292814732394
LSPIN,lspin_tf,mlp,0.0105,0.1,1,4,0.9968854040166708
LSPIN,lspin_tf,mlp,0.0105,0.1,2,3,0.9990830001467564
LSPIN,lspin_tf,mlp,0.0105,0.1,2,4,0.9971305553020234
LSPIN,lspin_tf,mlp,0.0105,0.1,3,4,0.9958072075526864
LSPIN,lspin_tf,mlp,0.014,0.1,0,1,0.9976038525727604
LSPIN,lspin_tf,mlp,0.014,0.1,0,2,0.9951187906119696
LSPIN,lspin_tf,mlp,0.014,0.1,0,3,0.9991048891560846
LSPIN,lspin_tf,mlp,0.014,0.1,0,4,0.9906313748810328
LSPIN,lspin_tf,mlp,0.014,0.1,1,2,0.9974574638716234
