model_family,gate_type,predictor,gate_sigma,temperature,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
L-Concrete,concrete,linear,0.15,0.2,0.006,0.025,2080123,0,0.7246763137852247,0.7854077253218884,14,74.24324035644531,0.9128009274904606,493.0,209.0,199.202352853089
L-Concrete,concrete,linear,0.15,0.2,0.006,0.025,2080124,1,0.7141089108910891,0.8025751072961373,30,53.52123641967773,0.904004115365049,552.0,163.0,164.6608182541459
L-Concrete,concrete,linear,0.15,0.2,0.006,0.025,2080125,2,0.6947829398324448,0.7832618025751072,31,52.37451553344727,0.9054757479459892,500.0,155.0,162.6249504698317
L-Concrete,concrete,linear,0.15,0.2,0.006,0.025,2080126,3,0.7117288651942117,0.7761087267525035,11,80.62548065185547,0.9430675507761972,475.0,199.0,198.067269566531
L-Concrete,concrete,linear,0.15,0.2,0.006,0.025,2080127,4,0.6926884996191927,0.7911301859799714,40,54.501930236816406,0.9012784928338552,485.0,171.0,170.73731402710297
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.05,2090123,0,0.7346725057121096,0.7861230329041488,13,992.4517211914062,0.9967221500958596,2762.0,2280.0,1889.2617769220333
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.05,2090124,1,0.7482863670982483,0.778969957081545,4,2151.776123046875,0.9995669663092556,5316.0,4478.0,3835.17790624886
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.05,2090125,2,0.7440974866717441,0.7868383404864091,2,2465.9921875,0.9997472231335802,5622.0,4894.0,4237.8643520340665
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.05,2090126,3,0.7255331302361006,0.8068669527896996,12,976.6409301757812,0.9964507055700048,2801.0,2143.0,1801.368699352783
L-Concrete,concrete,linear,0.15,0.2,0.00075,0.05,2090127,4,0.7208682406702208,0.7875536480686696,13,917.0038452148438,0.9961809396570992,2627.0,1991.0,1699.0606075010562
L-Concrete,concrete,linear,0.15,0.2,0.001,0.05,2100123,0,0.7282939832444782,0.7818311874105865,19,562.4208374023438,0.9873278697658974,1679.0,1310.0,1098.1072825951649
L-Concrete,concrete,linear,0.15,0.2,0.001,0.05,2100124,1,0.7281035795887281,0.7875536480686696,9,941.1505737304688,0.9974522878544432,2938.0,2256.0,1871.4409742621056
L-Concrete,concrete,linear,0.15,0.2,0.001,0.05,2100125,2,0.7308644325971059,0.790414878397711,18,561.7181396484375,0.9929399043490688,1768.0,1359.0,1125.1813708612833
L-Concrete,concrete,linear,0.15,0.2,0.001,0.05,2100126,3,0.7421934501142422,0.7975679542203148,12,713.1351318359375,0.9954633200592424,2205.0,1626.0,1393.8978307551042
L-Concrete,concrete,linear,0.15,0.2,0.001,0.05,2100127,4,0.7346725057121096,0.7939914163090128,11,801.4440307617188,0.9968303423059836,2541.0,1989.0,1624.9512796757667
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.05,2110123,0,0.7242955064737243,0.8032904148783977,10,507.3204650878906,0.9932007480627826,2019.0,1203.0,1073.9244525081897
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.05,2110124,1,0.7222010662604722,0.7732474964234621,14,388.4903564453125,0.9874943497744604,1354.0,911.0,790.5563018983884
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.05,2110125,2,0.7112528560548362,0.7939914163090128,24,301.5289611816406,0.9801854438598812,1143.0,699.0,616.5369583378136
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.05,2110126,3,0.7327684691546078,0.7875536480686696,15,372.5830078125,0.9854854322812816,1190.0,887.0,754.7923917711294
L-Concrete,concrete,linear,0.15,0.2,0.0015,0.05,2110127,4,0.7378141660319878,0.7889842632331903,15,367.8841552734375,0.9865288373832068,1294.0,925.0,788.5265935829335
