model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.021,0.0,1,3,0.7766555107536082,2.8735207100591715,0.4054054054054054,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.021,0.0,1,4,0.7511018809844124,3.1608727810650885,0.4647887323943662,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,mlp,0.021,0.0,2,3,0.8356211301131464,3.1608727810650885,0.4647887323943662,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.021,0.0,2,4,0.8112908781284922,3.5440088757396446,0.5522388059701493,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.021,0.0,3,4,0.7628696907431463,3.256656804733728,0.4857142857142857,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.028,0.0,0,1,0.7827255518433748,2.8735207100591715,0.4054054054054054,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.028,0.0,0,2,0.7540054726592377,2.8735207100591715,0.4054054054054054,2.8735207100591715,0.4054054054054054
LSPIN,lspin_tf,mlp,0.028,0.0,0,3,0.7779182424718035,3.448224852071006,0.5294117647058824,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.028,0.0,0,4,0.8096240083131448,3.639792899408284,0.5757575757575758,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.028,0.0,1,2,0.7515803673923633,3.0650887573964494,0.4444444444444444,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.028,0.0,1,3,0.8242078011754044,3.1608727810650885,0.4647887323943662,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.028,0.0,1,4,0.8137622530405962,3.352440828402367,0.5072463768115942,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.028,0.0,2,3,0.7860171544830752,3.1608727810650885,0.4647887323943662,3.0650887573964494,0.4444444444444444
LSPIN,lspin_tf,mlp,0.028,0.0,2,4,0.7959555933606451,3.0650887573964494,0.4444444444444444,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.028,0.0,3,4,0.8118852570011231,3.5440088757396446,0.5522388059701493,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0035,0.025,0,1,0.8949180594446006,3.735576923076923,0.6,4.02292899408284,0.6774193548387096
LSPIN,lspin_tf,mlp,0.0035,0.025,0,2,0.9152534120013488,4.02292899408284,0.6774193548387096,4.02292899408284,0.6774193548387096
LSPIN,lspin_tf,mlp,0.0035,0.025,0,3,0.9167210009121088,4.118713017751479,0.7049180327868853,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0035,0.025,0,4,0.9045498518470656,3.735576923076923,0.6,4.02292899408284,0.6774193548387096
LSPIN,lspin_tf,mlp,0.0035,0.025,1,2,0.941376651085925,4.214497041420118,0.7333333333333333,4.118713017751479,0.7049180327868853
LSPIN,lspin_tf,mlp,0.0035,0.025,1,3,0.921740955805422,3.831360946745562,0.625,4.118713017751479,0.7049180327868853
LSPIN,lspin_tf,mlp,0.0035,0.025,1,4,0.9439061973784014,4.597633136094674,0.8571428571428571,4.118713017751479,0.7049180327868853
LSPIN,lspin_tf,mlp,0.0035,0.025,2,3,0.9237561825164567,4.02292899408284,0.6774193548387096,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.025,2,4,0.9026386749987554,4.118713017751479,0.7049180327868853,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.025,3,4,0.9270604395927972,3.735576923076923,0.6,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.00525,0.025,0,1,0.9108430005711016,3.831360946745562,0.625,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.00525,0.025,0,2,0.931102334855954,3.639792899408284,0.5757575757575758,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.00525,0.025,0,3,0.903479804563735,3.5440088757396446,0.5522388059701493,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.00525,0.025,0,4,0.8457360020598694,3.735576923076923,0.6,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.00525,0.025,1,2,0.9299143094298988,3.831360946745562,0.625,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.00525,0.025,1,3,0.938000334159544,3.639792899408284,0.5757575757575758,4.118713017751479,0.7049180327868853
LSPIN,lspin_tf,mlp,0.00525,0.025,1,4,0.9180779654232166,3.639792899408284,0.5757575757575758,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.00525,0.025,2,3,0.917363602742668,3.927144970414201,0.6507936507936508,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.00525,0.025,2,4,0.8911227142042262,3.831360946745562,0.625,3.256656804733728,0.4857142857142857
