histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.00525,0.025,100127
kidneychromophobe,19,0.6619718309859155,LSPIN,mlp,0.007,0.025,110123
kidneyclearcellrenalcarcinoma,156,0.6457302645730264,LSPIN,mlp,0.007,0.025,110123
kidneypapillaryrenalcellcarcinoma,84,0.8417818740399385,LSPIN,mlp,0.007,0.025,110123
kidneychromophobe,19,0.7887323943661971,LSPIN,mlp,0.007,0.025,110124
kidneyclearcellrenalcarcinoma,156,0.6717573671757368,LSPIN,mlp,0.007,0.025,110124
kidneypapillaryrenalcellcarcinoma,84,0.8233486943164362,LSPIN,mlp,0.007,0.025,110124
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.007,0.025,110125
kidneyclearcellrenalcarcinoma,156,0.6708969670896967,LSPIN,mlp,0.007,0.025,110125
kidneypapillaryrenalcellcarcinoma,84,0.7864823348694316,LSPIN,mlp,0.007,0.025,110125
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.007,0.025,110126
kidneyclearcellrenalcarcinoma,156,0.6896106689610669,LSPIN,mlp,0.007,0.025,110126
kidneypapillaryrenalcellcarcinoma,84,0.7926267281105991,LSPIN,mlp,0.007,0.025,110126
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.007,0.025,110127
kidneyclearcellrenalcarcinoma,156,0.6631533663153366,LSPIN,mlp,0.007,0.025,110127
kidneypapillaryrenalcellcarcinoma,84,0.8110599078341014,LSPIN,mlp,0.007,0.025,110127
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.00875,0.025,120123
kidneyclearcellrenalcarcinoma,156,0.6549795654979566,LSPIN,mlp,0.00875,0.025,120123
kidneypapillaryrenalcellcarcinoma,84,0.8387096774193549,LSPIN,mlp,0.00875,0.025,120123
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.00875,0.025,120124
kidneyclearcellrenalcarcinoma,156,0.6792858679285868,LSPIN,mlp,0.00875,0.025,120124
kidneypapillaryrenalcellcarcinoma,84,0.794162826420891,LSPIN,mlp,0.00875,0.025,120124
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.00875,0.025,120125
kidneyclearcellrenalcarcinoma,156,0.6728328672832867,LSPIN,mlp,0.00875,0.025,120125
kidneypapillaryrenalcellcarcinoma,84,0.7665130568356375,LSPIN,mlp,0.00875,0.025,120125
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.00875,0.025,120126
kidneyclearcellrenalcarcinoma,156,0.6655194665519466,LSPIN,mlp,0.00875,0.025,120126
kidneypapillaryrenalcellcarcinoma,84,0.82642089093702,LSPIN,mlp,0.00875,0.025,120126
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.00875,0.025,120127
kidneyclearcellrenalcarcinoma,156,0.6670251667025167,LSPIN,mlp,0.00875,0.025,120127
kidneypapillaryrenalcellcarcinoma,84,0.7818740399385561,LSPIN,mlp,0.00875,0.025,120127
kidneychromophobe,19,0.6338028169014085,LSPIN,mlp,0.0105,0.025,130123
kidneyclearcellrenalcarcinoma,156,0.6754140675414068,LSPIN,mlp,0.0105,0.025,130123
kidneypapillaryrenalcellcarcinoma,84,0.8187403993855606,LSPIN,mlp,0.0105,0.025,130123
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.0105,0.025,130124
kidneyclearcellrenalcarcinoma,156,0.6683157668315767,LSPIN,mlp,0.0105,0.025,130124
kidneypapillaryrenalcellcarcinoma,84,0.8233486943164362,LSPIN,mlp,0.0105,0.025,130124
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.025,130125
kidneyclearcellrenalcarcinoma,156,0.6470208647020864,LSPIN,mlp,0.0105,0.025,130125
kidneypapillaryrenalcellcarcinoma,84,0.7741935483870968,LSPIN,mlp,0.0105,0.025,130125
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.0105,0.025,130126
kidneyclearcellrenalcarcinoma,156,0.6136803613680362,LSPIN,mlp,0.0105,0.025,130126
kidneypapillaryrenalcellcarcinoma,84,0.7956989247311828,LSPIN,mlp,0.0105,0.025,130126
kidneychromophobe,19,0.647887323943662,LSPIN,mlp,0.0105,0.025,130127
kidneyclearcellrenalcarcinoma,156,0.6868143686814369,LSPIN,mlp,0.0105,0.025,130127
kidneypapillaryrenalcellcarcinoma,84,0.7772657450076805,LSPIN,mlp,0.0105,0.025,130127
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.014,0.025,140123
kidneyclearcellrenalcarcinoma,156,0.6687459668745966,LSPIN,mlp,0.014,0.025,140123
kidneypapillaryrenalcellcarcinoma,84,0.7373271889400922,LSPIN,mlp,0.014,0.025,140123
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.014,0.025,140124
kidneyclearcellrenalcarcinoma,156,0.6814368681436869,LSPIN,mlp,0.014,0.025,140124
kidneypapillaryrenalcellcarcinoma,84,0.8064516129032258,LSPIN,mlp,0.014,0.025,140124
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.014,0.025,140125
kidneyclearcellrenalcarcinoma,156,0.6661647666164766,LSPIN,mlp,0.014,0.025,140125
kidneypapillaryrenalcellcarcinoma,84,0.8325652841781874,LSPIN,mlp,0.014,0.025,140125
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.014,0.025,140126
kidneyclearcellrenalcarcinoma,156,0.6932673693267369,LSPIN,mlp,0.014,0.025,140126
kidneypapillaryrenalcellcarcinoma,84,0.8248847926267281,LSPIN,mlp,0.014,0.025,140126
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.014,0.025,140127
kidneyclearcellrenalcarcinoma,156,0.6846633684663368,LSPIN,mlp,0.014,0.025,140127
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.014,0.025,140127
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.021,0.025,150123
kidneyclearcellrenalcarcinoma,156,0.6782103678210368,LSPIN,mlp,0.021,0.025,150123
kidneypapillaryrenalcellcarcinoma,84,0.7112135176651305,LSPIN,mlp,0.021,0.025,150123
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.021,0.025,150124
kidneyclearcellrenalcarcinoma,156,0.6375564637556463,LSPIN,mlp,0.021,0.025,150124
kidneypapillaryrenalcellcarcinoma,84,0.7726574500768049,LSPIN,mlp,0.021,0.025,150124
kidneychromophobe,19,0.6901408450704225,LSPIN,mlp,0.021,0.025,150125
kidneyclearcellrenalcarcinoma,156,0.7113357711335772,LSPIN,mlp,0.021,0.025,150125
kidneypapillaryrenalcellcarcinoma,84,0.82642089093702,LSPIN,mlp,0.021,0.025,150125
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.021,0.025,150126
kidneyclearcellrenalcarcinoma,156,0.6545493654549366,LSPIN,mlp,0.021,0.025,150126
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,mlp,0.021,0.025,150126
kidneychromophobe,19,0.704225352112676,LSPIN,mlp,0.021,0.025,150127
kidneyclearcellrenalcarcinoma,156,0.6827274682727468,LSPIN,mlp,0.021,0.025,150127
kidneypapillaryrenalcellcarcinoma,84,0.8448540706605223,LSPIN,mlp,0.021,0.025,150127
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.028,0.025,160123
kidneyclearcellrenalcarcinoma,156,0.6388470638847064,LSPIN,mlp,0.028,0.025,160123
kidneypapillaryrenalcellcarcinoma,84,0.8325652841781874,LSPIN,mlp,0.028,0.025,160123
kidneychromophobe,19,0.676056338028169,LSPIN,mlp,0.028,0.025,160124
kidneyclearcellrenalcarcinoma,156,0.696708969670897,LSPIN,mlp,0.028,0.025,160124
