model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
L-LSPIN,lspin_tf,0.2,0.0105,0.1,0,1,0.9923366630981652
L-LSPIN,lspin_tf,0.2,0.0105,0.1,0,2,0.9832395376450154
L-LSPIN,lspin_tf,0.2,0.0105,0.1,1,2,0.9892356612510596
L-LSPIN,lspin_tf,0.2,0.00875,0.1,0,1,0.9923770584934212
L-LSPIN,lspin_tf,0.2,0.00875,0.1,0,2,0.9925846646958184
L-LSPIN,lspin_tf,0.2,0.00875,0.1,1,2,0.9913024086560568
L-LSPIN,lspin_tf,0.2,0.007,0.1,0,1,0.9823756464531448
L-LSPIN,lspin_tf,0.2,0.007,0.1,0,2,0.994866979000752
L-LSPIN,lspin_tf,0.2,0.007,0.1,1,2,0.992125820053087
Concrete,concrete,0.15,0.004,0.1,0,1,0.9740678783585252
Concrete,concrete,0.15,0.004,0.1,0,2,0.975026450208358
Concrete,concrete,0.15,0.004,0.1,1,2,0.98585126402417
Concrete,concrete,0.15,0.003,0.1,0,1,0.9693193082224002
Concrete,concrete,0.15,0.003,0.1,0,2,0.9425376504771676
Concrete,concrete,0.15,0.003,0.1,1,2,0.9521859419867266
Concrete,concrete,0.15,0.0025,0.1,0,1,0.9773060531467056
Concrete,concrete,0.15,0.0025,0.1,0,2,0.967006909688463
Concrete,concrete,0.15,0.0025,0.1,1,2,0.993136112357452
Concrete,concrete,0.15,0.002,0.1,0,1,0.9714394770750848
Concrete,concrete,0.15,0.002,0.1,0,2,0.9883658202390584
Concrete,concrete,0.15,0.002,0.1,1,2,0.977627925065046
Concrete,concrete,0.15,0.0015,0.1,0,1,0.9798413514284516
Concrete,concrete,0.15,0.0015,0.1,0,2,0.9865297263380552
Concrete,concrete,0.15,0.0015,0.1,1,2,0.98522564291349
Concrete,concrete,0.12,0.004,0.1,0,1,0.9646598899757536
Concrete,concrete,0.12,0.004,0.1,0,2,0.974038728696071
Concrete,concrete,0.12,0.004,0.1,1,2,0.971663685164344
Concrete,concrete,0.12,0.003,0.1,0,1,0.96142141018433
Concrete,concrete,0.12,0.003,0.1,0,2,0.9932813213943946
Concrete,concrete,0.12,0.003,0.1,1,2,0.9467004432853424
Concrete,concrete,0.12,0.0025,0.1,0,1,0.990386639291542
Concrete,concrete,0.12,0.0025,0.1,0,2,0.9727641261059992
Concrete,concrete,0.12,0.0025,0.1,1,2,0.963222882007486
Concrete,concrete,0.12,0.002,0.1,0,1,0.9846136766114092
Concrete,concrete,0.12,0.002,0.1,0,2,0.9582567918261626
Concrete,concrete,0.12,0.002,0.1,1,2,0.9750388339540502
Concrete,concrete,0.12,0.0015,0.1,0,1,0.9825775338627072
Concrete,concrete,0.12,0.0015,0.1,0,2,0.9692066593040488
Concrete,concrete,0.12,0.0015,0.1,1,2,0.9683334994907844
L-Concrete,concrete,0.15,0.004,0.1,0,1,0.983453031068658
L-Concrete,concrete,0.15,0.004,0.1,0,2,0.986860924907386
L-Concrete,concrete,0.15,0.004,0.1,1,2,0.956410859018203
L-Concrete,concrete,0.15,0.003,0.1,0,1,0.9682391140408404
L-Concrete,concrete,0.15,0.003,0.1,0,2,0.9802513897135872
L-Concrete,concrete,0.15,0.003,0.1,1,2,0.9494607878836568
L-Concrete,concrete,0.15,0.0025,0.1,0,1,0.9712536016100132
L-Concrete,concrete,0.15,0.0025,0.1,0,2,0.9866586641116606
L-Concrete,concrete,0.15,0.0025,0.1,1,2,0.979995708061026
L-Concrete,concrete,0.15,0.002,0.1,0,1,0.9920701563413844
L-Concrete,concrete,0.15,0.002,0.1,0,2,0.9880243184579064
L-Concrete,concrete,0.15,0.002,0.1,1,2,0.9836552767786464
L-Concrete,concrete,0.15,0.0015,0.1,0,1,0.9925836894281344
L-Concrete,concrete,0.15,0.0015,0.1,0,2,0.9808710774943066
L-Concrete,concrete,0.15,0.0015,0.1,1,2,0.9826144231555556
L-Concrete,concrete,0.12,0.004,0.1,0,1,0.991779271740628
L-Concrete,concrete,0.12,0.004,0.1,0,2,0.9962068388008144
L-Concrete,concrete,0.12,0.004,0.1,1,2,0.9904884105872496
L-Concrete,concrete,0.12,0.003,0.1,0,1,0.9797554081596468
L-Concrete,concrete,0.12,0.003,0.1,0,2,0.9751789227850512
L-Concrete,concrete,0.12,0.003,0.1,1,2,0.9812249195200234
