model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
L-Concrete,concrete,0.15,0.002,0.05,0,2,0.9508962615256134,0.917139550096404
L-Concrete,concrete,0.15,0.002,0.05,1,2,0.9784922662938054,0.9629692016722592
L-Concrete,concrete,0.15,0.0015,0.05,0,1,0.9322201024194836,0.8785467591896057
L-Concrete,concrete,0.15,0.0015,0.05,0,2,0.9529001463986666,0.904008673364219
L-Concrete,concrete,0.15,0.0015,0.05,1,2,0.9339424998721154,0.9021429858066232
L-Concrete,concrete,0.12,0.004,0.05,0,1,0.9509635371184054,0.916333260854214
L-Concrete,concrete,0.12,0.004,0.05,0,2,0.9514812294008036,0.9166263611708844
L-Concrete,concrete,0.12,0.004,0.05,1,2,0.986583403977258,0.9652878613398468
L-Concrete,concrete,0.12,0.003,0.05,0,1,0.95745837479,0.9001123147302555
L-Concrete,concrete,0.12,0.003,0.05,0,2,0.91576459462414,0.8480245172229947
L-Concrete,concrete,0.12,0.003,0.05,1,2,0.9475598394102962,0.9056710797169544
L-Concrete,concrete,0.12,0.0025,0.05,0,1,0.9513329859958448,0.9168790861310028
L-Concrete,concrete,0.12,0.0025,0.05,0,2,0.9448602314847696,0.9026428210383572
L-Concrete,concrete,0.12,0.0025,0.05,1,2,0.9934468395922216,0.9796180402375564
L-Concrete,concrete,0.12,0.002,0.05,0,1,0.9611463107364564,0.9291876763754632
L-Concrete,concrete,0.12,0.002,0.05,0,2,0.9823511843290764,0.9584638872603232
L-Concrete,concrete,0.12,0.002,0.05,1,2,0.9653988864134158,0.9282430643280218
L-Concrete,concrete,0.12,0.0015,0.05,0,1,0.9827822069384596,0.9579294624268156
L-Concrete,concrete,0.12,0.0015,0.05,0,2,0.9576449488395418,0.9368694639843635
L-Concrete,concrete,0.12,0.0015,0.05,1,2,0.940884924582266,0.9056449103179474
LSPIN,lspin_tf,0.22,0.014,0.025,0,1,0.948085704472752,0.9020462893347352
LSPIN,lspin_tf,0.22,0.014,0.025,0,2,0.9337433154547048,0.8913077767333901
LSPIN,lspin_tf,0.22,0.014,0.025,1,2,0.9714314912248228,0.9432017348936256
