model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
L-LSPIN,lspin_tf,linear,0.2,0.007,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,760125,2,76,1,0.696020563594821,0.7453505007153076,25,365.0185241699219,365.0038757324219,0.989951099337552,700.0,623.0,555.6188081686132
Concrete,concrete,mlp,0.15,0.004,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,800123,0,80,1,0.7014470677837015,0.7968526466380543,2,57.99875259399414,57.82239532470703,0.9454974259988496,338.0,179.0,165.87140337647295
Concrete,concrete,mlp,0.15,0.004,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,800124,1,80,1,0.7266755521706016,0.7567954220314735,2,48.75690841674805,48.679534912109375,0.9156040355350672,334.0,170.0,164.6678531214042
Concrete,concrete,mlp,0.15,0.004,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,800125,2,80,1,0.7316260472201066,0.7668097281831188,4,45.59987258911133,45.52895736694336,0.9006155810270842,238.0,135.0,122.6517110715973
Concrete,concrete,mlp,0.15,0.003,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,840123,0,84,1,0.7201066260472201,0.7954220314735336,5,108.25211334228516,108.22007751464844,0.9456771803729856,399.0,267.0,241.05336448499045
Concrete,concrete,mlp,0.15,0.003,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,840124,1,84,1,0.706968773800457,0.7610872675250357,0,155.5987548828125,151.39768981933594,0.9792747910975768,1614.0,541.0,617.8209676269032
Concrete,concrete,mlp,0.15,0.003,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,840125,2,84,1,0.7119192688499619,0.7410586552217453,1,102.68717956542967,102.33204650878906,0.940717604955684,692.0,332.0,318.01913637440697
Concrete,concrete,mlp,0.15,0.0025,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,880123,0,88,1,0.7094440213252095,0.8097281831187411,0,209.2658843994141,204.46717834472656,0.9871968039963832,2045.0,801.0,864.3891559675018
Concrete,concrete,mlp,0.15,0.0025,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,880124,1,88,1,0.7156321401370906,0.765379113018598,1,148.11993408203125,147.64093017578125,0.9558054454638087,879.0,478.0,445.26999293805216
Concrete,concrete,mlp,0.15,0.0025,0.0,0.3,20,64,0.0,"(64, 32)",0.1,0.0,0.0,880125,2,88,1,0.7224866717440975,0.7832618025751072,3,114.35293579101562,114.27413177490234,0.9313289495502964,440.0,299.0,273.7151555946448
