model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard
L-LSPIN,0.2,0.0105,0.0,0.7260464102998011,3.192800788954635,0.47215985121680165,2.6819526627218937,0.3704414003044139
L-LSPIN,0.2,0.0105,0.025,0.6427330542817221,2.8415927021696255,0.3993302891933028,2.745808678500986,0.3819143819143818
L-LSPIN,0.2,0.0105,0.05,0.6961718675522369,3.224728796844181,0.479548313848231,2.650024654832347,0.3649204760315871
L-LSPIN,0.2,0.0105,0.1,0.7935399375464626,3.3205128205128207,0.5069959295311408,3.2566568047337277,0.4863297431648716
L-LSPIN,0.2,0.014,0.0,0.5454774776777568,2.6180966469428006,0.3568831168831168,2.203032544378698,0.286650558743582
L-LSPIN,0.2,0.014,0.025,0.674945229293867,3.1289447731755424,0.4591468382037886,2.554240631163708,0.34487734487734484
L-LSPIN,0.2,0.014,0.05,0.6764647008852657,2.8415927021696255,0.4001664001664001,2.71388067061144,0.37482526956211165
L-LSPIN,0.2,0.014,0.1,0.7913697417829365,3.160872781065089,0.46537842190016104,3.0331607495069033,0.4389417989417989
L-LSPIN,0.2,0.021,0.0,0.553016601757236,2.71388067061144,0.3764403977595183,2.36267258382643,0.3112465489399385
L-LSPIN,0.2,0.021,0.025,0.6033815919259033,2.586168639053254,0.3530858340599588,2.298816568047337,0.3025040319157966
L-LSPIN,0.2,0.021,0.05,0.5226570736629259,2.3946005917159763,0.31772314392031326,2.0433925049309662,0.2593601153541585
L-LSPIN,0.2,0.021,0.1,0.6650452610905321,2.937376725838264,0.4209702660406886,2.71388067061144,0.37547064007049585
L-LSPIN,0.22,0.007,0.0,0.7819758554365331,3.3205128205128207,0.5004822913039476,2.9693047337278102,0.4258847431567965
L-LSPIN,0.22,0.007,0.025,0.7519601102373303,3.0970167652859963,0.45627872087857674,3.0650887573964494,0.445769772154525
L-LSPIN,0.22,0.007,0.05,0.6707902779929721,2.71388067061144,0.38061544824829846,2.745808678500986,0.3812426458425016
L-LSPIN,0.22,0.007,0.1,0.585021392089636,2.6819526627218937,0.37287522603978296,2.554240631163708,0.3486901535682023
L-LSPIN,0.22,0.00875,0.0,0.7130611195287874,3.0970167652859963,0.4559432159432159,3.1289447731755424,0.4595756110663443
L-LSPIN,0.22,0.00875,0.025,0.7284097012382459,2.9054487179487176,0.4128717301437835,3.001232741617357,0.431617224015449
L-LSPIN,0.22,0.00875,0.05,0.765130920054277,3.001232741617357,0.4337174562526675,3.224728796844181,0.4787391012743125
L-LSPIN,0.22,0.00875,0.1,0.7827106082979318,3.5120808678500985,0.5459843638948116,2.937376725838264,0.42077803203661324
L-LSPIN,0.22,0.0105,0.0,0.6853171697041769,2.7777366863905324,0.3886958112310224,2.3946005917159763,0.3194724845327255
L-LSPIN,0.22,0.0105,0.025,0.703666406808193,2.71388067061144,0.3761423761423761,2.8735207100591715,0.4065837764467901
L-LSPIN,0.22,0.0105,0.05,0.6696381636218315,2.8735207100591715,0.40591204037490985,2.3946005917159763,0.3168724279835391
L-LSPIN,0.22,0.0105,0.1,0.7258588043657205,2.9054487179487176,0.41317941317941315,2.8735207100591715,0.40592592592592586
L-LSPIN,0.22,0.014,0.0,0.6236801424427685,2.6819526627218937,0.37152592064341033,2.458456607495069,0.32785358101813794
L-LSPIN,0.22,0.014,0.025,0.5620294530697861,2.107248520710059,0.2718266253869969,2.586168639053254,0.3516959064327485
L-LSPIN,0.22,0.014,0.05,0.6336439664004502,2.4903846153846154,0.3346502057613168,2.6180966469428006,0.36102499594825055
L-LSPIN,0.22,0.014,0.1,0.7777441691206914,3.3303368229403727,0.5049937012898,2.895624715521165,0.41242076922302684
L-LSPIN,0.22,0.021,0.0,0.5447539585076665,2.5223126232741615,0.3396901344269765,2.2030325443786984,0.2843373493975903
L-LSPIN,0.22,0.021,0.025,0.6062103763247874,2.522312623274162,0.3420945168355793,2.171104536489152,0.27950051719390673
L-LSPIN,0.22,0.021,0.05,0.7015328623452758,3.192800788954635,0.47215985121680165,2.4903846153846154,0.3352705729639625
L-LSPIN,0.22,0.021,0.1,0.6643789454073149,2.71388067061144,0.37466089466089464,2.8096646942800785,0.39392015392015384
LSPIN,0.2,0.00525,0.0,0.8671827771698316,3.94188097405553,0.6569182713458733,3.187888787740859,0.4765222642002699
LSPIN,0.2,0.00525,0.025,0.8479484410575243,3.9271449704142007,0.6519038945268454,2.809664694280079,0.3981074790816039
