model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft
L-Concrete,0.15,0.002,0.025,0.6577652957603453,0.0418894082874358,1194.4285888671875,32.02080589778576,0.99699762518287,0.0004125550500613,2761.0,2295.333333333333,3,1196.0079345703125,30.01793939766584
L-Concrete,0.15,0.002,0.05,0.6713156892612338,0.0428202169706058,1118.7683512369792,83.86546005637034,0.9964359049367214,0.000482854590558,2111.0,1992.3333333333333,3,1118.8694254557292,83.92242279198294
L-Concrete,0.15,0.002,0.1,0.6695544554455446,0.046961142368819,1152.2895914713542,65.96162827041312,0.9968515530190634,0.0004461523407051,2087.333333333333,2031.3333333333333,3,1152.4060465494792,66.1395023237748
L-Concrete,0.15,0.0025,0.0,0.6816292206143691,0.0015818503022807,800.2445271809896,90.39797379520364,0.9956605360670764,0.0020361804279151,2522.6666666666665,1922.6666666666667,3,801.557373046875,91.1331476403233
L-Concrete,0.15,0.0025,0.025,0.6869446560040618,0.0249365797681178,1005.0437418619792,53.11316973221252,0.9957973432919832,0.0016361265843971,1962.6666666666667,1766.0,3,1005.2321166992188,53.13732429689516
L-Concrete,0.15,0.0025,0.05,0.6943386646356943,0.0179569256026655,933.0334879557292,102.6855934701712,0.9956263344340762,0.0008577592823285,1804.3333333333333,1692.3333333333333,3,933.1639200846354,102.49442081536212
L-Concrete,0.15,0.0025,0.1,0.6762979182533638,0.0332676359155916,946.3307495117188,82.5339583314672,0.9954816699190928,0.0017822582981459,1869.0,1751.3333333333333,3,946.4657592773438,82.55372349964672
L-Concrete,0.15,0.003,0.0,0.6854848946433104,0.0156375583196107,627.8802897135416,114.33243265585138,0.995002067539196,0.00215834620191,2082.6666666666665,1570.0,3,628.4909871419271,115.07611312534084
L-Concrete,0.15,0.003,0.025,0.7015740035542016,0.0043317703486005,711.4272867838541,34.709177360146974,0.9934969612961349,0.0020910732050733,1515.0,1385.0,3,711.4172566731771,34.72561973440614
L-Concrete,0.15,0.003,0.05,0.6766628585935517,0.0149997521847832,798.6949666341146,70.034460236215,0.9944070742313312,0.0018594368995624,1626.6666666666667,1500.0,3,798.777587890625,70.02994243878574
L-Concrete,0.15,0.003,0.1,0.6664603960396039,0.0270749630003224,884.3539428710938,83.2463246342721,0.9952318751711092,0.0008591941375957,2094.0,1701.3333333333333,3,885.8218994140625,80.91276033071357
L-Concrete,0.15,0.004,0.0,0.707032241685707,0.0072355476914334,274.08751424153644,101.76377412608048,0.9817135423251474,0.0136931524414213,995.6666666666666,697.0,3,274.47324625651044,102.41555872836474
L-Concrete,0.15,0.004,0.025,0.6968297791317593,0.0318131483441138,527.1708399454752,50.87194152602929,0.9920624132278616,0.0026940041402782,1256.75,1063.25,12,527.326291402181,50.91480886425954
L-Concrete,0.15,0.004,0.05,0.6882457476516882,0.0150600545553813,614.6679484049479,92.01452863709656,0.992099216834319,0.0016805665776945,1270.0,1141.0,3,614.7490437825521,91.958250707692
L-Concrete,0.15,0.004,0.1,0.7195036811373444,0.0072842360382821,594.6473795572916,55.3640785348732,0.9933447655864148,0.0014662453162436,1230.0,1143.0,3,594.736328125,55.55605130133666
L-LSPIN,0.2,0.007,0.0,0.6965600406194467,0.0239977742392265,429.5067596435547,124.68735442849908,0.9883060931731046,0.0045912162894741,907.6666666666666,787.3333333333334,12,429.5025278727214,124.6778728616139
