histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
kidneypapillaryrenalcellcarcinoma,84,0.8433179723502304,L-LSPIN,0.2,0.0105,0.0,680124
kidneychromophobe,19,0.676056338028169,L-LSPIN,0.2,0.0105,0.0,680125
kidneyclearcellrenalcarcinoma,156,0.6474510647451065,L-LSPIN,0.2,0.0105,0.0,680125
kidneypapillaryrenalcellcarcinoma,84,0.7972350230414746,L-LSPIN,0.2,0.0105,0.0,680125
kidneychromophobe,19,0.676056338028169,L-LSPIN,0.2,0.00875,0.0,720123
kidneyclearcellrenalcarcinoma,156,0.6913314691331469,L-LSPIN,0.2,0.00875,0.0,720123
kidneypapillaryrenalcellcarcinoma,84,0.7526881720430108,L-LSPIN,0.2,0.00875,0.0,720123
kidneychromophobe,19,0.7323943661971831,L-LSPIN,0.2,0.00875,0.0,720124
kidneyclearcellrenalcarcinoma,156,0.6528285652828565,L-LSPIN,0.2,0.00875,0.0,720124
kidneypapillaryrenalcellcarcinoma,84,0.8341013824884793,L-LSPIN,0.2,0.00875,0.0,720124
kidneychromophobe,19,0.6901408450704225,L-LSPIN,0.2,0.00875,0.0,720125
kidneyclearcellrenalcarcinoma,156,0.6498171649817165,L-LSPIN,0.2,0.00875,0.0,720125
kidneypapillaryrenalcellcarcinoma,84,0.7987711213517665,L-LSPIN,0.2,0.00875,0.0,720125
kidneychromophobe,19,0.647887323943662,L-LSPIN,0.2,0.007,0.0,760123
kidneyclearcellrenalcarcinoma,156,0.6330393633039363,L-LSPIN,0.2,0.007,0.0,760123
kidneypapillaryrenalcellcarcinoma,84,0.7972350230414746,L-LSPIN,0.2,0.007,0.0,760123
kidneychromophobe,19,0.676056338028169,L-LSPIN,0.2,0.007,0.0,760124
kidneyclearcellrenalcarcinoma,156,0.701871370187137,L-LSPIN,0.2,0.007,0.0,760124
kidneypapillaryrenalcellcarcinoma,84,0.8325652841781874,L-LSPIN,0.2,0.007,0.0,760124
kidneychromophobe,19,0.7464788732394366,L-LSPIN,0.2,0.007,0.0,760125
kidneyclearcellrenalcarcinoma,156,0.6795009679500968,L-LSPIN,0.2,0.007,0.0,760125
kidneypapillaryrenalcellcarcinoma,84,0.7096774193548387,L-LSPIN,0.2,0.007,0.0,760125
kidneychromophobe,19,0.6197183098591549,Concrete,0.15,0.004,0.0,800123
kidneyclearcellrenalcarcinoma,156,0.6676704667670467,Concrete,0.15,0.004,0.0,800123
kidneypapillaryrenalcellcarcinoma,84,0.728110599078341,Concrete,0.15,0.004,0.0,800123
kidneychromophobe,19,0.7183098591549296,Concrete,0.15,0.004,0.0,800124
kidneyclearcellrenalcarcinoma,156,0.6644439664443966,Concrete,0.15,0.004,0.0,800124
kidneypapillaryrenalcellcarcinoma,84,0.8095238095238095,Concrete,0.15,0.004,0.0,800124
kidneychromophobe,19,0.6901408450704225,Concrete,0.15,0.004,0.0,800125
kidneyclearcellrenalcarcinoma,156,0.6861690686169069,Concrete,0.15,0.004,0.0,800125
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,Concrete,0.15,0.004,0.0,800125
kidneychromophobe,19,0.7323943661971831,Concrete,0.15,0.003,0.0,840123
kidneyclearcellrenalcarcinoma,156,0.6906861690686169,Concrete,0.15,0.003,0.0,840123
kidneypapillaryrenalcellcarcinoma,84,0.7357910906298003,Concrete,0.15,0.003,0.0,840123
kidneychromophobe,19,0.676056338028169,Concrete,0.15,0.003,0.0,840124
kidneyclearcellrenalcarcinoma,156,0.6726177672617767,Concrete,0.15,0.003,0.0,840124
kidneypapillaryrenalcellcarcinoma,84,0.7265745007680492,Concrete,0.15,0.003,0.0,840124
kidneychromophobe,19,0.676056338028169,Concrete,0.15,0.003,0.0,840125
kidneyclearcellrenalcarcinoma,156,0.6724026672402668,Concrete,0.15,0.003,0.0,840125
kidneypapillaryrenalcellcarcinoma,84,0.7741935483870968,Concrete,0.15,0.003,0.0,840125
kidneychromophobe,19,0.6619718309859155,Concrete,0.15,0.0025,0.0,880123
kidneyclearcellrenalcarcinoma,156,0.6751989675198967,Concrete,0.15,0.0025,0.0,880123
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,Concrete,0.15,0.0025,0.0,880123
kidneychromophobe,19,0.6901408450704225,Concrete,0.15,0.0025,0.0,880124
kidneyclearcellrenalcarcinoma,156,0.6663798666379867,Concrete,0.15,0.0025,0.0,880124
kidneypapillaryrenalcellcarcinoma,84,0.7772657450076805,Concrete,0.15,0.0025,0.0,880124
kidneychromophobe,19,0.704225352112676,Concrete,0.15,0.0025,0.0,880125
kidneyclearcellrenalcarcinoma,156,0.6926220692622069,Concrete,0.15,0.0025,0.0,880125
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,Concrete,0.15,0.0025,0.0,880125
kidneychromophobe,19,0.647887323943662,Concrete,0.15,0.002,0.0,920123
kidneyclearcellrenalcarcinoma,156,0.6603570660357067,Concrete,0.15,0.002,0.0,920123
kidneypapillaryrenalcellcarcinoma,84,0.7526881720430108,Concrete,0.15,0.002,0.0,920123
kidneychromophobe,19,0.5774647887323944,Concrete,0.15,0.002,0.0,920124
kidneyclearcellrenalcarcinoma,156,0.6769197676919768,Concrete,0.15,0.002,0.0,920124
kidneypapillaryrenalcellcarcinoma,84,0.7434715821812596,Concrete,0.15,0.002,0.0,920124
kidneychromophobe,19,0.6901408450704225,Concrete,0.15,0.002,0.0,920125
kidneyclearcellrenalcarcinoma,156,0.6769197676919768,Concrete,0.15,0.002,0.0,920125
kidneypapillaryrenalcellcarcinoma,84,0.7726574500768049,Concrete,0.15,0.002,0.0,920125
kidneychromophobe,19,0.6901408450704225,Concrete,0.15,0.0015,0.0,960123
kidneyclearcellrenalcarcinoma,156,0.6726177672617767,Concrete,0.15,0.0015,0.0,960123
kidneypapillaryrenalcellcarcinoma,84,0.7496159754224271,Concrete,0.15,0.0015,0.0,960123
kidneychromophobe,19,0.7605633802816901,Concrete,0.15,0.0015,0.0,960124
kidneyclearcellrenalcarcinoma,156,0.6706818670681867,Concrete,0.15,0.0015,0.0,960124
kidneypapillaryrenalcellcarcinoma,84,0.7480798771121352,Concrete,0.15,0.0015,0.0,960124
kidneychromophobe,19,0.6197183098591549,Concrete,0.15,0.0015,0.0,960125
kidneyclearcellrenalcarcinoma,156,0.6627231662723166,Concrete,0.15,0.0015,0.0,960125
kidneypapillaryrenalcellcarcinoma,84,0.7357910906298003,Concrete,0.15,0.0015,0.0,960125
kidneychromophobe,19,0.7323943661971831,Concrete,0.12,0.004,0.0,1000123
kidneyclearcellrenalcarcinoma,156,0.6924069692406969,Concrete,0.12,0.004,0.0,1000123
kidneypapillaryrenalcellcarcinoma,84,0.7112135176651305,Concrete,0.12,0.004,0.0,1000123
kidneychromophobe,19,0.6338028169014085,Concrete,0.12,0.004,0.0,1000124
kidneyclearcellrenalcarcinoma,156,0.6711120671112067,Concrete,0.12,0.004,0.0,1000124
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,Concrete,0.12,0.004,0.0,1000124
kidneychromophobe,19,0.6619718309859155,Concrete,0.12,0.004,0.0,1000125
kidneyclearcellrenalcarcinoma,156,0.6825123682512368,Concrete,0.12,0.004,0.0,1000125
kidneypapillaryrenalcellcarcinoma,84,0.7403993855606759,Concrete,0.12,0.004,0.0,1000125
kidneychromophobe,19,0.6338028169014085,Concrete,0.12,0.003,0.0,1040123
kidneyclearcellrenalcarcinoma,156,0.6820821682082168,Concrete,0.12,0.003,0.0,1040123
kidneypapillaryrenalcellcarcinoma,84,0.7741935483870968,Concrete,0.12,0.003,0.0,1040123
kidneychromophobe,19,0.6619718309859155,Concrete,0.12,0.003,0.0,1040124
kidneyclearcellrenalcarcinoma,156,0.6956334695633469,Concrete,0.12,0.003,0.0,1040124
kidneypapillaryrenalcellcarcinoma,84,0.7480798771121352,Concrete,0.12,0.003,0.0,1040124
kidneychromophobe,19,0.676056338028169,Concrete,0.12,0.003,0.0,1040125
kidneyclearcellrenalcarcinoma,156,0.6616476661647667,Concrete,0.12,0.003,0.0,1040125
kidneypapillaryrenalcellcarcinoma,84,0.7373271889400922,Concrete,0.12,0.003,0.0,1040125
kidneychromophobe,19,0.676056338028169,Concrete,0.12,0.0025,0.0,1080123
kidneyclearcellrenalcarcinoma,156,0.6818670681867068,Concrete,0.12,0.0025,0.0,1080123
kidneypapillaryrenalcellcarcinoma,84,0.7572964669738863,Concrete,0.12,0.0025,0.0,1080123
kidneychromophobe,19,0.6901408450704225,Concrete,0.12,0.0025,0.0,1080124
kidneyclearcellrenalcarcinoma,156,0.696708969670897,Concrete,0.12,0.0025,0.0,1080124
kidneypapillaryrenalcellcarcinoma,84,0.7695852534562212,Concrete,0.12,0.0025,0.0,1080124
kidneychromophobe,19,0.6901408450704225,Concrete,0.12,0.0025,0.0,1080125
kidneyclearcellrenalcarcinoma,156,0.6865992686599268,Concrete,0.12,0.0025,0.0,1080125
kidneypapillaryrenalcellcarcinoma,84,0.7542242703533026,Concrete,0.12,0.0025,0.0,1080125
kidneychromophobe,19,0.6901408450704225,Concrete,0.12,0.002,0.0,1120123
kidneyclearcellrenalcarcinoma,156,0.6795009679500968,Concrete,0.12,0.002,0.0,1120123
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,Concrete,0.12,0.002,0.0,1120123
kidneychromophobe,19,0.6619718309859155,Concrete,0.12,0.002,0.0,1120124
kidneyclearcellrenalcarcinoma,156,0.6711120671112067,Concrete,0.12,0.002,0.0,1120124
kidneypapillaryrenalcellcarcinoma,84,0.7434715821812596,Concrete,0.12,0.002,0.0,1120124
kidneychromophobe,19,0.6901408450704225,Concrete,0.12,0.002,0.0,1120125
kidneyclearcellrenalcarcinoma,156,0.6840180684018068,Concrete,0.12,0.002,0.0,1120125
