family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
LSPIN,nosmooth_lamx3,LSPIN nosmooth,CHST9,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5783972144126892,166.0,0.4839025687068919,0.7184583483149478,-0.2345557796080558,0.0,CHST9,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,MAPK8IP2,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5470383167266846,157.0,0.5262153157434899,0.762151159151972,-0.235935843408482,0.0,MAPK8IP2,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,SHISA3,1,kidneyclearcellrenalcarcinoma,1,1.0,0.3310104608535766,95.0,0.2217696676847218,0.4578203316056444,-0.2360506639209225,0.0,SHISA3,,,False
L-LSPIN,smooth_lamx3_smooth0p1,L-LSPIN smooth,C5orf23,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.9707780301839968,1.2068525418373903,-0.2360745116533938,0.0,C5orf23,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,DUSP2,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,1.0116371673957485,1.2477680163160485,-0.2361308489202997,0.0,DUSP2,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ASB16,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5435540080070496,156.0,0.6961648654829781,0.9327914559732616,-0.2366265904902836,0.0,ASB16,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,S100A4,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5331010222434998,153.0,0.5389446836398365,0.7757818510539507,-0.2368371674141142,0.0,S100A4,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,OLR1,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5644599199295044,162.0,0.3401220747464335,0.5779263708649305,-0.2378042961184969,0.0,OLR1,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ALDH3B1,1,kidneychromophobe,1,1.0,0.1114982590079307,32.0,0.4616601495971487,0.7000192477321197,-0.2383590981349709,0.0,ALDH3B1,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,PI15,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5470383167266846,157.0,0.5613803520001168,0.7997660831600838,-0.2383857311599669,0.0,PI15,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,CASS4,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5574913024902344,160.0,0.7697802129532052,1.008193374647682,-0.2384131616944769,0.0,CASS4,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,RYR3,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5470383167266846,157.0,0.7777261012489647,1.0169682277768055,-0.2392421265278408,0.0,RYR3,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,SERHL2,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5783972144126892,166.0,0.4424097550492328,0.6817355731039053,-0.2393258180546724,0.0,SERHL2,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,SNORD116-4,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.6013288031506224,0.8408387186014086,-0.2395099154507861,0.0,SNORD116-4,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,CYP1A1,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.7375392019989394,0.9770920312992264,-0.2395528293002869,0.0,CYP1A1,,,False
LSPIN,smooth_lamx3_smooth0p1,LSPIN smooth,CD34,1,kidneyclearcellrenalcarcinoma,1,1.0,1.0,287.0,0.781854288117195,1.0219734386668804,-0.2401191505496853,0.0,CD34,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,SVOP,1,kidneyclearcellrenalcarcinoma,1,1.0,0.5714285969734192,164.0,0.2365448626326075,0.4770406460989763,-0.2404957834663688,0.0,SVOP,,,False
L-Concrete,smooth_lamx3_smooth0p025,L-Concrete smooth,C19orf46,1,kidneyclearcellrenalcarcinoma,1,1.0,0.3344947695732116,96.0,0.4032631443575169,0.6442566297092442,-0.2409934853517273,0.0,C19orf46,,,False
