model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.028,0.2,0,4,0.866131678957183
LSPIN,lspin_tf,mlp,0.028,0.2,1,2,0.7147120160090631
LSPIN,lspin_tf,mlp,0.028,0.2,1,3,0.7489706226114634
LSPIN,lspin_tf,mlp,0.028,0.2,1,4,0.7673636203500785
LSPIN,lspin_tf,mlp,0.028,0.2,2,3,0.7157194103535178
LSPIN,lspin_tf,mlp,0.028,0.2,2,4,0.8748569378294835
LSPIN,lspin_tf,mlp,0.028,0.2,3,4,0.7524321935380378
LSPIN,lspin_tf,mlp,0.0035,0.4,0,1,0.9138227088044312
LSPIN,lspin_tf,mlp,0.0035,0.4,0,2,0.9510995035678566
LSPIN,lspin_tf,mlp,0.0035,0.4,0,3,0.9695662896306791
LSPIN,lspin_tf,mlp,0.0035,0.4,0,4,0.9409811292207416
LSPIN,lspin_tf,mlp,0.0035,0.4,1,2,0.9138139382795388
LSPIN,lspin_tf,mlp,0.0035,0.4,1,3,0.9210962758887798
LSPIN,lspin_tf,mlp,0.0035,0.4,1,4,0.8657159978034769
LSPIN,lspin_tf,mlp,0.0035,0.4,2,3,0.952011168335584
LSPIN,lspin_tf,mlp,0.0035,0.4,2,4,0.9425154982935088
LSPIN,lspin_tf,mlp,0.0035,0.4,3,4,0.939825077072212
LSPIN,lspin_tf,mlp,0.00525,0.4,0,1,0.8031364578856585
LSPIN,lspin_tf,mlp,0.00525,0.4,0,2,0.945405190514866
LSPIN,lspin_tf,mlp,0.00525,0.4,0,3,0.9299802543421262
LSPIN,lspin_tf,mlp,0.00525,0.4,0,4,0.8891255602254579
LSPIN,lspin_tf,mlp,0.00525,0.4,1,2,0.8279968464368604
LSPIN,lspin_tf,mlp,0.00525,0.4,1,3,0.8743334228238451
LSPIN,lspin_tf,mlp,0.00525,0.4,1,4,0.9362531057662604
LSPIN,lspin_tf,mlp,0.00525,0.4,2,3,0.8931551540480936
LSPIN,lspin_tf,mlp,0.00525,0.4,2,4,0.8732256443798001
LSPIN,lspin_tf,mlp,0.00525,0.4,3,4,0.9451320809130318
LSPIN,lspin_tf,mlp,0.007,0.4,0,1,0.922300232005162
LSPIN,lspin_tf,mlp,0.007,0.4,0,2,0.860899171946194
LSPIN,lspin_tf,mlp,0.007,0.4,0,3,0.9178526496401964
LSPIN,lspin_tf,mlp,0.007,0.4,0,4,0.9124936283052164
LSPIN,lspin_tf,mlp,0.007,0.4,1,2,0.9273592821933656
LSPIN,lspin_tf,mlp,0.007,0.4,1,3,0.9240758086232984
LSPIN,lspin_tf,mlp,0.007,0.4,1,4,0.9137590881176824
LSPIN,lspin_tf,mlp,0.007,0.4,2,3,0.8691796127694736
LSPIN,lspin_tf,mlp,0.007,0.4,2,4,0.9318074959696392
LSPIN,lspin_tf,mlp,0.007,0.4,3,4,0.8633172037862425
LSPIN,lspin_tf,mlp,0.00875,0.4,0,1,0.9459141645867768
LSPIN,lspin_tf,mlp,0.00875,0.4,0,2,0.8838885839489107
