model_family,gate_type,predictor,gate_sigma,temperature,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
Concrete,concrete,mlp,0.15,0.2,0.00275,0.4,920126,3,0.6458640458640459,0.8651315789473685,9,377.4694519042969,0.9622662269599594,7181.0,602.0,771.5978947891573
Concrete,concrete,mlp,0.15,0.2,0.00275,0.4,920127,4,0.6204750204750205,0.8388157894736842,8,385.36334228515625,0.9649113463084176,7562.0,623.0,856.1019422012637
Concrete,concrete,mlp,0.15,0.2,0.0033,0.4,930123,0,0.6276822276822277,0.84375,13,233.1479034423828,0.9228876743980334,2504.0,315.0,351.93561184257305
Concrete,concrete,mlp,0.15,0.2,0.0033,0.4,930124,1,0.5685503685503686,0.837171052631579,10,229.2700958251953,0.9276843438026676,3586.0,337.0,421.0597135033792
Concrete,concrete,mlp,0.15,0.2,0.0033,0.4,930125,2,0.6417690417690418,0.868421052631579,11,292.8424377441406,0.9371628415941832,2444.0,383.0,403.7394723553854
Concrete,concrete,mlp,0.15,0.2,0.0033,0.4,930126,3,0.5816543816543817,0.8618421052631579,9,249.24758911132807,0.9398203693892736,5555.0,395.0,567.1606563005645
Concrete,concrete,mlp,0.15,0.2,0.0033,0.4,930127,4,0.5705159705159705,0.8782894736842105,16,220.4790954589844,0.920494035175658,5180.0,291.0,433.7976538266309
Concrete,concrete,mlp,0.15,0.2,0.0044,0.4,940123,0,0.6039312039312039,0.8947368421052632,11,167.8392333984375,0.9109696376055336,2726.0,275.0,328.8198519827883
Concrete,concrete,mlp,0.15,0.2,0.0044,0.4,940124,1,0.559049959049959,0.8273026315789473,14,166.95498657226562,0.8904547256409875,3338.0,222.0,315.37474419282665
Concrete,concrete,mlp,0.15,0.2,0.0044,0.4,940125,2,0.5854217854217855,0.8766447368421053,10,167.7041778564453,0.9186409625276404,4319.0,247.0,409.7242212037073
Concrete,concrete,mlp,0.15,0.2,0.0044,0.4,940126,3,0.646027846027846,0.837171052631579,11,161.7138214111328,0.920399671343571,3255.0,240.0,334.7445400047108
Concrete,concrete,mlp,0.15,0.2,0.0044,0.4,940127,4,0.5696969696969697,0.8634868421052632,9,187.94212341308597,0.93078665360971,4383.0,335.0,483.65821780870886
Concrete,concrete,mlp,0.15,0.2,0.0055,0.4,950123,0,0.6440622440622441,0.8240131578947368,18,124.46945190429688,0.8619123285813615,3166.0,153.0,269.1983256109688
Concrete,concrete,mlp,0.15,0.2,0.0055,0.4,950124,1,0.6093366093366094,0.805921052631579,9,185.585205078125,0.9129783216129528,6375.0,286.0,544.4046219096838
Concrete,concrete,mlp,0.15,0.2,0.0055,0.4,950125,2,0.514004914004914,0.8404605263157895,11,142.25401306152344,0.8939852944280443,4559.0,186.0,369.6954099155813
Concrete,concrete,mlp,0.15,0.2,0.0055,0.4,950126,3,0.6158886158886159,0.837171052631579,11,124.41478729248048,0.9092281824850064,3051.0,202.0,312.625330075073
Concrete,concrete,mlp,0.15,0.2,0.0055,0.4,950127,4,0.6088452088452089,0.8782894736842105,11,101.0643081665039,0.8519311091805164,2555.0,173.0,253.79294914076868
Concrete,concrete,mlp,0.15,0.2,0.0066,0.4,960123,0,0.6343980343980344,0.8782894736842105,18,91.9260482788086,0.839293996769344,1687.0,123.0,169.95720584452658
Concrete,concrete,mlp,0.15,0.2,0.0066,0.4,960124,1,0.5664209664209664,0.9046052631578948,12,87.42121887207031,0.8204929255037267,3993.0,113.0,383.46534982073865
Concrete,concrete,mlp,0.15,0.2,0.0066,0.4,960125,2,0.5813267813267813,0.8322368421052632,10,107.7813491821289,0.8762053668757435,4445.0,164.0,454.78803652566967
Concrete,concrete,mlp,0.15,0.2,0.0066,0.4,960126,3,0.5226863226863226,0.837171052631579,15,88.151123046875,0.8617764149886638,2043.0,127.0,194.4713539484356
Concrete,concrete,mlp,0.15,0.2,0.0066,0.4,960127,4,0.6258804258804259,0.8470394736842105,12,93.7395477294922,0.8542914736449277,3406.0,126.0,290.5616193008949
Concrete,concrete,mlp,0.15,0.5,0.0011,0.0,970123,0,0.6507780507780507,0.850328947368421,13,485.6913146972656,0.9812216301166627,11522.0,2471.0,4233.815684687882
Concrete,concrete,mlp,0.15,0.5,0.0011,0.0,970124,1,0.6361998361998362,0.8453947368421053,10,527.8521118164062,0.9843355063381825,12741.0,2600.0,4693.61146635797
Concrete,concrete,mlp,0.15,0.5,0.0011,0.0,970125,2,0.6558558558558558,0.8700657894736842,16,530.2540283203125,0.979683683202122,11723.0,2447.0,4033.365075650495
Concrete,concrete,mlp,0.15,0.5,0.0011,0.0,970126,3,0.6185094185094185,0.8618421052631579,15,509.4983825683594,0.9813639097096988,11644.0,2348.0,3933.840779790632
Concrete,concrete,mlp,0.15,0.5,0.0011,0.0,970127,4,0.613923013923014,0.8536184210526315,7,681.2990112304688,0.9909474164622708,14507.0,3332.0,5545.55345149674
Concrete,concrete,mlp,0.15,0.5,0.00165,0.0,980123,0,0.6696150696150697,0.8881578947368421,18,311.0578918457031,0.9680649956333004,9215.0,1453.0,3014.639752652706
Concrete,concrete,mlp,0.15,0.5,0.00165,0.0,980124,1,0.6248976248976249,0.8667763157894737,7,480.5820007324219,0.9849750913294336,11483.0,2436.0,4130.120024390514
