model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs
LSPIN,0.1,0.021,190.21575622558595,68.24539653712472,0.5874037674037674,0.03296599646539987,0.9298760974482377,0.019145015493294056,1771.1,307.0,307.81481929827333,10
LSPIN,0.1,0.014,221.44276580810546,65.42988726199333,0.5697952497952498,0.028460217575260374,0.9417144462323137,0.012831943751444409,1694.4,382.7,364.6867878858203,10
LSPIN,0.1,0.0105,280.0125396728516,78.05344901171826,0.6052743652743653,0.028374151746266684,0.9577642304338291,0.010525590037195017,1986.1,534.2,489.7962311566269,10
LSPIN,0.1,0.00875,298.70482330322267,78.8403237428952,0.6033906633906634,0.04294307657923226,0.9594574748699973,0.01134857710058031,1985.3,586.6,527.1361982348969,10
LSPIN,0.1,0.007,404.58778076171876,86.41158522350209,0.6251597051597051,0.03230092345370746,0.9710940726842299,0.00880295479719879,2507.2,866.1,766.7367281848112,10
LSPIN,0.1,0.00525,519.5620544433593,127.43963232580319,0.6174447174447175,0.023454298560129497,0.9779086414951486,0.006815064465745025,2843.5,1120.6,972.5542504347711,10
LSPIN,0.1,0.0035,793.9932434082032,117.33527113448955,0.6243079443079443,0.030918791722937766,0.9846629524879011,0.004078037981427864,3724.1,1618.8,1418.057481861213,10
LSPIN,0.2,0.028,150.85691299438477,58.68320622245332,0.5764127764127764,0.03474683299357799,0.9033040759918405,0.035276872981401766,1346.5,219.6,224.1364313413359,10
LSPIN,0.2,0.021,191.32025680541992,65.6531810859971,0.5986895986895987,0.02956571529901091,0.9274652109985786,0.022657001087978017,1547.7,323.3,310.2515865277393,10
LSPIN,0.2,0.014,243.9061065673828,79.73820662083212,0.6015233415233415,0.02426504688518882,0.9429322318236057,0.01826488833884807,1903.4,429.8,405.2100112524987,10
LSPIN,0.2,0.0105,272.1353698730469,69.52293049439638,0.5877149877149878,0.03210408923835188,0.9557831535831578,0.009155724370619093,2119.5,500.4,474.8467765633956,10
LSPIN,0.2,0.00875,334.68006286621096,77.13526645678274,0.6095167895167896,0.032874715091947226,0.9674484928022158,0.007215349715447912,2257.4,707.2,631.8828144058247,10
LSPIN,0.2,0.007,378.9250778198242,97.74421537122585,0.5955937755937756,0.03246995515794446,0.9656040439667939,0.008990595025319558,2275.3,721.2,649.0443020331902,10
LSPIN,0.2,0.00525,520.0636688232422,95.84906100086202,0.6087141687141687,0.023437966196152123,0.977458128257531,0.005252629976808886,2960.8,1074.2,946.1463178556207,10
LSPIN,0.2,0.0035,794.4739501953125,96.79350679793623,0.6206715806715806,0.026749658393028765,0.9859739956782881,0.0034417167239334102,3768.5,1713.7,1479.3234853275724,10
LSPIN,0.4,0.028,159.4839241027832,56.19411509453655,0.5647010647010646,0.04952813357769077,0.9119040579576062,0.02600294931145277,1726.6,241.6,256.57366776642885,10
LSPIN,0.4,0.021,197.25980758666992,78.84070763182737,0.5603767403767403,0.057219369766830494,0.9283825280593134,0.02884427490631665,1728.2,327.4,323.7763986823782,10
