histology,n_test,cindex,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6504091653027824,LSPIN,mlp,0.00525,0.1,100123
infiltratinglobularcarcinoma,60,0.5661375661375662,LSPIN,mlp,0.00525,0.1,100123
other,23,0.6216216216216216,LSPIN,mlp,0.00525,0.1,100123
infiltratingductalcarcinoma,220,0.6346972176759411,LSPIN,mlp,0.00525,0.1,100124
infiltratinglobularcarcinoma,60,0.492063492063492,LSPIN,mlp,0.00525,0.1,100124
other,23,0.5135135135135135,LSPIN,mlp,0.00525,0.1,100124
infiltratingductalcarcinoma,220,0.6481178396072013,LSPIN,mlp,0.00525,0.1,100125
infiltratinglobularcarcinoma,60,0.582010582010582,LSPIN,mlp,0.00525,0.1,100125
other,23,0.5135135135135135,LSPIN,mlp,0.00525,0.1,100125
infiltratingductalcarcinoma,220,0.6569558101472995,LSPIN,mlp,0.00525,0.1,100126
infiltratinglobularcarcinoma,60,0.5291005291005291,LSPIN,mlp,0.00525,0.1,100126
other,23,0.6486486486486487,LSPIN,mlp,0.00525,0.1,100126
infiltratingductalcarcinoma,220,0.6572831423895253,LSPIN,mlp,0.00525,0.1,100127
infiltratinglobularcarcinoma,60,0.656084656084656,LSPIN,mlp,0.00525,0.1,100127
other,23,0.5405405405405406,LSPIN,mlp,0.00525,0.1,100127
infiltratingductalcarcinoma,220,0.6726677577741408,LSPIN,mlp,0.007,0.1,110123
infiltratinglobularcarcinoma,60,0.4761904761904761,LSPIN,mlp,0.007,0.1,110123
other,23,0.5675675675675675,LSPIN,mlp,0.007,0.1,110123
infiltratingductalcarcinoma,220,0.6428805237315875,LSPIN,mlp,0.007,0.1,110124
infiltratinglobularcarcinoma,60,0.6455026455026455,LSPIN,mlp,0.007,0.1,110124
other,23,0.7027027027027027,LSPIN,mlp,0.007,0.1,110124
infiltratingductalcarcinoma,220,0.6258592471358428,LSPIN,mlp,0.007,0.1,110125
infiltratinglobularcarcinoma,60,0.3227513227513227,LSPIN,mlp,0.007,0.1,110125
other,23,0.5135135135135135,LSPIN,mlp,0.007,0.1,110125
infiltratingductalcarcinoma,220,0.6749590834697218,LSPIN,mlp,0.007,0.1,110126
infiltratinglobularcarcinoma,60,0.6613756613756614,LSPIN,mlp,0.007,0.1,110126
other,23,0.6486486486486487,LSPIN,mlp,0.007,0.1,110126
