model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.014,0.0,3,4,0.3906530721981338,1.958931720836483,0.2475247524752475,1.4104308390022675,0.1666666666666666
LSPIN,lspin_tf,mlp,0.021,0.0,0,1,0.3941812983496121,1.6455026455026456,0.2,1.6455026455026456,0.2
LSPIN,lspin_tf,mlp,0.021,0.0,0,2,0.4485835011443492,2.1156462585034013,0.2727272727272727,2.3507180650037798,0.3125
LSPIN,lspin_tf,mlp,0.021,0.0,0,3,0.4022465193515022,1.958931720836483,0.2475247524752475,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.021,0.0,0,4,0.4152941983351221,1.7238599143361049,0.2115384615384615,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.021,0.0,1,2,0.3717509448750108,1.802217183169564,0.2233009708737864,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.021,0.0,1,3,0.46810049394095,2.1156462585034013,0.2727272727272727,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.021,0.0,1,4,0.4474562711914883,2.1940035273368608,0.2857142857142857,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.021,0.0,2,3,0.5051702972651891,2.507432602670698,0.3404255319148936,1.880574452003024,0.2352941176470588
LSPIN,lspin_tf,mlp,0.021,0.0,2,4,0.4712453044459876,2.1940035273368608,0.2857142857142857,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,mlp,0.021,0.0,3,4,0.4866556088157329,2.429075333837239,0.3263157894736842,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,mlp,0.028,0.0,0,1,0.3457255800555128,1.6455026455026456,0.2,1.958931720836483,0.2475247524752475
LSPIN,lspin_tf,mlp,0.028,0.0,0,2,0.3088636207467687,1.5671453766691863,0.1886792452830188,1.958931720836483,0.2475247524752475
LSPIN,lspin_tf,mlp,0.028,0.0,0,3,0.3147373084276073,1.488788107835727,0.1775700934579439,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.028,0.0,0,4,0.3466036362871743,1.880574452003024,0.2352941176470588,1.7238599143361049,0.2115384615384615
LSPIN,lspin_tf,mlp,0.028,0.0,1,2,0.3993214049269568,1.7238599143361049,0.2115384615384615,2.3507180650037798,0.3125
LSPIN,lspin_tf,mlp,0.028,0.0,1,3,0.2852345710630543,2.2723607961703203,0.2989690721649484,1.958931720836483,0.2475247524752475
LSPIN,lspin_tf,mlp,0.028,0.0,1,4,0.4261096331398095,1.958931720836483,0.2475247524752475,2.037288989669942,0.26
LSPIN,lspin_tf,mlp,0.028,0.0,2,3,0.3115547908890687,1.6455026455026456,0.2,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,mlp,0.028,0.0,2,4,0.4222635795122696,1.802217183169564,0.2233009708737864,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,mlp,0.028,0.0,3,4,0.3942800690308491,2.1156462585034013,0.2727272727272727,1.6455026455026456,0.2
LSPIN,lspin_tf,mlp,0.0035,0.1,0,1,0.6771104554176784,2.507432602670698,0.3404255319148936,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,mlp,0.0035,0.1,0,2,0.7279284358534542,2.742504409171076,0.3846153846153846,3.1342907533383726,0.4651162790697674
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,0.7657464606912806,2.977576215671454,0.4318181818181818,3.3693625598387507,0.5180722891566265
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,0.6736639789512645,2.6641471403376165,0.3695652173913043,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.0035,0.1,1,2,0.7253251419711536,2.977576215671454,0.4318181818181818,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.0035,0.1,1,3,0.7049784812235056,2.429075333837239,0.3263157894736842,3.1342907533383726,0.4651162790697674
LSPIN,lspin_tf,mlp,0.0035,0.1,1,4,0.6757545596046401,2.507432602670698,0.3404255319148936,2.8208616780045355,0.4
LSPIN,lspin_tf,mlp,0.0035,0.1,2,3,0.726050643797621,2.6641471403376165,0.3695652173913043,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.0035,0.1,2,4,0.6788687921316866,2.977576215671454,0.4318181818181818,3.212648022171832,0.4823529411764706
LSPIN,lspin_tf,mlp,0.0035,0.1,3,4,0.7026948574121156,2.507432602670698,0.3404255319148936,3.055933484504913,0.4482758620689655
LSPIN,lspin_tf,mlp,0.00525,0.1,0,1,0.6828901568866627,2.3507180650037798,0.3125,3.212648022171832,0.4823529411764706
LSPIN,lspin_tf,mlp,0.00525,0.1,0,2,0.7194507013738747,2.8992189468379945,0.4157303370786517,2.8992189468379945,0.4157303370786517
