model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.15,0.00525,0.2,1,2,0.8690619583198784
LSPIN,lspin_tf,0.12,0.014,0.2,0,1,0.8333299387339187
LSPIN,lspin_tf,0.12,0.014,0.2,0,2,0.8207167528004545
LSPIN,lspin_tf,0.12,0.014,0.2,1,2,0.879516430088937
LSPIN,lspin_tf,0.12,0.0105,0.2,0,1,0.7553335813046542
LSPIN,lspin_tf,0.12,0.0105,0.2,0,2,0.7326107968260049
LSPIN,lspin_tf,0.12,0.0105,0.2,1,2,0.7848779297719858
LSPIN,lspin_tf,0.12,0.00875,0.2,0,1,0.7881980481120484
LSPIN,lspin_tf,0.12,0.00875,0.2,0,2,0.7863391688345177
LSPIN,lspin_tf,0.12,0.00875,0.2,1,2,0.887614226782503
LSPIN,lspin_tf,0.12,0.007,0.2,0,1,0.8832296142273405
LSPIN,lspin_tf,0.12,0.007,0.2,0,2,0.9271969131260354
LSPIN,lspin_tf,0.12,0.007,0.2,1,2,0.9312260416648886
LSPIN,lspin_tf,0.12,0.00525,0.2,0,1,0.8598550140043905
LSPIN,lspin_tf,0.12,0.00525,0.2,0,2,0.9009050938435308
LSPIN,lspin_tf,0.12,0.00525,0.2,1,2,0.7455409377496041
L-LSPIN,lspin_tf,0.15,0.021,0.2,0,1,0.5889293046674788
L-LSPIN,lspin_tf,0.15,0.021,0.2,0,2,0.7605092093219187
L-LSPIN,lspin_tf,0.15,0.021,0.2,1,2,0.7542174541999939
L-LSPIN,lspin_tf,0.15,0.014,0.2,0,1,0.9264726245915552
L-LSPIN,lspin_tf,0.15,0.014,0.2,0,2,0.8375289482765143
L-LSPIN,lspin_tf,0.15,0.014,0.2,1,2,0.852667212676908
L-LSPIN,lspin_tf,0.15,0.0105,0.2,0,1,0.769637548202244
L-LSPIN,lspin_tf,0.15,0.0105,0.2,0,2,0.7667556517542916
L-LSPIN,lspin_tf,0.15,0.0105,0.2,1,2,0.9313850524735366
L-LSPIN,lspin_tf,0.15,0.00875,0.2,0,1,0.888727304704943
L-LSPIN,lspin_tf,0.15,0.00875,0.2,0,2,0.9194773969297344
L-LSPIN,lspin_tf,0.15,0.00875,0.2,1,2,0.8725821868108167
L-LSPIN,lspin_tf,0.15,0.007,0.2,0,1,0.8838498744577868
L-LSPIN,lspin_tf,0.15,0.007,0.2,0,2,0.8670453393734078
L-LSPIN,lspin_tf,0.15,0.007,0.2,1,2,0.875086406047834
L-LSPIN,lspin_tf,0.12,0.021,0.2,0,1,0.8788515167311206
L-LSPIN,lspin_tf,0.12,0.021,0.2,0,2,0.8257702022410343
L-LSPIN,lspin_tf,0.12,0.021,0.2,1,2,0.8288495804361201
L-LSPIN,lspin_tf,0.12,0.014,0.2,0,1,0.8221560743799622
L-LSPIN,lspin_tf,0.12,0.014,0.2,0,2,0.753828389551038
L-LSPIN,lspin_tf,0.12,0.014,0.2,1,2,0.8278485027499217
L-LSPIN,lspin_tf,0.12,0.0105,0.2,0,1,0.8451229767172371
L-LSPIN,lspin_tf,0.12,0.0105,0.2,0,2,0.8093949451932682
L-LSPIN,lspin_tf,0.12,0.0105,0.2,1,2,0.8522089215884636
L-LSPIN,lspin_tf,0.12,0.00875,0.2,0,1,0.8062974827595981
L-LSPIN,lspin_tf,0.12,0.00875,0.2,0,2,0.8256381684593707
L-LSPIN,lspin_tf,0.12,0.00875,0.2,1,2,0.8416104079547291
L-LSPIN,lspin_tf,0.12,0.007,0.2,0,1,0.8843225651916701
L-LSPIN,lspin_tf,0.12,0.007,0.2,0,2,0.8858396695946025
L-LSPIN,lspin_tf,0.12,0.007,0.2,1,2,0.8969998088224523
Concrete,concrete,0.15,0.0055,0.2,0,1,0.5819959356246779
Concrete,concrete,0.15,0.0055,0.2,0,2,0.7615446900147513
Concrete,concrete,0.15,0.0055,0.2,1,2,0.666326699035963
