histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
infiltratinglobularcarcinoma,60,0.4973544973544973,L-Concrete,0.15,0.0033,0.1,1290125
other,23,0.4864864864864865,L-Concrete,0.15,0.0033,0.1,1290125
infiltratingductalcarcinoma,220,0.535024549918167,L-Concrete,0.15,0.00275,0.1,1330123
infiltratinglobularcarcinoma,60,0.4338624338624338,L-Concrete,0.15,0.00275,0.1,1330123
other,23,0.5135135135135135,L-Concrete,0.15,0.00275,0.1,1330123
infiltratingductalcarcinoma,220,0.611456628477905,L-Concrete,0.15,0.00275,0.1,1330124
infiltratinglobularcarcinoma,60,0.6613756613756614,L-Concrete,0.15,0.00275,0.1,1330124
other,23,0.5945945945945946,L-Concrete,0.15,0.00275,0.1,1330124
infiltratingductalcarcinoma,220,0.6112929623567921,L-Concrete,0.15,0.00275,0.1,1330125
infiltratinglobularcarcinoma,60,0.4444444444444444,L-Concrete,0.15,0.00275,0.1,1330125
other,23,0.6216216216216216,L-Concrete,0.15,0.00275,0.1,1330125
infiltratingductalcarcinoma,220,0.5662847790507365,L-Concrete,0.15,0.00165,0.1,1370123
infiltratinglobularcarcinoma,60,0.5555555555555556,L-Concrete,0.15,0.00165,0.1,1370123
other,23,0.4594594594594595,L-Concrete,0.15,0.00165,0.1,1370123
infiltratingductalcarcinoma,220,0.6276595744680851,L-Concrete,0.15,0.00165,0.1,1370124
infiltratinglobularcarcinoma,60,0.4021164021164021,L-Concrete,0.15,0.00165,0.1,1370124
other,23,0.4864864864864865,L-Concrete,0.15,0.00165,0.1,1370124
infiltratingductalcarcinoma,220,0.6530278232405892,L-Concrete,0.15,0.00165,0.1,1370125
infiltratinglobularcarcinoma,60,0.4603174603174603,L-Concrete,0.15,0.00165,0.1,1370125
other,23,0.5135135135135135,L-Concrete,0.15,0.00165,0.1,1370125
infiltratingductalcarcinoma,220,0.5417348608837971,L-Concrete,0.12,0.0066,0.1,1410123
