model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.12,0.00525,0.0,8,11,0.5608443627234763,2.35071806500378,0.3125,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.00525,0.0,9,10,0.5721200222059554,2.507432602670698,0.3404255319148936,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.12,0.00525,0.0,9,11,0.6118503395034829,2.2723607961703203,0.2989690721649484,2.6641471403376165,0.3695652173913043
LSPIN,lspin_tf,0.12,0.00525,0.0,10,11,0.6245184117520092,2.037288989669942,0.26,2.742504409171076,0.3846153846153846
Concrete,concrete,0.12,0.0022,0.1,3,4,0.4559637785457307,2.1940035273368608,0.2857142857142857,1.802217183169564,0.2233009708737864
Concrete,concrete,0.12,0.0022,0.1,3,5,0.5638307800999226,2.429075333837239,0.3263157894736842,2.429075333837239,0.3263157894736842
Concrete,concrete,0.12,0.0022,0.1,3,6,0.5557231640461779,2.1940035273368608,0.2857142857142857,2.507432602670698,0.3404255319148936
Concrete,concrete,0.12,0.0022,0.1,3,7,0.5920964090974131,2.1156462585034013,0.2727272727272727,2.8208616780045355,0.4
Concrete,concrete,0.12,0.0022,0.1,3,8,0.5513927794023121,2.2723607961703203,0.2989690721649484,2.507432602670698,0.3404255319148936
Concrete,concrete,0.12,0.0022,0.1,3,9,0.5884285961603,2.2723607961703203,0.2989690721649484,2.742504409171076,0.3846153846153846
Concrete,concrete,0.12,0.0022,0.1,3,10,0.5211766590867514,2.35071806500378,0.3125,2.35071806500378,0.3125
Concrete,concrete,0.12,0.0022,0.1,3,11,0.6053140123051124,2.507432602670698,0.3404255319148936,2.429075333837239,0.3263157894736842
Concrete,concrete,0.12,0.0022,0.1,4,5,0.41732843762075,2.037288989669942,0.26,1.6455026455026456,0.2
Concrete,concrete,0.12,0.0022,0.1,4,6,0.374821719839027,1.5671453766691863,0.1886792452830188,2.429075333837239,0.3263157894736842
Concrete,concrete,0.12,0.0022,0.1,4,7,0.4256093722716641,2.1156462585034013,0.2727272727272727,2.037288989669942,0.26
Concrete,concrete,0.12,0.0022,0.1,4,8,0.389194933657585,1.7238599143361049,0.2115384615384615,2.1940035273368608,0.2857142857142857
Concrete,concrete,0.12,0.0022,0.1,4,9,0.433393789324688,2.037288989669942,0.26,2.037288989669942,0.26
Concrete,concrete,0.12,0.0022,0.1,4,10,0.4675593035372231,2.1940035273368608,0.2857142857142857,2.35071806500378,0.3125
Concrete,concrete,0.12,0.0022,0.1,4,11,0.4233552203621479,2.429075333837239,0.3263157894736842,2.2723607961703203,0.2989690721649484
Concrete,concrete,0.12,0.0022,0.1,5,6,0.4993773678375638,1.7238599143361049,0.2115384615384615,2.742504409171076,0.3846153846153846
Concrete,concrete,0.12,0.0022,0.1,5,7,0.4965145915041956,2.1156462585034013,0.2727272727272727,2.1156462585034013,0.2727272727272727
Concrete,concrete,0.12,0.0022,0.1,5,8,0.4698990070344194,2.037288989669942,0.26,2.1940035273368608,0.2857142857142857
Concrete,concrete,0.12,0.0022,0.1,5,9,0.6143144065472522,2.507432602670698,0.3404255319148936,2.8208616780045355,0.4
Concrete,concrete,0.12,0.0022,0.1,5,10,0.480535891021773,2.35071806500378,0.3125,2.037288989669942,0.26
Concrete,concrete,0.12,0.0022,0.1,5,11,0.4782203991121641,2.5857898715041574,0.3548387096774194,1.880574452003024,0.2352941176470588
Concrete,concrete,0.12,0.0022,0.1,6,7,0.5328791031275121,1.802217183169564,0.2233009708737864,2.8992189468379945,0.4157303370786517
Concrete,concrete,0.12,0.0022,0.1,6,8,0.5182094379532454,1.880574452003024,0.2352941176470588,2.5857898715041574,0.3548387096774194
Concrete,concrete,0.12,0.0022,0.1,6,9,0.5174094269857548,2.037288989669942,0.26,2.977576215671454,0.4318181818181818
Concrete,concrete,0.12,0.0022,0.1,6,10,0.527150048419157,2.037288989669942,0.26,2.507432602670698,0.3404255319148936
Concrete,concrete,0.12,0.0022,0.1,6,11,0.4173425378754732,2.037288989669942,0.26,2.2723607961703203,0.2989690721649484
Concrete,concrete,0.12,0.0022,0.1,7,8,0.494086390931111,1.880574452003024,0.2352941176470588,2.429075333837239,0.3263157894736842
Concrete,concrete,0.12,0.0022,0.1,7,9,0.5430934775654689,1.958931720836483,0.2475247524752475,2.8208616780045355,0.4
Concrete,concrete,0.12,0.0022,0.1,7,10,0.4222291912067431,1.880574452003024,0.2352941176470588,2.429075333837239,0.3263157894736842
Concrete,concrete,0.12,0.0022,0.1,7,11,0.5014357348689408,2.35071806500378,0.3125,2.507432602670698,0.3404255319148936
Concrete,concrete,0.12,0.0022,0.1,8,9,0.5464986532778866,2.2723607961703203,0.2989690721649484,2.5857898715041574,0.3548387096774194
Concrete,concrete,0.12,0.0022,0.1,8,10,0.5519057204764539,1.880574452003024,0.2352941176470588,2.35071806500378,0.3125
Concrete,concrete,0.12,0.0022,0.1,8,11,0.4630030536295398,1.958931720836483,0.2475247524752475,2.35071806500378,0.3125
Concrete,concrete,0.12,0.0022,0.1,9,10,0.5889039496111897,2.429075333837239,0.3263157894736842,2.742504409171076,0.3846153846153846
Concrete,concrete,0.12,0.0022,0.1,9,11,0.6175495258451007,2.8992189468379945,0.4157303370786517,2.35071806500378,0.3125
Concrete,concrete,0.12,0.0022,0.1,10,11,0.5487150039979505,2.507432602670698,0.3404255319148936,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.0105,0.2,3,4,0.5357331588018481,1.880574452003024,0.2352941176470588,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.0105,0.2,3,5,0.533133552779004,2.1156462585034013,0.2727272727272727,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.12,0.0105,0.2,3,6,0.5098113861463356,2.037288989669942,0.26,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.0105,0.2,3,7,0.5514653665444929,1.802217183169564,0.2233009708737864,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,0.12,0.0105,0.2,3,8,0.6116537712582873,2.35071806500378,0.3125,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,0.12,0.0105,0.2,3,9,0.5808325299444147,1.958931720836483,0.2475247524752475,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.0105,0.2,3,10,0.5048534257591368,1.958931720836483,0.2475247524752475,1.880574452003024,0.2352941176470588
LSPIN,lspin_tf,0.12,0.0105,0.2,3,11,0.4763915343239125,2.037288989669942,0.26,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,0.12,0.0105,0.2,4,5,0.5879014330489472,1.958931720836483,0.2475247524752475,2.037288989669942,0.26
LSPIN,lspin_tf,0.12,0.0105,0.2,4,6,0.5856926128694738,2.2723607961703203,0.2989690721649484,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.0105,0.2,4,7,0.5779943022167607,2.429075333837239,0.3263157894736842,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.0105,0.2,4,8,0.56507440637391,1.880574452003024,0.2352941176470588,2.507432602670698,0.3404255319148936
LSPIN,lspin_tf,0.12,0.0105,0.2,4,9,0.670348645081772,2.35071806500378,0.3125,2.8992189468379945,0.4157303370786517
LSPIN,lspin_tf,0.12,0.0105,0.2,4,10,0.5837534737219411,2.8992189468379945,0.4157303370786517,1.958931720836483,0.2475247524752475
LSPIN,lspin_tf,0.12,0.0105,0.2,4,11,0.592166147963479,2.6641471403376165,0.3695652173913043,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.0105,0.2,5,6,0.5736608256755336,2.1940035273368608,0.2857142857142857,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.0105,0.2,5,7,0.5733954867142212,2.2723607961703203,0.2989690721649484,2.35071806500378,0.3125
LSPIN,lspin_tf,0.12,0.0105,0.2,5,8,0.5037673302410817,1.802217183169564,0.2233009708737864,2.2723607961703203,0.2989690721649484
LSPIN,lspin_tf,0.12,0.0105,0.2,5,9,0.6092647867863253,2.507432602670698,0.3404255319148936,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.12,0.0105,0.2,5,10,0.4142068283574902,1.880574452003024,0.2352941176470588,1.880574452003024,0.2352941176470588
LSPIN,lspin_tf,0.12,0.0105,0.2,5,11,0.6251540903676838,2.2723607961703203,0.2989690721649484,2.5857898715041574,0.3548387096774194
LSPIN,lspin_tf,0.12,0.0105,0.2,6,7,0.5506485292133966,2.2723607961703203,0.2989690721649484,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.0105,0.2,6,8,0.5504346020909046,2.037288989669942,0.26,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.0105,0.2,6,9,0.6174131475831717,2.5857898715041574,0.3548387096774194,2.742504409171076,0.3846153846153846
LSPIN,lspin_tf,0.12,0.0105,0.2,6,10,0.488726437679343,2.35071806500378,0.3125,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.12,0.0105,0.2,6,11,0.5310287459515717,2.429075333837239,0.3263157894736842,2.429075333837239,0.3263157894736842
LSPIN,lspin_tf,0.12,0.0105,0.2,7,8,0.443364742890032,2.2723607961703203,0.2989690721649484,2.429075333837239,0.3263157894736842
