model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
LSPIN,0.15,0.007,0.1,0.8726375620353348,0.0191079138067166
LSPIN,0.15,0.007,0.2,0.8852903192059246,0.0049664528861134
LSPIN,0.15,0.007,0.4,0.9245491029027324,0.0156310210993106
LSPIN,0.15,0.00875,0.0,0.811689830255362,0.0543215944056767
LSPIN,0.15,0.00875,0.1,0.8610967322243424,0.0450177230720373
LSPIN,0.15,0.00875,0.2,0.8609872622046156,0.0262506928440249
LSPIN,0.15,0.00875,0.4,0.8607303845442447,0.0259468817093597
LSPIN,0.15,0.0105,0.0,0.8455953137097989,0.0473888510376558
LSPIN,0.15,0.0105,0.1,0.8664810028391069,0.0316146666092149
LSPIN,0.15,0.0105,0.2,0.8531834966980796,0.0217982112268923
LSPIN,0.15,0.0105,0.4,0.8320650202690031,0.0613881748077487
LSPIN,0.15,0.014,0.0,0.8552137772071781,0.0214602428206058
LSPIN,0.15,0.014,0.1,0.8552771833743243,0.0445140628405409
LSPIN,0.15,0.014,0.2,0.7783310323266127,0.0475729511335947
LSPIN,0.15,0.014,0.4,0.8238772928459134,0.0583629283981863
