model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_cluster_ari,mean_cluster_nmi
Concrete,0.15,0.0055,0.1,0.3076136816379646,0.3777370156155166
Concrete,0.15,0.0055,0.2,0.3313106560210137,0.40063715022678764
Concrete,0.15,0.0055,0.4,0.37891157590439234,0.44664946954912477
L-Concrete,0.12,0.00165,0.0,0.35804244487300635,0.4298355551311137
L-Concrete,0.12,0.00165,0.1,0.5388560597939551,0.6397820345981596
L-Concrete,0.12,0.00165,0.2,0.5910089417057832,0.6317858387609879
L-Concrete,0.12,0.00165,0.4,0.5578835059102797,0.6017900634490089
L-Concrete,0.12,0.00275,0.0,0.3481623395594113,0.4094527179032316
L-Concrete,0.12,0.00275,0.1,0.5752846856181763,0.676568763033289
L-Concrete,0.12,0.00275,0.2,0.5321607152920695,0.6072391242292152
L-Concrete,0.12,0.00275,0.4,0.4192061906974259,0.4831151834217627
L-Concrete,0.12,0.0033,0.0,0.3238565195437749,0.37996244788477745
L-Concrete,0.12,0.0033,0.1,0.7553760862663607,0.7515379437769848
L-Concrete,0.12,0.0033,0.2,0.6958243073979,0.6932335971706376
L-Concrete,0.12,0.0033,0.4,0.5894655973441005,0.6458906615938241
L-Concrete,0.12,0.0044,0.0,0.4640708563940872,0.5211277641881146
L-Concrete,0.12,0.0044,0.1,0.6248036049825979,0.6693989833140438
L-Concrete,0.12,0.0044,0.2,0.6374013620628244,0.6540558945697735
L-Concrete,0.12,0.0044,0.4,0.6105774101260838,0.7024070057806818
L-Concrete,0.12,0.0066,0.0,0.22489417787317253,0.31751498825790275
L-Concrete,0.12,0.0066,0.1,0.5243404307480267,0.5607135521640149
L-Concrete,0.12,0.0066,0.2,0.575093302544521,0.5943961486189817
L-Concrete,0.12,0.0066,0.4,0.5947460949246758,0.6639221962020186
L-Concrete,0.15,0.00165,0.0,0.32548180959070133,0.38072350476121536
L-Concrete,0.15,0.00165,0.1,0.7009576121824832,0.6983372469658478
L-Concrete,0.15,0.00165,0.2,0.5429703861565943,0.6060748731983706
L-Concrete,0.15,0.00165,0.4,0.6726499868046362,0.696934642970772
L-Concrete,0.15,0.00275,0.0,0.3024835031117028,0.38759502793128514
L-Concrete,0.15,0.00275,0.1,0.46949080499243223,0.5657765045240523
L-Concrete,0.15,0.00275,0.2,0.5479182342654534,0.6082453221050473
L-Concrete,0.15,0.00275,0.4,0.5836875630908199,0.6509232944696139
L-Concrete,0.15,0.0033,0.0,0.27734072413188987,0.34034964722532307
L-Concrete,0.15,0.0033,0.1,0.5627138411045568,0.6631843538904645
