model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
L-Concrete,concrete,0.12,0.0033,0.0,5,8,0.4081356539767755,0.4437648389762585
L-Concrete,concrete,0.12,0.0033,0.0,5,9,0.3460090076091568,0.4120697897837355
L-Concrete,concrete,0.12,0.0033,0.0,5,10,0.3284533733817561,0.3650695061590359
L-Concrete,concrete,0.12,0.0033,0.0,5,11,0.3438298843827464,0.3949865236749406
L-Concrete,concrete,0.12,0.0033,0.0,6,7,0.3082549069648037,0.3786205874165201
L-Concrete,concrete,0.12,0.0033,0.0,6,8,0.4347828199681312,0.4518115688980282
L-Concrete,concrete,0.12,0.0033,0.0,6,9,0.2935996095446241,0.3611915114463022
L-Concrete,concrete,0.12,0.0033,0.0,6,10,0.3147668760976595,0.3879506945171903
L-Concrete,concrete,0.12,0.0033,0.0,6,11,0.4399275651131832,0.4757960494633542
L-Concrete,concrete,0.12,0.0033,0.0,7,8,0.2567757740524977,0.3198171603880716
L-Concrete,concrete,0.12,0.0033,0.0,7,9,0.3306142712627701,0.3836983652875544
L-Concrete,concrete,0.12,0.0033,0.0,7,10,0.4228039750112635,0.4476156868804056
L-Concrete,concrete,0.12,0.0033,0.0,7,11,0.2586767799900122,0.3272946565975395
L-Concrete,concrete,0.12,0.0033,0.0,8,9,0.3642683875111578,0.4317266632567511
L-Concrete,concrete,0.12,0.0033,0.0,8,10,0.2984838189661306,0.3696462295035442
L-Concrete,concrete,0.12,0.0033,0.0,8,11,0.2285456932704508,0.306703343833648
L-Concrete,concrete,0.12,0.0033,0.0,9,10,0.4353195743957236,0.4768013006301462
L-Concrete,concrete,0.12,0.0033,0.0,9,11,0.2720290920300615,0.3433428632757111
L-Concrete,concrete,0.12,0.0033,0.0,10,11,0.3303026217373608,0.3929788464329447
